,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,Year,HomeYear,AwayYear,LeagueYear,B365J,B365HNorm,B365DNorm,B365ANorm,Favored,Unfavored,Homepts,Awaypts,Win,Draw,WinStreak,UndefStreak
0,F1,04/08/2006,Nantes,Lyon,1,3,0.23809523809523808,0.3225806451612903,0.5263157894736842,0607,Nantes0607,Lyon0607,F10607,0.08699167273021269,0.21904053551506134,0.29676459650427667,0.4841948679806619,Lyon,Nantes,0,3,1,0,0,0
1,F1,12/08/2006,Lyon,Toulouse,1,1,0.7692307692307692,0.2222222222222222,0.10526315789473684,0607,Lyon0607,Toulouse0607,F10607,0.09671614934772821,0.7013945857260049,0.2026251025430681,0.095980311730927,Lyon,Toulouse,1,1,0,1,1,1
2,F1,20/08/2006,Bordeaux,Lyon,1,2,0.3125,0.36363636363636365,0.4,0607,Bordeaux0607,Lyon0607,F10607,0.07613636363636367,0.29039070749736007,0.337909186906019,0.3717001055966209,Lyon,Bordeaux,0,3,1,0,0,2
3,F1,26/08/2006,Nice,Lyon,1,4,0.2,0.30303030303030304,0.5813953488372093,0607,Nice0607,Lyon0607,F10607,0.08442565186751239,0.1844294255263842,0.2794385235248245,0.5361320509487912,Lyon,Nice,0,3,1,0,1,3
4,F1,09/09/2006,Lyon,Troyes,2,0,0.8,0.2,0.1111111111111111,0607,Lyon0607,Troyes0607,F10607,0.11111111111111116,0.72,0.18,0.09999999999999999,Lyon,Troyes,3,0,1,0,2,4
5,F1,16/09/2006,Lorient,Lyon,1,3,0.16666666666666666,0.3125,0.6369426751592356,0607,Lorient0607,Lyon0607,F10607,0.11610934182590227,0.14932826061110452,0.279990488645821,0.5706812507430745,Lyon,Lorient,0,3,1,0,3,5
6,F1,23/09/2006,Lyon,Lille,4,1,0.6535947712418301,0.29411764705882354,0.16666666666666666,0607,Lyon0607,Lille0607,F10607,0.1143790849673203,0.5865102639296188,0.26392961876832843,0.14956011730205276,Lyon,Lille,3,0,1,0,4,6
7,F1,30/09/2006,Sochaux,Lyon,0,1,0.18181818181818182,0.3125,0.6211180124223602,0607,Sochaux0607,Lyon0607,F10607,0.11543619424054197,0.16300186667510363,0.28015945834783434,0.5568386749770621,Lyon,Sochaux,0,3,1,0,5,7
8,F1,14/10/2006,Lyon,St Etienne,2,1,0.7692307692307692,0.2222222222222222,0.08333333333333333,0607,Lyon0607,St Etienne0607,F10607,0.07478632478632474,0.7157057654075546,0.20675944333996024,0.0775347912524851,Lyon,St Etienne,3,0,1,0,6,8
9,F1,22/10/2006,Marseille,Lyon,1,4,0.3333333333333333,0.3484320557491289,0.4,0607,Marseille0607,Lyon0607,F10607,0.08176538908246211,0.3081382864505046,0.3220957698088899,0.3697659437406056,Lyon,Marseille,0,3,1,0,7,9
10,F1,29/10/2006,Lyon,Nancy,1,0,0.7518796992481203,0.23094688221709006,0.1,0607,Lyon0607,Nancy0607,F10607,0.08282658146521027,0.6943676043034755,0.21328150432416224,0.09235089137236226,Lyon,Nancy,3,0,1,0,8,10
11,F1,04/11/2006,Rennes,Lyon,1,0,0.16666666666666666,0.2777777777777778,0.6369426751592356,0607,Rennes0607,Lyon0607,F10607,0.08138711960368017,0.15412303664921465,0.2568717277486911,0.5890052356020942,Lyon,Rennes,3,0,0,0,9,11
12,F1,10/11/2006,Lyon,Valenciennes,2,1,0.8620689655172414,0.15384615384615385,0.06666666666666667,0607,Lyon0607,Valenciennes0607,F10607,0.08258178603006194,0.7963083959490362,0.14211042143090494,0.0615811826200588,Lyon,Valenciennes,3,0,1,0,0,0
13,F1,18/11/2006,Sedan,Lyon,0,1,0.1111111111111111,0.25,0.7692307692307692,0607,Sedan0607,Lyon0607,F10607,0.13034188034188032,0.09829867674858223,0.22117202268431002,0.6805293005671077,Lyon,Sedan,0,3,1,0,1,1
14,F1,26/11/2006,Lyon,Auxerre,1,0,0.7518796992481203,0.23094688221709006,0.1,0607,Lyon0607,Auxerre0607,F10607,0.08282658146521027,0.6943676043034755,0.21328150432416224,0.09235089137236226,Lyon,Auxerre,3,0,1,0,2,2
15,F1,02/12/2006,Le Mans,Lyon,0,1,0.14285714285714285,0.26666666666666666,0.6666666666666666,0607,Le Mans0607,Lyon0607,F10607,0.07619047619047614,0.13274336283185842,0.24778761061946902,0.6194690265486725,Lyon,Le Mans,0,3,1,0,3,3
16,F1,10/12/2006,Lyon,Paris SG,3,1,0.7142857142857143,0.25,0.1111111111111111,0607,Lyon0607,Paris SG0607,F10607,0.07539682539682535,0.6642066420664207,0.23247232472324725,0.1033210332103321,Lyon,Paris SG,3,0,1,0,4,4
17,F1,17/12/2006,Lens,Lyon,0,4,0.26666666666666666,0.3225806451612903,0.48780487804878053,0607,Lens0607,Lyon0607,F10607,0.07705218987673756,0.24758936398168888,0.29950326288107526,0.45290737313723584,Lyon,Lens,0,3,1,0,5,5
18,F1,23/12/2006,Lyon,Monaco,0,0,0.7518796992481203,0.2222222222222222,0.10526315789473684,0607,Lyon0607,Monaco0607,F10607,0.0793650793650793,0.6965944272445821,0.20588235294117646,0.09752321981424149,Lyon,Monaco,1,1,0,1,6,6
19,F1,13/01/2007,Toulouse,Lyon,2,0,0.16666666666666666,0.2857142857142857,0.6666666666666666,0607,Toulouse0607,Lyon0607,F10607,0.11904761904761907,0.14893617021276595,0.2553191489361702,0.5957446808510638,Lyon,Toulouse,3,0,0,0,0,7
20,F1,24/01/2007,Lyon,Bordeaux,1,2,0.7142857142857143,0.26666666666666666,0.11764705882352941,0607,Lyon0607,Bordeaux0607,F10607,0.09859943977591046,0.6501784803671595,0.2427332993370729,0.10708822029576745,Lyon,Bordeaux,0,3,0,0,0,0
21,F1,27/01/2007,Lyon,Nice,1,1,0.8620689655172414,0.18181818181818182,0.07692307692307693,0607,Lyon0607,Nice0607,F10607,0.12081022425850008,0.7691480206540449,0.16222030981067126,0.068631669535284,Lyon,Nice,1,1,0,1,0,0
22,F1,04/02/2007,Troyes,Lyon,1,0,0.13333333333333333,0.2777777777777778,0.6666666666666666,0607,Troyes0607,Lyon0607,F10607,0.07777777777777772,0.12371134020618557,0.2577319587628866,0.6185567010309279,Lyon,Troyes,3,0,0,0,0,1
23,F1,10/02/2007,Lyon,Lorient,1,0,0.7518796992481203,0.2222222222222222,0.10526315789473684,0607,Lyon0607,Lorient0607,F10607,0.0793650793650793,0.6965944272445821,0.20588235294117646,0.09752321981424149,Lyon,Lorient,3,0,1,0,0,0
24,F1,16/02/2007,Lille,Lyon,1,2,0.3333333333333333,0.3333333333333333,0.4166666666666667,0607,Lille0607,Lyon0607,F10607,0.08333333333333326,0.3076923076923077,0.3076923076923077,0.38461538461538464,Lyon,Lille,0,3,1,0,1,1
