,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,Year,HomeYear,AwayYear,LeagueYear,B365J,B365HNorm,B365DNorm,B365ANorm,Favored,Unfavored,Homepts,Awaypts,Win,Draw,WinStreak,UndefStreak
0,D1,17/08/08,M'gladbach,Stuttgart,1,3,0.36363636363636365,0.30303030303030304,0.4,0809,M'gladbach0809,Stuttgart0809,D10809,0.06666666666666687,0.34090909090909083,0.28409090909090906,0.37499999999999994,Stuttgart,M'gladbach,0,3,0,0,0,0
1,D1,23/08/08,Hoffenheim,M'gladbach,1,0,0.48780487804878053,0.30303030303030304,0.2777777777777778,0809,Hoffenheim0809,M'gladbach0809,D10809,0.06861295885686136,0.4564841498559078,0.28357348703170027,0.25994236311239194,Hoffenheim,M'gladbach,3,0,0,0,0,0
2,D1,30/08/08,M'gladbach,Werder Bremen,3,2,0.23094688221709006,0.2857142857142857,0.5464480874316939,0809,M'gladbach0809,Werder Bremen0809,D10809,0.06310925536306966,0.21723720403338773,0.2687534552755911,0.5140093406910212,Werder Bremen,M'gladbach,3,0,1,0,0,0
3,D1,14/09/08,Hannover,M'gladbach,5,1,0.5,0.29411764705882354,0.26666666666666666,0809,Hannover0809,M'gladbach0809,D10809,0.0607843137254902,0.47134935304990755,0.27726432532347506,0.2513863216266174,Hannover,M'gladbach,3,0,0,0,1,1
4,D1,20/09/08,M'gladbach,Hertha,0,1,0.4166666666666667,0.30303030303030304,0.3448275862068966,0809,M'gladbach0809,Hertha0809,D10809,0.0645245559038663,0.3914110429447853,0.2846625766871166,0.3239263803680982,M'gladbach,Hertha,0,3,0,0,0,0
5,D1,27/09/08,Hamburg,M'gladbach,1,0,0.6944444444444444,0.23809523809523808,0.13333333333333333,0809,Hamburg0809,M'gladbach0809,D10809,0.06587301587301586,0.6515264333581534,0.22338049143708116,0.12509307520476545,Hamburg,M'gladbach,3,0,0,0,0,0
6,D1,04/10/08,M'gladbach,FC Koln,1,2,0.4444444444444444,0.30303030303030304,0.3125,0809,M'gladbach0809,FC Koln0809,D10809,0.0599747474747474,0.41929720071471116,0.2858844550327576,0.2948183442525313,M'gladbach,FC Koln,0,3,0,0,0,0
7,D1,17/10/08,Bochum,M'gladbach,2,2,0.5235602094240838,0.29411764705882354,0.25,0809,Bochum0809,M'gladbach0809,D10809,0.06767785648290725,0.4903728275762602,0.2754741472560756,0.23415302516766426,Bochum,M'gladbach,1,1,0,1,0,0
8,D1,25/10/08,M'gladbach,Karlsruhe,1,0,0.45454545454545453,0.30303030303030304,0.3076923076923077,0809,M'gladbach0809,Karlsruhe0809,D10809,0.06526806526806528,0.42669584245076586,0.2844638949671772,0.2888402625820569,M'gladbach,Karlsruhe,3,0,1,0,0,1
9,D1,28/10/08,Wolfsburg,M'gladbach,3,0,0.6666666666666666,0.25,0.14285714285714285,0809,Wolfsburg0809,M'gladbach0809,D10809,0.059523809523809534,0.6292134831460674,0.23595505617977527,0.1348314606741573,Wolfsburg,M'gladbach,3,0,0,0,1,2
10,D1,02/11/08,M'gladbach,Ein Frankfurt,1,2,0.47619047619047616,0.30303030303030304,0.2857142857142857,0809,M'gladbach0809,Ein Frankfurt0809,D10809,0.06493506493506507,0.4471544715447154,0.2845528455284553,0.26829268292682923,M'gladbach,Ein Frankfurt,0,3,0,0,0,0
11,D1,08/11/08,Bielefeld,M'gladbach,0,2,0.47619047619047616,0.30303030303030304,0.2857142857142857,0809,Bielefeld0809,M'gladbach0809,D10809,0.06493506493506507,0.4471544715447154,0.2845528455284553,0.26829268292682923,Bielefeld,M'gladbach,0,3,1,0,0,0
12,D1,15/11/08,M'gladbach,Bayern Munich,2,2,0.15384615384615385,0.25,0.6666666666666666,0809,M'gladbach0809,Bayern Munich0809,D10809,0.07051282051282048,0.14371257485029942,0.23353293413173654,0.6227544910179641,Bayern Munich,M'gladbach,1,1,0,1,1,1
13,D1,22/11/08,Schalke 04,M'gladbach,3,1,0.7352941176470588,0.21052631578947367,0.1111111111111111,0809,Schalke 040809,M'gladbach0809,D10809,0.05693154454764349,0.6956875508543532,0.19918633034987795,0.10512611879576893,Schalke 04,M'gladbach,3,0,0,0,0,2
14,D1,29/11/08,M'gladbach,Cottbus,1,3,0.5405405405405405,0.29411764705882354,0.23094688221709006,0809,M'gladbach0809,Cottbus0809,D10809,0.06560506981645409,0.5072616073735894,0.2760099922473943,0.21672840037901628,M'gladbach,Cottbus,0,3,0,0,0,0
15,D1,06/12/08,M'gladbach,Leverkusen,1,3,0.21052631578947367,0.2857142857142857,0.5714285714285714,0809,M'gladbach0809,Leverkusen0809,D10809,0.06766917293233066,0.1971830985915493,0.26760563380281693,0.5352112676056339,Leverkusen,M'gladbach,0,3,0,0,0,0
16,D1,12/12/08,Dortmund,M'gladbach,2,1,0.6944444444444444,0.23809523809523808,0.13333333333333333,0809,Dortmund0809,M'gladbach0809,D10809,0.06587301587301586,0.6515264333581534,0.22338049143708116,0.12509307520476545,Dortmund,M'gladbach,3,0,0,0,0,0
17,D1,31/01/09,Stuttgart,M'gladbach,2,0,0.7142857142857143,0.2222222222222222,0.125,0809,Stuttgart0809,M'gladbach0809,D10809,0.06150793650793651,0.6728971962616822,0.20934579439252335,0.11775700934579439,Stuttgart,M'gladbach,3,0,0,0,0,0
18,D1,07/02/09,M'gladbach,Hoffenheim,1,1,0.29411764705882354,0.29411764705882354,0.47619047619047616,0809,M'gladbach0809,Hoffenheim0809,D10809,0.06442577030812324,0.27631578947368424,0.27631578947368424,0.4473684210526316,Hoffenheim,M'gladbach,1,1,0,1,0,0
19,D1,14/02/09,Werder Bremen,M'gladbach,1,1,0.6944444444444444,0.2222222222222222,0.14285714285714285,0809,Werder Bremen0809,M'gladbach0809,D10809,0.059523809523809534,0.6554307116104868,0.2097378277153558,0.1348314606741573,Werder Bremen,M'gladbach,1,1,0,1,0,1
20,D1,21/02/09,M'gladbach,Hannover,3,2,0.4444444444444444,0.3076923076923077,0.3125,0809,M'gladbach0809,Hannover0809,D10809,0.06463675213675213,0.41746111389864526,0.28901154039136984,0.29352734570998495,M'gladbach,Hannover,3,0,1,0,0,2
