,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,Year,HomeYear,AwayYear,LeagueYear,B365J,B365HNorm,B365DNorm,B365ANorm,Favored,Unfavored,Homepts,Awaypts,Win,Draw,WinStreak,UndefStreak
0,D1,08/08/09,Mainz,Leverkusen,2,2,0.2631578947368421,0.29411764705882354,0.5,0910,Mainz0910,Leverkusen0910,D10910,0.05727554179566563,0.24890190336749632,0.2781844802342606,0.47291361639824303,Leverkusen,Mainz,1,1,0,1,0,0
1,D1,15/08/09,Hannover,Mainz,1,1,0.5464480874316939,0.2857142857142857,0.23094688221709006,0910,Hannover0910,Mainz0910,D10910,0.06310925536306966,0.5140093406910212,0.2687534552755911,0.21723720403338773,Hannover,Mainz,1,1,0,1,0,1
2,D1,22/08/09,Mainz,Bayern Munich,2,1,0.14285714285714285,0.23094688221709006,0.6944444444444444,0910,Mainz0910,Bayern Munich0910,D10910,0.06824846951867736,0.13373025745734066,0.2161921021250311,0.6500776404176282,Bayern Munich,Mainz,3,0,1,0,0,2
3,D1,28/08/09,M'gladbach,Mainz,2,0,0.5,0.29411764705882354,0.26666666666666666,0910,M'gladbach0910,Mainz0910,D10910,0.0607843137254902,0.47134935304990755,0.27726432532347506,0.2513863216266174,M'gladbach,Mainz,3,0,0,0,1,3
4,D1,12/09/09,Mainz,Hertha,2,1,0.4,0.3076923076923077,0.35714285714285715,0910,Mainz0910,Hertha0910,D10910,0.06483516483516483,0.3756449948400413,0.28895768833849333,0.33539731682146545,Mainz,Hertha,3,0,1,0,0,0
5,D1,19/09/09,Bochum,Mainz,2,3,0.47619047619047616,0.29411764705882354,0.29411764705882354,0910,Bochum0910,Mainz0910,D10910,0.06442577030812324,0.4473684210526316,0.27631578947368424,0.27631578947368424,Bochum,Mainz,0,3,1,0,1,1
6,D1,26/09/09,Werder Bremen,Mainz,3,0,0.7352941176470588,0.21052631578947367,0.11764705882352941,0910,Werder Bremen0910,Mainz0910,D10910,0.06346749226006176,0.6914119359534208,0.19796215429403205,0.11062590975254732,Werder Bremen,Mainz,3,0,0,0,2,2
7,D1,03/10/09,Mainz,Hoffenheim,2,1,0.25,0.2777777777777778,0.5405405405405405,0910,Mainz0910,Hoffenheim0910,D10910,0.06831831831831825,0.23401264933239635,0.26001405481377377,0.5059732958538299,Hoffenheim,Mainz,3,0,1,0,0,0
8,D1,17/10/09,FC Koln,Mainz,1,0,0.46511627906976744,0.29411764705882354,0.3076923076923077,0910,FC Koln0910,Mainz0910,D10910,0.06692623382089868,0.4359404280501035,0.27566821185521256,0.2883913600946839,FC Koln,Mainz,3,0,0,0,1,1
9,D1,24/10/09,Mainz,Freiburg,3,0,0.47619047619047616,0.29411764705882354,0.29411764705882354,0910,Mainz0910,Freiburg0910,D10910,0.06442577030812324,0.4473684210526316,0.27631578947368424,0.27631578947368424,Mainz,Freiburg,3,0,1,0,0,0
