,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,Year,HomeYear,AwayYear,LeagueYear,B365J,B365HNorm,B365DNorm,B365ANorm,Favored,Unfavored,Homepts,Awaypts,Win,Draw,WinStreak,UndefStreak
0,SP1,31/08/08,Ath Madrid,Malaga,4,0,0.6944444444444444,0.23809523809523808,0.13333333333333333,0809,Ath Madrid0809,Malaga0809,SP10809,0.06587301587301586,0.6515264333581534,0.22338049143708116,0.12509307520476545,Ath Madrid,Malaga,3,0,0,0,0,0
1,SP1,14/09/08,Malaga,Ath Bilbao,0,0,0.4,0.3076923076923077,0.35714285714285715,0809,Malaga0809,Ath Bilbao0809,SP10809,0.06483516483516483,0.3756449948400413,0.28895768833849333,0.33539731682146545,Malaga,Ath Bilbao,1,1,0,1,0,0
2,SP1,21/09/08,Almeria,Malaga,1,0,0.5464480874316939,0.2857142857142857,0.23094688221709006,0809,Almeria0809,Malaga0809,SP10809,0.06310925536306966,0.5140093406910212,0.2687534552755911,0.21723720403338773,Almeria,Malaga,3,0,0,0,0,1
3,SP1,25/09/08,Malaga,Valencia,0,2,0.26666666666666666,0.30303030303030304,0.5,0809,Malaga0809,Valencia0809,SP10809,0.06969696969696981,0.24929178470254953,0.28328611898017,0.4674220963172804,Valencia,Malaga,0,3,0,0,0,0
4,SP1,28/09/08,Malaga,Valladolid,2,1,0.4,0.3076923076923077,0.35714285714285715,0809,Malaga0809,Valladolid0809,SP10809,0.06483516483516483,0.3756449948400413,0.28895768833849333,0.33539731682146545,Malaga,Valladolid,3,0,1,0,0,0
5,SP1,05/10/08,Recreativo,Malaga,0,4,0.47619047619047616,0.3076923076923077,0.2777777777777778,0809,Recreativo0809,Malaga0809,SP10809,0.061660561660561664,0.4485336400230017,0.2898217366302473,0.26164462334675104,Recreativo,Malaga,0,3,1,0,1,1
6,SP1,19/10/08,Malaga,Getafe,2,1,0.4,0.3076923076923077,0.35714285714285715,0809,Malaga0809,Getafe0809,SP10809,0.06483516483516483,0.3756449948400413,0.28895768833849333,0.33539731682146545,Malaga,Getafe,3,0,1,0,2,2
7,SP1,26/10/08,Sevilla,Malaga,0,1,0.7352941176470588,0.21052631578947367,0.11764705882352941,0809,Sevilla0809,Malaga0809,SP10809,0.06346749226006176,0.6914119359534208,0.19796215429403205,0.11062590975254732,Sevilla,Malaga,0,3,1,0,3,3
8,SP1,01/11/08,Malaga,Barcelona,1,4,0.1111111111111111,0.2222222222222222,0.7352941176470588,0809,Malaga0809,Barcelona0809,SP10809,0.06862745098039214,0.10397553516819572,0.20795107033639143,0.6880733944954128,Barcelona,Malaga,0,3,0,0,4,4
9,SP1,08/11/08,Real Madrid,Malaga,4,3,0.819672131147541,0.16666666666666666,0.07692307692307693,0809,Real Madrid0809,Malaga0809,SP10809,0.06326187473728462,0.7709033405811425,0.15675034591816564,0.07234631350069183,Real Madrid,Malaga,3,0,0,0,0,0
10,SP1,16/11/08,Malaga,Villarreal,2,2,0.29411764705882354,0.29411764705882354,0.47619047619047616,0809,Malaga0809,Villarreal0809,SP10809,0.06442577030812324,0.27631578947368424,0.27631578947368424,0.4473684210526316,Villarreal,Malaga,1,1,0,1,0,0
11,SP1,23/11/08,Mallorca,Malaga,2,2,0.47619047619047616,0.29411764705882354,0.29411764705882354,0809,Mallorca0809,Malaga0809,SP10809,0.06442577030812324,0.4473684210526316,0.27631578947368424,0.27631578947368424,Mallorca,Malaga,1,1,0,1,0,1
12,SP1,30/11/08,Malaga,Osasuna,4,2,0.45454545454545453,0.3076923076923077,0.3076923076923077,0809,Malaga0809,Osasuna0809,SP10809,0.06993006993007,0.4248366013071895,0.2875816993464052,0.2875816993464052,Malaga,Osasuna,3,0,1,0,0,2
13,SP1,07/12/08,La Coruna,Malaga,2,0,0.5235602094240838,0.29411764705882354,0.25,0809,La Coruna0809,Malaga0809,SP10809,0.06767785648290725,0.4903728275762602,0.2754741472560756,0.23415302516766426,La Coruna,Malaga,3,0,0,0,1,3
14,SP1,14/12/08,Malaga,Numancia,2,0,0.5128205128205129,0.30303030303030304,0.25,0809,Malaga0809,Numancia0809,SP10809,0.06585081585081598,0.4811372334609076,0.2843083652268999,0.23455440131219243,Malaga,Numancia,3,0,1,0,0,0
