,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,Year,HomeYear,AwayYear,LeagueYear,B365J,B365HNorm,B365DNorm,B365ANorm,Favored,Unfavored,Homepts,Awaypts,Win,Draw,WinStreak,UndefStreak
0,E0,14/08/11,West Brom,Man United,1,2,0.15384615384615385,0.25,0.6535947712418301,1112,West Brom1112,Man United1112,E01112,0.05744092508798393,0.1454891239748009,0.23641982645905146,0.6180910495661476,Man United,West Brom,0,3,1,0,0,0
1,E0,22/08/11,Man United,Tottenham,3,0,0.5988023952095809,0.26666666666666666,0.18181818181818182,1112,Man United1112,Tottenham1112,E01112,0.04728724369442938,0.5717651950932151,0.2546261002148451,0.17360870469193984,Man United,Tottenham,3,0,1,0,1,1
2,E0,28/08/11,Man United,Arsenal,8,2,0.6666666666666666,0.23094688221709006,0.15384615384615385,1112,Man United1112,Arsenal1112,E01112,0.05145970272991063,0.6340391980175715,0.2196440639783735,0.14631673800405498,Man United,Arsenal,3,0,1,0,2,2
3,E0,10/09/11,Bolton,Man United,0,5,0.1111111111111111,0.2222222222222222,0.7142857142857143,1112,Bolton1112,Man United1112,E01112,0.04761904761904767,0.10606060606060605,0.2121212121212121,0.6818181818181818,Man United,Bolton,0,3,1,0,3,3
4,E0,18/09/11,Man United,Chelsea,3,1,0.5464480874316939,0.2857142857142857,0.2222222222222222,1112,Man United1112,Chelsea1112,E01112,0.05438459536820184,0.5182625863770978,0.27097729516288255,0.21076011846001974,Man United,Chelsea,3,0,1,0,4,4
5,E0,24/09/11,Stoke,Man United,1,1,0.15384615384615385,0.25,0.6535947712418301,1112,Stoke1112,Man United1112,E01112,0.05744092508798393,0.1454891239748009,0.23641982645905146,0.6180910495661476,Man United,Stoke,1,1,0,1,5,5
6,E0,01/10/11,Man United,Norwich,2,0,0.8547008547008548,0.14285714285714285,0.058823529411764705,1112,Man United1112,Norwich1112,E01112,0.056381526969762286,0.8090834919771553,0.13523252651618167,0.05568398150666304,Man United,Norwich,3,0,1,0,0,6
7,E0,15/10/11,Liverpool,Man United,1,1,0.3333333333333333,0.30303030303030304,0.4166666666666667,1112,Liverpool1112,Man United1112,E01112,0.05303030303030298,0.31654676258992803,0.2877697841726619,0.3956834532374101,Man United,Liverpool,1,1,0,1,1,7
8,E0,23/10/11,Man United,Man City,1,6,0.5,0.29411764705882354,0.2631578947368421,1112,Man United1112,Man City1112,E01112,0.05727554179566563,0.47291361639824303,0.2781844802342606,0.24890190336749632,Man United,Man City,0,3,0,0,0,8
9,E0,29/10/11,Everton,Man United,0,1,0.2222222222222222,0.2777777777777778,0.5555555555555556,1112,Everton1112,Man United1112,E01112,0.05555555555555558,0.21052631578947367,0.2631578947368421,0.5263157894736842,Man United,Everton,0,3,1,0,0,0
10,E0,05/11/11,Man United,Sunderland,1,0,0.8,0.18181818181818182,0.07692307692307693,1112,Man United1112,Sunderland1112,E01112,0.058741258741258795,0.7556142668428005,0.17173051519154556,0.0726552179656539,Man United,Sunderland,3,0,1,0,1,1
11,E0,19/11/11,Swansea,Man United,0,1,0.15384615384615385,0.23809523809523808,0.6666666666666666,1112,Swansea1112,Man United1112,E01112,0.05860805860805862,0.1453287197231834,0.22491349480968856,0.629757785467128,Man United,Swansea,0,3,1,0,2,2
