,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,Year,HomeYear,AwayYear,LeagueYear,B365J,B365HNorm,B365DNorm,B365ANorm,Favored,Unfavored,Homepts,Awaypts,Win,Draw,WinStreak,UndefStreak
0,F1,11/08/13,Guingamp,Marseille,1,3,0.29411764705882354,0.3125,0.45454545454545453,1314,Guingamp1314,Marseille1314,F11314,0.06116310160427818,0.27716535433070866,0.2944881889763779,0.4283464566929133,Marseille,Guingamp,0,3,1,0,0,0
1,F1,17/08/13,Marseille,Evian Thonon Gaillard,2,0,0.7142857142857143,0.2222222222222222,0.125,1314,Marseille1314,Evian Thonon Gaillard1314,F11314,0.06150793650793651,0.6728971962616822,0.20934579439252335,0.11775700934579439,Marseille,Evian Thonon Gaillard,3,0,1,0,1,1
2,F1,24/08/13,Valenciennes,Marseille,0,1,0.2857142857142857,0.30303030303030304,0.47619047619047616,1314,Valenciennes1314,Marseille1314,F11314,0.06493506493506507,0.26829268292682923,0.2845528455284553,0.4471544715447154,Marseille,Valenciennes,0,3,1,0,2,2
3,F1,01/09/13,Marseille,Monaco,1,2,0.4166666666666667,0.3225806451612903,0.3225806451612903,1314,Marseille1314,Monaco1314,F11314,0.06182795698924726,0.3924050632911393,0.3037974683544304,0.3037974683544304,Marseille,Monaco,0,3,0,0,3,3
4,F1,14/09/13,Toulouse,Marseille,1,1,0.3472222222222222,0.3333333333333333,0.3846153846153846,1314,Toulouse1314,Marseille1314,F11314,0.06517094017094016,0.3259779338014042,0.312938816449348,0.3610832497492477,Marseille,Toulouse,1,1,0,1,0,0
5,F1,21/09/13,Bastia,Marseille,0,0,0.30303030303030304,0.3225806451612903,0.4347826086956522,1314,Bastia1314,Marseille1314,F11314,0.06039355688724557,0.28577154308617236,0.30420841683366734,0.41002004008016035,Marseille,Bastia,1,1,0,1,0,1
6,F1,24/09/13,Marseille,St Etienne,2,1,0.5,0.3125,0.25,1314,Marseille1314,St Etienne1314,F11314,0.0625,0.47058823529411764,0.29411764705882354,0.23529411764705882,Marseille,St Etienne,3,0,1,0,0,2
7,F1,28/09/13,Lorient,Marseille,0,2,0.3472222222222222,0.3125,0.4,1314,Lorient1314,Marseille1314,F11314,0.05972222222222223,0.327653997378768,0.2948885976408912,0.3774574049803408,Marseille,Lorient,0,3,1,0,1,3
8,F1,06/10/13,Marseille,Paris SG,1,2,0.25,0.29411764705882354,0.5235602094240838,1314,Marseille1314,Paris SG1314,F11314,0.06767785648290747,0.2341530251676642,0.27547414725607555,0.4903728275762601,Paris SG,Marseille,0,3,0,0,2,4
9,F1,18/10/13,Nice,Marseille,1,0,0.3802281368821293,0.3225806451612903,0.36363636363636365,1314,Nice1314,Marseille1314,F11314,0.06644514567978321,0.35653792266995676,0.3024821731038665,0.3409799042261768,Nice,Marseille,3,0,0,0,0,0
