,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,Year,HomeYear,AwayYear,LeagueYear,B365J,B365HNorm,B365DNorm,B365ANorm,Favored,Unfavored,Homepts,Awaypts,Win,Draw,WinStreak,UndefStreak
0,F1,05/08/07,Le Mans,Metz,1,0,0.48780487804878053,0.3333333333333333,0.25,0708,Le Mans0708,Metz0708,F10708,0.07113821138211396,0.45540796963946867,0.31119544592030357,0.23339658444022768,Le Mans,Metz,3,0,0,0,0,0
1,F1,12/08/07,Metz,Lille,1,2,0.37037037037037035,0.36363636363636365,0.3448275862068966,0708,Metz0708,Lille0708,F10708,0.07883432021363057,0.3433060697374085,0.3370641411967284,0.31962978906586315,Metz,Lille,0,3,0,0,0,0
2,F1,15/08/07,Monaco,Metz,2,0,0.6024096385542169,0.3076923076923077,0.2,0708,Monaco0708,Metz0708,F10708,0.1101019462465247,0.5426615461679746,0.2771748205042578,0.18016363332776755,Monaco,Metz,3,0,0,0,0,0
3,F1,18/08/07,Metz,Paris SG,0,0,0.37037037037037035,0.3484320557491289,0.3846153846153846,0708,Metz0708,Paris SG0708,F10708,0.10341781073488376,0.3356574153209482,0.3157752687688363,0.3485673159102155,Paris SG,Metz,1,1,0,1,0,0
4,F1,25/08/07,Rennes,Metz,2,0,0.6024096385542169,0.3076923076923077,0.2,0708,Rennes0708,Metz0708,F10708,0.1101019462465247,0.5426615461679746,0.2771748205042578,0.18016363332776755,Rennes,Metz,3,0,0,0,0,1
5,F1,29/08/07,Metz,Bordeaux,0,1,0.3333333333333333,0.3448275862068966,0.4347826086956522,0708,Metz0708,Bordeaux0708,F10708,0.11294352823588216,0.2995060619667714,0.3098338572070049,0.3906600808262236,Bordeaux,Metz,0,3,0,0,0,0
6,F1,01/09/07,Valenciennes,Metz,0,0,0.5813953488372093,0.3076923076923077,0.2222222222222222,0708,Valenciennes0708,Metz0708,F10708,0.11130987875173926,0.5231622250044715,0.2768735467715972,0.1999642282239313,Valenciennes,Metz,1,1,0,1,0,0
7,F1,15/09/07,Metz,Lyon,1,5,0.13333333333333333,0.26666666666666666,0.6666666666666666,0708,Metz0708,Lyon0708,F10708,0.06666666666666665,0.125,0.25,0.625,Lyon,Metz,0,3,0,0,0,1
8,F1,22/09/07,Caen,Metz,1,2,0.47619047619047616,0.3484320557491289,0.23809523809523808,0708,Caen0708,Metz0708,F10708,0.06271777003484313,0.44808743169398907,0.32786885245901637,0.22404371584699453,Caen,Metz,0,3,1,0,0,0
9,F1,06/10/07,Metz,Strasbourg,1,2,0.4,0.3448275862068966,0.3225806451612903,0708,Metz0708,Strasbourg0708,F10708,0.06740823136818697,0.3747394747811588,0.32305127136306794,0.3022092538557732,Metz,Strasbourg,0,3,0,0,1,1
