,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,Year,HomeYear,AwayYear,LeagueYear,B365J,B365HNorm,B365DNorm,B365ANorm,Favored,Unfavored,Homepts,Awaypts,Win,Draw,WinStreak,UndefStreak
0,F1,07/08/10,Lyon,Monaco,0,0,0.6944444444444444,0.25,0.125,1011,Lyon1011,Monaco1011,F11011,0.06944444444444442,0.6493506493506493,0.23376623376623376,0.11688311688311688,Lyon,Monaco,1,1,0,1,0,0
1,F1,17/08/10,Monaco,Montpellier,0,0,0.4444444444444444,0.3225806451612903,0.30303030303030304,1011,Monaco1011,Montpellier1011,F11011,0.07005539263603766,0.415347137637028,0.30146163215590743,0.2831912302070646,Monaco,Montpellier,1,1,0,1,0,1
2,F1,21/08/10,Lens,Monaco,2,2,0.4347826086956522,0.3333333333333333,0.29411764705882354,1011,Lens1011,Monaco1011,F11011,0.06223358908780918,0.40930979133226325,0.3138041733547351,0.2768860353130016,Lens,Monaco,1,1,0,1,0,2
3,F1,29/08/10,Monaco,Auxerre,2,0,0.42016806722689076,0.3333333333333333,0.3076923076923077,1011,Monaco1011,Auxerre1011,F11011,0.06119370825253179,0.39593908629441626,0.3141116751269035,0.2899492385786802,Monaco,Auxerre,3,0,1,0,0,3
4,F1,12/09/10,Marseille,Monaco,2,2,0.625,0.2777777777777778,0.16666666666666666,1011,Marseille1011,Monaco1011,F11011,0.06944444444444442,0.5844155844155844,0.25974025974025977,0.15584415584415584,Marseille,Monaco,1,1,0,1,1,4
5,F1,18/09/10,Monaco,Toulouse,0,0,0.4347826086956522,0.3333333333333333,0.29411764705882354,1011,Monaco1011,Toulouse1011,F11011,0.06223358908780918,0.40930979133226325,0.3138041733547351,0.2768860353130016,Monaco,Toulouse,1,1,0,1,0,5
6,F1,25/09/10,Lorient,Monaco,2,1,0.4444444444444444,0.3333333333333333,0.2857142857142857,1011,Lorient1011,Monaco1011,F11011,0.06349206349206327,0.41791044776119407,0.3134328358208956,0.2686567164179105,Lorient,Monaco,3,0,0,0,0,6
7,F1,02/10/10,Monaco,Brest,0,1,0.5235602094240838,0.3125,0.23094688221709006,1011,Monaco1011,Brest1011,F11011,0.0670070916411738,0.4906810962416293,0.29287527931922247,0.21644362443914825,Monaco,Brest,0,3,0,0,0,0
8,F1,16/10/10,Caen,Monaco,0,0,0.4444444444444444,0.3333333333333333,0.2857142857142857,1011,Caen1011,Monaco1011,F11011,0.06349206349206327,0.41791044776119407,0.3134328358208956,0.2686567164179105,Caen,Monaco,1,1,0,1,0,0
9,F1,23/10/10,Monaco,Valenciennes,0,2,0.5,0.3125,0.25641025641025644,1011,Monaco1011,Valenciennes1011,F11011,0.06891025641025639,0.46776611694152925,0.29235382308845576,0.23988005997001502,Monaco,Valenciennes,0,3,0,0,0,1
10,F1,02/11/10,Monaco,Bordeaux,2,2,0.35714285714285715,0.3448275862068966,0.36363636363636365,1011,Monaco1011,Bordeaux1011,F11011,0.06560680698611732,0.3351544442109687,0.3235973944105905,0.3412481613784409,Bordeaux,Monaco,1,1,0,1,0,0
11,F1,07/11/10,Nancy,Monaco,0,4,0.45454545454545453,0.3333333333333333,0.2777777777777778,1011,Nancy1011,Monaco1011,F11011,0.06565656565656575,0.42654028436018954,0.31279620853080564,0.2606635071090047,Nancy,Monaco,0,3,1,0,0,1
12,F1,13/11/10,Monaco,Arles,0,0,0.6535947712418301,0.2777777777777778,0.13333333333333333,1011,Monaco1011,Arles1011,F11011,0.06470588235294117,0.6138735420503376,0.2608962553713935,0.12523020257826886,Monaco,Arles,1,1,0,1,1,2
13,F1,21/11/10,Lille,Monaco,2,1,0.6535947712418301,0.26666666666666666,0.14285714285714285,1011,Lille1011,Monaco1011,F11011,0.06311858076563959,0.6147900930967856,0.25083435798348847,0.13437554891972597,Lille,Monaco,3,0,0,0,0,3
14,F1,27/11/10,Monaco,Nice,1,1,0.5235602094240838,0.3125,0.23094688221709006,1011,Monaco1011,Nice1011,F11011,0.0670070916411738,0.4906810962416293,0.29287527931922247,0.21644362443914825,Monaco,Nice,1,1,0,1,0,0
