,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,Year,HomeYear,AwayYear,LeagueYear,B365J,B365HNorm,B365DNorm,B365ANorm,Favored,Unfavored,Homepts,Awaypts,Win,Draw,WinStreak,UndefStreak
0,SP1,26/08/07,Murcia,Zaragoza,2,1,0.29411764705882354,0.3125,0.46511627906976744,0708,Murcia0708,Zaragoza0708,SP10708,0.07173392612859097,0.2744315915436777,0.29158356601515756,0.43398484244116475,Zaragoza,Murcia,3,0,1,0,0,0
1,SP1,01/09/07,Levante,Murcia,0,0,0.45454545454545453,0.3125,0.3076923076923077,0708,Levante0708,Murcia0708,SP10708,0.0747377622377623,0.422936152907686,0.29076860512403413,0.28629524196827977,Levante,Murcia,1,1,0,1,1,1
2,SP1,16/09/07,Murcia,Ath Madrid,1,1,0.3225806451612903,0.3076923076923077,0.4347826086956522,0708,Murcia0708,Ath Madrid0708,SP10708,0.0650555615492503,0.3028768233387358,0.28889789303079416,0.40822528363047,Ath Madrid,Murcia,1,1,0,1,0,2
3,SP1,23/09/07,Villarreal,Murcia,2,0,0.6024096385542169,0.2857142857142857,0.18181818181818182,0708,Villarreal0708,Murcia0708,SP10708,0.0699421060866845,0.5630301257677683,0.2670371453641415,0.16993272886809008,Villarreal,Murcia,3,0,0,0,0,3
4,SP1,26/09/07,Murcia,Almeria,0,1,0.47619047619047616,0.3076923076923077,0.2777777777777778,0708,Murcia0708,Almeria0708,SP10708,0.061660561660561664,0.4485336400230017,0.2898217366302473,0.26164462334675104,Murcia,Almeria,0,3,0,0,0,0
5,SP1,30/09/07,Valladolid,Murcia,1,4,0.5813953488372093,0.2857142857142857,0.2,0708,Valladolid0708,Murcia0708,SP10708,0.06710963455149499,0.5448318804483189,0.26774595267745954,0.1874221668742217,Valladolid,Murcia,0,3,1,0,0,0
6,SP1,07/10/07,Murcia,Betis,0,0,0.4166666666666667,0.3076923076923077,0.3448275862068966,0708,Murcia0708,Betis0708,SP10708,0.06918656056587102,0.3897043622079801,0.28778168286127764,0.3225139549307422,Murcia,Betis,1,1,0,1,1,1
7,SP1,21/10/07,Getafe,Murcia,2,0,0.5,0.30303030303030304,0.26666666666666666,0708,Getafe0708,Murcia0708,SP10708,0.06969696969696959,0.4674220963172805,0.28328611898017003,0.2492917847025496,Getafe,Murcia,3,0,0,0,0,2
8,SP1,28/10/07,Murcia,Recreativo,1,0,0.4347826086956522,0.3076923076923077,0.3225806451612903,0708,Murcia0708,Recreativo0708,SP10708,0.0650555615492503,0.40822528363047,0.28889789303079416,0.3028768233387358,Murcia,Recreativo,3,0,1,0,0,0
9,SP1,01/11/07,Espanol,Murcia,0,0,0.6369426751592356,0.2631578947368421,0.16666666666666666,0708,Espanol0708,Murcia0708,SP10708,0.06676723656274453,0.5970774629445346,0.24668726758497875,0.15623526947048655,Espanol,Murcia,1,1,0,1,1,1
10,SP1,04/11/07,Murcia,La Coruna,0,2,0.4444444444444444,0.3125,0.3076923076923077,0708,Murcia0708,La Coruna0708,SP10708,0.06463675213675213,0.41746111389864526,0.29352734570998495,0.28901154039136984,Murcia,La Coruna,0,3,0,0,0,2
11,SP1,10/11/07,Valencia,Murcia,3,0,0.6944444444444444,0.23809523809523808,0.13333333333333333,0708,Valencia0708,Murcia0708,SP10708,0.06587301587301586,0.6515264333581534,0.22338049143708116,0.12509307520476545,Valencia,Murcia,3,0,0,0,0,0
12,SP1,24/11/07,Murcia,Real Madrid,1,1,0.16666666666666666,0.2777777777777778,0.6211180124223602,0708,Murcia0708,Real Madrid0708,SP10708,0.06556245686680473,0.15641191709844557,0.2606865284974093,0.582901554404145,Real Madrid,Murcia,1,1,0,1,0,0
13,SP1,02/12/07,Mallorca,Murcia,1,1,0.6024096385542169,0.2857142857142857,0.18181818181818182,0708,Mallorca0708,Murcia0708,SP10708,0.0699421060866845,0.5630301257677683,0.2670371453641415,0.16993272886809008,Mallorca,Murcia,1,1,0,1,0,1
14,SP1,09/12/07,Sevilla,Murcia,3,1,0.6944444444444444,0.23809523809523808,0.13333333333333333,0708,Sevilla0708,Murcia0708,SP10708,0.06587301587301586,0.6515264333581534,0.22338049143708116,0.12509307520476545,Sevilla,Murcia,3,0,0,0,0,2
15,SP1,16/12/07,Murcia,Santander,2,1,0.4,0.3076923076923077,0.35714285714285715,0708,Murcia0708,Santander0708,SP10708,0.06483516483516483,0.3756449948400413,0.28895768833849333,0.33539731682146545,Murcia,Santander,3,0,1,0,0,0
16,SP1,23/12/07,Ath Bilbao,Murcia,1,1,0.5128205128205129,0.30303030303030304,0.25,0708,Ath Bilbao0708,Murcia0708,SP10708,0.06585081585081598,0.4811372334609076,0.2843083652268999,0.23455440131219243,Ath Bilbao,Murcia,1,1,0,1,1,1
17,SP1,06/01/08,Murcia,Osasuna,2,0,0.4166666666666667,0.30303030303030304,0.3484320557491289,0708,Murcia0708,Osasuna0708,SP10708,0.06812902544609867,0.3900902014086247,0.283701964660818,0.32620783393055724,Murcia,Osasuna,3,0,1,0,0,2
18,SP1,12/01/08,Barcelona,Murcia,4,0,0.8474576271186441,0.16666666666666666,0.05263157894736842,0708,Barcelona0708,Murcia0708,SP10708,0.06675587273267913,0.7944250871080141,0.1562369337979094,0.04933797909407665,Barcelona,Murcia,3,0,0,0,1,3
