,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,Year,HomeYear,AwayYear,LeagueYear,B365J,B365HNorm,B365DNorm,B365ANorm,Favored,Unfavored,Homepts,Awaypts,Win,Draw,WinStreak,UndefStreak
0,F1,08/08/09,Valenciennes,Nancy,1,3,0.45454545454545453,0.3448275862068966,0.26666666666666666,0910,Valenciennes0910,Nancy0910,F10910,0.06603970741901777,0.42638698294452065,0.32346598706136054,0.2501470299941188,Valenciennes,Nancy,0,3,1,0,0,0
1,F1,15/08/09,Nancy,Monaco,4,0,0.4444444444444444,0.3333333333333333,0.2857142857142857,0910,Nancy0910,Monaco0910,F10910,0.06349206349206327,0.41791044776119407,0.3134328358208956,0.2686567164179105,Nancy,Monaco,3,0,1,0,1,1
2,F1,22/08/09,Le Mans,Nancy,2,1,0.425531914893617,0.3333333333333333,0.30303030303030304,0910,Le Mans0910,Nancy0910,F10910,0.061895551257253434,0.4007285974499089,0.31390406800242865,0.2853673345476624,Le Mans,Nancy,3,0,0,0,2,2
3,F1,29/08/09,Lyon,Nancy,3,1,0.7352941176470588,0.2222222222222222,0.1,0910,Lyon0910,Nancy0910,F10910,0.05751633986928106,0.6953028430160691,0.21013597033374534,0.09456118665018541,Lyon,Nancy,3,0,0,0,0,0
4,F1,12/09/09,Nancy,Toulouse,0,0,0.4166666666666667,0.3333333333333333,0.3125,0910,Nancy0910,Toulouse0910,F10910,0.0625,0.39215686274509803,0.3137254901960784,0.29411764705882354,Nancy,Toulouse,1,1,0,1,0,0
5,F1,19/09/09,Lorient,Nancy,3,1,0.45454545454545453,0.3333333333333333,0.2777777777777778,0910,Lorient0910,Nancy0910,F10910,0.06565656565656575,0.42654028436018954,0.31279620853080564,0.2606635071090047,Lorient,Nancy,3,0,0,0,0,1
6,F1,26/09/09,Nancy,Sochaux,2,1,0.5,0.3125,0.25,0910,Nancy0910,Sochaux0910,F10910,0.0625,0.47058823529411764,0.29411764705882354,0.23529411764705882,Nancy,Sochaux,3,0,1,0,0,0
7,F1,03/10/09,Paris SG,Nancy,1,1,0.6369426751592356,0.2857142857142857,0.14285714285714285,0910,Paris SG0910,Nancy0910,F10910,0.06551410373066413,0.5977796754910334,0.26814688300597783,0.13407344150298892,Paris SG,Nancy,1,1,0,1,1,1
8,F1,17/10/09,Nancy,Marseille,0,3,0.2631578947368421,0.3125,0.48780487804878053,0910,Nancy0910,Marseille0910,F10910,0.06346277278562251,0.24745379102225576,0.2938513768389287,0.4586948321388156,Marseille,Nancy,0,3,0,0,0,2
9,F1,24/10/09,Grenoble,Nancy,1,2,0.2777777777777778,0.3225806451612903,0.46511627906976744,0910,Grenoble0910,Nancy0910,F10910,0.06547470200883554,0.26070799921768045,0.30275767651085467,0.4365343242714649,Nancy,Grenoble,0,3,1,0,0,0
10,F1,31/10/09,Boulogne,Nancy,1,2,0.3333333333333333,0.3448275862068966,0.3846153846153846,0910,Boulogne0910,Nancy0910,F10910,0.06277630415561442,0.3136439267886855,0.32445923460898507,0.36189683860232946,Nancy,Boulogne,0,3,1,0,1,1
11,F1,07/11/09,Nancy,St Etienne,0,1,0.47619047619047616,0.3225806451612903,0.26666666666666666,0910,Nancy0910,St Etienne0910,F10910,0.06543778801843314,0.4469434832756632,0.3027681660899654,0.2502883506343714,Nancy,St Etienne,0,3,0,0,2,2
12,F1,21/11/09,Lens,Nancy,2,1,0.4,0.3448275862068966,0.3225806451612903,0910,Lens0910,Nancy0910,F10910,0.06740823136818697,0.3747394747811588,0.32305127136306794,0.3022092538557732,Lens,Nancy,3,0,0,0,0,0
13,F1,29/11/09,Nancy,Bordeaux,0,3,0.26666666666666666,0.3125,0.48780487804878053,0910,Nancy0910,Bordeaux0910,F10910,0.06697154471544708,0.2499285646252024,0.2928850366701591,0.4571863987046386,Bordeaux,Nancy,0,3,0,0,0,0
14,F1,06/12/09,Auxerre,Nancy,1,3,0.5464480874316939,0.30303030303030304,0.21052631578947367,0910,Auxerre0910,Nancy0910,F10910,0.060004706251470585,0.5155147748014405,0.28587637511716246,0.1986088500813971,Auxerre,Nancy,0,3,1,0,0,0
15,F1,12/12/09,Nancy,Rennes,1,2,0.3802281368821293,0.3472222222222222,0.3333333333333333,0910,Nancy0910,Rennes0910,F10910,0.06078369243768478,0.3584407825957087,0.32732613132872007,0.31423308607557127,Nancy,Rennes,0,3,0,0,1,1
16,F1,16/12/09,Nancy,Nice,2,0,0.47619047619047616,0.3225806451612903,0.26666666666666666,0910,Nancy0910,Nice0910,F10910,0.06543778801843314,0.4469434832756632,0.3027681660899654,0.2502883506343714,Nancy,Nice,3,0,1,0,0,0
17,F1,19/12/09,Montpellier,Nancy,0,2,0.5464480874316939,0.30303030303030304,0.21052631578947367,0910,Montpellier0910,Nancy0910,F10910,0.060004706251470585,0.5155147748014405,0.28587637511716246,0.1986088500813971,Montpellier,Nancy,0,3,1,0,1,1
18,F1,23/12/09,Nancy,Lille,0,4,0.26666666666666666,0.3225806451612903,0.47619047619047616,0910,Nancy0910,Lille0910,F10910,0.06543778801843314,0.2502883506343714,0.3027681660899654,0.4469434832756632,Lille,Nancy,0,3,0,0,2,2
19,F1,16/01/10,Nancy,Lyon,0,2,0.23094688221709006,0.3076923076923077,0.5235602094240838,0910,Nancy0910,Lyon0910,F10910,0.06219939933348151,0.21742328451890172,0.2896747144513368,0.4929020010297615,Lyon,Nancy,0,3,0,0,0,0
20,F1,20/01/10,Toulouse,Nancy,0,0,0.5128205128205129,0.3125,0.23809523809523808,0910,Toulouse0910,Nancy0910,F10910,0.06341575091575091,0.48223896663078586,0.2938643702906351,0.2238966630785791,Toulouse,Nancy,1,1,0,1,0,0
21,F1,30/01/10,Nancy,Lorient,1,0,0.4,0.3448275862068966,0.3225806451612903,0910,Nancy0910,Lorient0910,F10910,0.06740823136818697,0.3747394747811588,0.32305127136306794,0.3022092538557732,Nancy,Lorient,3,0,1,0,0,1
22,F1,06/02/10,Sochaux,Nancy,1,1,0.45454545454545453,0.3333333333333333,0.2777777777777778,0910,Sochaux0910,Nancy0910,F10910,0.06565656565656575,0.42654028436018954,0.31279620853080564,0.2606635071090047,Sochaux,Nancy,1,1,0,1,1,2
23,F1,13/02/10,Nancy,Paris SG,0,0,0.37037037037037035,0.3448275862068966,0.3448275862068966,0910,Nancy0910,Paris SG0910,F10910,0.06002554278416339,0.3493975903614458,0.32530120481927716,0.32530120481927716,Nancy,Paris SG,1,1,0,1,0,3
24,F1,21/02/10,Marseille,Nancy,3,1,0.6666666666666666,0.25,0.14285714285714285,0910,Marseille0910,Nancy0910,F10910,0.059523809523809534,0.6292134831460674,0.23595505617977527,0.1348314606741573,Marseille,Nancy,3,0,0,0,0,4
25,F1,27/02/10,Nancy,Grenoble,0,2,0.5780346820809249,0.2857142857142857,0.2,0910,Nancy0910,Grenoble0910,F10910,0.06374896779521055,0.5433938829374321,0.2685918335662164,0.18801428349635152,Nancy,Grenoble,0,3,0,0,0,0
26,F1,06/03/10,Nice,Nancy,2,3,0.4444444444444444,0.3225806451612903,0.29411764705882354,0910,Nice0910,Nancy0910,F10910,0.06114273666455827,0.41883568448241604,0.3039936419630439,0.27717067355454006,Nice,Nancy,0,3,1,0,0,0
27,F1,13/03/10,Nancy,Boulogne,1,3,0.5988023952095809,0.2857142857142857,0.18181818181818182,0910,Nancy0910,Boulogne0910,F10910,0.06633486274204836,0.5615519253208868,0.26794049008168025,0.1705075845974329,Nancy,Boulogne,0,3,0,0,1,1
28,F1,20/03/10,St Etienne,Nancy,0,0,0.48780487804878053,0.3225806451612903,0.2631578947368421,0910,St Etienne0910,Nancy0910,F10910,0.07354341794691299,0.4543876567020251,0.30048216007714557,0.24513018322082927,St Etienne,Nancy,1,1,0,1,0,0
29,F1,28/03/10,Nancy,Lens,5,1,0.4347826086956522,0.3225806451612903,0.30303030303030304,0910,Nancy0910,Lens0910,F10910,0.06039355688724557,0.41002004008016035,0.30420841683366734,0.28577154308617236,Nancy,Lens,3,0,1,0,0,1
30,F1,03/04/10,Bordeaux,Nancy,1,2,0.6896551724137931,0.23809523809523808,0.14285714285714285,0910,Bordeaux0910,Nancy0910,F10910,0.07060755336617408,0.6441717791411044,0.2223926380368098,0.13343558282208587,Bordeaux,Nancy,0,3,1,0,1,2
31,F1,11/04/10,Nancy,Auxerre,0,1,0.36363636363636365,0.3333333333333333,0.36363636363636365,0910,Nancy0910,Auxerre0910,F10910,0.06060606060606055,0.34285714285714286,0.3142857142857143,0.34285714285714286,Nancy,Auxerre,0,3,0,0,2,3
32,F1,17/04/10,Rennes,Nancy,0,0,0.5988023952095809,0.2857142857142857,0.18181818181818182,0910,Rennes0910,Nancy0910,F10910,0.06633486274204836,0.5615519253208868,0.26794049008168025,0.1705075845974329,Rennes,Nancy,1,1,0,1,0,0
33,F1,24/04/10,Nancy,Montpellier,0,0,0.3333333333333333,0.3333333333333333,0.4,0910,Nancy0910,Montpellier0910,F10910,0.06666666666666665,0.3125,0.3125,0.375,Montpellier,Nancy,1,1,0,1,0,1
34,F1,02/05/10,Lille,Nancy,3,1,0.7352941176470588,0.2173913043478261,0.11764705882352941,0910,Lille0910,Nancy0910,F10910,0.07033248081841426,0.6869772998805257,0.20310633213859022,0.10991636798088411,Lille,Nancy,3,0,0,0,0,2
35,F1,05/05/10,Nancy,Le Mans,3,2,0.47619047619047616,0.3125,0.2777777777777778,0910,Nancy0910,Le Mans0910,F10910,0.06646825396825395,0.44651162790697674,0.2930232558139535,0.26046511627906976,Nancy,Le Mans,3,0,1,0,0,0
36,F1,08/05/10,Monaco,Nancy,2,1,0.5,0.30303030303030304,0.2631578947368421,0910,Monaco0910,Nancy0910,F10910,0.06618819776714502,0.4689603590127151,0.2842183994016455,0.2468212415856395,Monaco,Nancy,3,0,0,0,1,1
37,F1,15/05/10,Nancy,Valenciennes,1,1,0.46511627906976744,0.30303030303030304,0.29411764705882354,0910,Nancy0910,Valenciennes0910,F10910,0.06226422915889396,0.43785365853658537,0.28526829268292686,0.27687804878048783,Nancy,Valenciennes,1,1,0,1,0,0
