,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,Year,HomeYear,AwayYear,LeagueYear,B365J,B365HNorm,B365DNorm,B365ANorm,Favored,Unfavored,Homepts,Awaypts,Win,Draw,WinStreak,UndefStreak
0,F1,11/08/12,Nice,Ajaccio,0,1,0.5235602094240838,0.3076923076923077,0.23094688221709006,1213,Nice1213,Ajaccio1213,F11213,0.06219939933348151,0.4929020010297615,0.2896747144513368,0.21742328451890172,Nice,Ajaccio,0,3,0,0,0,0
1,F1,18/08/12,Valenciennes,Nice,0,0,0.5235602094240838,0.3076923076923077,0.23094688221709006,1213,Valenciennes1213,Nice1213,F11213,0.06219939933348151,0.4929020010297615,0.2896747144513368,0.21742328451890172,Valenciennes,Nice,1,1,0,1,0,0
2,F1,25/08/12,Nice,Lille,2,2,0.25,0.3125,0.5,1213,Nice1213,Lille1213,F11213,0.0625,0.23529411764705882,0.29411764705882354,0.47058823529411764,Lille,Nice,1,1,0,1,0,1
3,F1,02/09/12,Bordeaux,Nice,1,1,0.6172839506172839,0.2777777777777778,0.16666666666666666,1213,Bordeaux1213,Nice1213,F11213,0.06172839506172845,0.5813953488372092,0.2616279069767442,0.15697674418604649,Bordeaux,Nice,1,1,0,1,0,2
4,F1,15/09/12,Nice,Brest,4,2,0.5,0.3125,0.25,1213,Nice1213,Brest1213,F11213,0.0625,0.47058823529411764,0.29411764705882354,0.23529411764705882,Nice,Brest,3,0,1,0,0,3
5,F1,22/09/12,Lorient,Nice,1,1,0.5235602094240838,0.30303030303030304,0.23809523809523808,1213,Lorient1213,Nice1213,F11213,0.064685750549625,0.4917509313464608,0.2846194784459819,0.22362959020755718,Lorient,Nice,1,1,0,1,1,4
6,F1,29/09/12,Nice,Bastia,2,2,0.45454545454545453,0.3333333333333333,0.2777777777777778,1213,Nice1213,Bastia1213,F11213,0.06565656565656575,0.42654028436018954,0.31279620853080564,0.2606635071090047,Nice,Bastia,1,1,0,1,0,5
7,F1,06/10/12,Reims,Nice,3,1,0.45454545454545453,0.3225806451612903,0.2857142857142857,1213,Reims1213,Nice1213,F11213,0.06284038542103065,0.4276704769412692,0.303508080409933,0.26882144264879776,Reims,Nice,3,0,0,0,0,6
8,F1,20/10/12,Nice,St Etienne,1,1,0.35714285714285715,0.3225806451612903,0.3846153846153846,1213,Nice1213,St Etienne1213,F11213,0.06433888691953205,0.33555370524562866,0.30308076602830974,0.3613655287260616,St Etienne,Nice,1,1,0,1,0,0
9,F1,27/10/12,Montpellier,Nice,3,1,0.5882352941176471,0.2857142857142857,0.19047619047619047,1213,Montpellier1213,Nice1213,F11213,0.06442577030812324,0.5526315789473685,0.26842105263157895,0.17894736842105263,Montpellier,Nice,3,0,0,0,0,1
