,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,Year,HomeYear,AwayYear,LeagueYear,B365J,B365HNorm,B365DNorm,B365ANorm,Favored,Unfavored,Homepts,Awaypts,Win,Draw,WinStreak,UndefStreak
0,E0,17/08/13,Norwich,Everton,2,2,0.3125,0.29411764705882354,0.4166666666666667,1314,Norwich1314,Everton1314,E01314,0.023284313725490335,0.3053892215568862,0.2874251497005988,0.40718562874251496,Everton,Norwich,1,1,0,1,0,0
1,E0,24/08/13,Hull,Norwich,1,0,0.4081632653061224,0.29411764705882354,0.3225806451612903,1314,Hull1314,Norwich1314,E01314,0.02486155752623631,0.3982618552805592,0.28698280748157945,0.3147553372378613,Hull,Norwich,3,0,0,0,0,1
2,E0,31/08/13,Norwich,Southampton,1,0,0.3333333333333333,0.30303030303030304,0.3921568627450981,1314,Norwich1314,Southampton1314,E01314,0.028520499108734443,0.3240901213171577,0.29462738301559793,0.3812824956672444,Southampton,Norwich,3,0,1,0,0,0
3,E0,14/09/13,Tottenham,Norwich,2,0,0.6896551724137931,0.21052631578947367,0.125,1314,Tottenham1314,Norwich1314,E01314,0.025181488203266822,0.6727152024784244,0.20535516707236112,0.12192963044921443,Tottenham,Norwich,3,0,0,0,1,1
4,E0,21/09/13,Norwich,Aston Villa,0,1,0.4166666666666667,0.29411764705882354,0.3125,1314,Norwich1314,Aston Villa1314,E01314,0.023284313725490335,0.40718562874251496,0.2874251497005988,0.3053892215568862,Norwich,Aston Villa,0,3,0,0,0,0
5,E0,29/09/13,Stoke,Norwich,0,1,0.5128205128205129,0.29411764705882354,0.2222222222222222,1314,Stoke1314,Norwich1314,E01314,0.02916038210155847,0.49829018075232057,0.28578407425500735,0.21592574499267222,Stoke,Norwich,0,3,1,0,0,0
6,E0,06/10/13,Norwich,Chelsea,1,3,0.15384615384615385,0.25,0.6172839506172839,1314,Norwich1314,Chelsea1314,E01314,0.02113010446343777,0.15066263659614043,0.24482678446872821,0.6045105789351314,Chelsea,Norwich,0,3,0,0,1,1
7,E0,19/10/13,Arsenal,Norwich,4,1,0.7751937984496123,0.16666666666666666,0.08333333333333333,1314,Arsenal1314,Norwich1314,E01314,0.025193798449612226,0.7561436672967865,0.1625708884688091,0.08128544423440455,Arsenal,Norwich,3,0,0,0,0,0
8,E0,26/10/13,Norwich,Cardiff,0,0,0.45454545454545453,0.29411764705882354,0.2777777777777778,1314,Norwich1314,Cardiff1314,E01314,0.02644087938205586,0.4428364688856729,0.2865412445730825,0.2706222865412446,Norwich,Cardiff,1,1,0,1,0,0
9,E0,02/11/13,Man City,Norwich,7,0,0.8333333333333334,0.13333333333333333,0.05555555555555555,1314,Man City1314,Norwich1314,E01314,0.022222222222222143,0.8152173913043479,0.13043478260869565,0.05434782608695652,Man City,Norwich,3,0,0,0,0,1
10,E0,09/11/13,Norwich,West Ham,3,1,0.3802281368821293,0.30303030303030304,0.3448275862068966,1314,Norwich1314,West Ham1314,E01314,0.028086026119328977,0.3698407791003246,0.29475189364662235,0.335407327253053,Norwich,West Ham,3,0,1,0,0,0
11,E0,23/11/13,Newcastle,Norwich,2,1,0.5555555555555556,0.2631578947368421,0.21052631578947367,1314,Newcastle1314,Norwich1314,E01314,0.029239766081871288,0.5397727272727273,0.2556818181818182,0.20454545454545456,Newcastle,Norwich,3,0,0,0,1,1
12,E0,30/11/13,Norwich,Crystal Palace,1,0,0.5,0.29411764705882354,0.23094688221709006,1314,Norwich1314,Crystal Palace1314,E01314,0.02506452927591374,0.4877741700351202,0.2869259823736001,0.22529984759127952,Norwich,Crystal Palace,3,0,1,0,0,0
13,E0,04/12/13,Liverpool,Norwich,5,1,0.7751937984496123,0.16666666666666666,0.08333333333333333,1314,Liverpool1314,Norwich1314,E01314,0.025193798449612226,0.7561436672967865,0.1625708884688091,0.08128544423440455,Liverpool,Norwich,3,0,0,0,1,1
14,E0,07/12/13,West Brom,Norwich,0,2,0.5555555555555556,0.26666666666666666,0.2,1314,West Brom1314,Norwich1314,E01314,0.022222222222222143,0.5434782608695653,0.2608695652173913,0.19565217391304351,West Brom,Norwich,0,3,1,0,0,0
15,E0,15/12/13,Norwich,Swansea,1,1,0.3472222222222222,0.30303030303030304,0.37037037037037035,1314,Norwich1314,Swansea1314,E01314,0.020622895622895765,0.34020618556701027,0.2969072164948453,0.36288659793814426,Swansea,Norwich,1,1,0,1,1,1
