,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,Year,HomeYear,AwayYear,LeagueYear,B365J,B365HNorm,B365DNorm,B365ANorm,Favored,Unfavored,Homepts,Awaypts,Win,Draw,WinStreak,UndefStreak
0,E2,07/08/10,Notts County,Huddersfield,0,3,0.4,0.30303030303030304,0.36363636363636365,1011,Notts County1011,Huddersfield1011,E21011,0.06666666666666687,0.37499999999999994,0.28409090909090906,0.34090909090909083,Chelsea,Hull,0,3,0,0,0,0
1,E2,14/08/10,Oldham,Notts County,3,0,0.45454545454545453,0.3125,0.29411764705882354,1011,Oldham1011,Notts County1011,E21011,0.06116310160427818,0.4283464566929133,0.2944881889763779,0.27716535433070866,Sunderland,Blackburn,3,0,0,0,0,0
2,E2,21/08/10,Notts County,Dag and Red,1,0,0.5464480874316939,0.2857142857142857,0.23094688221709006,1011,Notts County1011,Dag and Red1011,E21011,0.06310925536306966,0.5140093406910212,0.2687534552755911,0.21723720403338773,Liverpool,Aston Villa,3,0,1,0,0,0
3,E2,28/08/10,Bournemouth,Notts County,3,3,0.4444444444444444,0.3076923076923077,0.3125,1011,Bournemouth1011,Notts County1011,E21011,0.06463675213675213,0.41746111389864526,0.28901154039136984,0.29352734570998495,Man City,Portsmouth,1,1,0,1,1,1
4,E2,04/09/10,Notts County,Yeovil,4,0,0.5464480874316939,0.2857142857142857,0.23094688221709006,1011,Notts County1011,Yeovil1011,E21011,0.06310925536306966,0.5140093406910212,0.2687534552755911,0.21723720403338773,Liverpool,West Ham,3,0,1,0,0,2
5,E2,11/09/10,Charlton,Notts County,1,0,0.5,0.29411764705882354,0.26666666666666666,1011,Charlton1011,Notts County1011,E21011,0.0607843137254902,0.47134935304990755,0.27726432532347506,0.2513863216266174,Everton,Portsmouth,3,0,0,0,1,3
6,E2,18/09/10,Notts County,Leyton Orient,3,2,0.5464480874316939,0.2857142857142857,0.23094688221709006,1011,Notts County1011,Leyton Orient1011,E21011,0.06310925536306966,0.5140093406910212,0.2687534552755911,0.21723720403338773,Arsenal,Birmingham,3,0,1,0,0,0
7,E2,25/09/10,Bristol Rvs,Notts County,2,1,0.4,0.30303030303030304,0.36363636363636365,1011,Bristol Rvs1011,Notts County1011,E21011,0.06666666666666687,0.37499999999999994,0.28409090909090906,0.34090909090909083,Burnley,Wigan,3,0,0,0,1,1
8,E2,28/09/10,Peterboro,Notts County,2,3,0.5988023952095809,0.26666666666666666,0.2,1011,Peterboro1011,Notts County1011,E21011,0.06546906187624746,0.562008242787561,0.2502810041213938,0.18771075309104535,Stoke,Wolves,0,3,1,0,0,0
9,E2,02/10/10,Notts County,Sheffield Weds,0,2,0.4,0.30303030303030304,0.36363636363636365,1011,Notts County1011,Sheffield Weds1011,E21011,0.06666666666666687,0.37499999999999994,0.28409090909090906,0.34090909090909083,West Ham,Everton,0,3,0,0,1,1
10,E2,09/10/10,Carlisle,Notts County,1,0,0.5,0.29411764705882354,0.26666666666666666,1011,Carlisle1011,Notts County1011,E21011,0.0607843137254902,0.47134935304990755,0.27726432532347506,0.2513863216266174,Man United,Everton,3,0,0,0,0,0
11,E2,16/10/10,Notts County,Plymouth,2,0,0.4444444444444444,0.3125,0.3076923076923077,1011,Notts County1011,Plymouth1011,E21011,0.06463675213675213,0.41746111389864526,0.29352734570998495,0.28901154039136984,Arsenal,Stoke,3,0,1,0,0,0
12,E2,23/10/10,Colchester,Notts County,2,1,0.45454545454545453,0.29411764705882354,0.3125,1011,Colchester1011,Notts County1011,E21011,0.06116310160427796,0.42834645669291344,0.2771653543307087,0.29448818897637796,Tottenham,Everton,3,0,0,0,1,1
13,E2,30/10/10,Notts County,Southampton,1,3,0.3125,0.3076923076923077,0.4444444444444444,1011,Notts County1011,Southampton1011,E21011,0.06463675213675213,0.29352734570998495,0.28901154039136984,0.41746111389864526,Arsenal,Burnley,0,3,0,0,0,0
14,E2,13/11/10,Exeter,Notts County,3,1,0.3846153846153846,0.3125,0.36363636363636365,1011,Exeter1011,Notts County1011,E21011,0.06075174825174834,0.36258755665430564,0.2946023897816234,0.34281005356407085,West Ham,Portsmouth,3,0,0,0,0,0
