,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,Year,HomeYear,AwayYear,LeagueYear,B365J,B365HNorm,B365DNorm,B365ANorm,Favored,Unfavored,Homepts,Awaypts,Win,Draw,WinStreak,UndefStreak
0,D1,08/08/09,Nurnberg,Schalke 04,1,2,0.2857142857142857,0.30303030303030304,0.47619047619047616,0910,Nurnberg0910,Schalke 040910,D10910,0.06493506493506507,0.26829268292682923,0.2845528455284553,0.4471544715447154,Schalke 04,Nurnberg,0,3,0,0,0,0
1,D1,15/08/09,Ein Frankfurt,Nurnberg,1,1,0.48780487804878053,0.29411764705882354,0.2777777777777778,0910,Ein Frankfurt0910,Nurnberg0910,D10910,0.05970030288538197,0.4603234298608499,0.27754795035727714,0.26212861978187285,Ein Frankfurt,Nurnberg,1,1,0,1,0,0
2,D1,22/08/09,Nurnberg,Hannover,0,2,0.5,0.30303030303030304,0.2631578947368421,0910,Nurnberg0910,Hannover0910,D10910,0.06618819776714502,0.4689603590127151,0.2842183994016455,0.2468212415856395,Nurnberg,Hannover,0,3,0,0,0,1
3,D1,29/08/09,Stuttgart,Nurnberg,0,0,0.6944444444444444,0.23094688221709006,0.14285714285714285,0910,Stuttgart0910,Nurnberg0910,D10910,0.06824846951867736,0.6500776404176282,0.2161921021250311,0.13373025745734066,Stuttgart,Nurnberg,1,1,0,1,0,0
4,D1,12/09/09,Nurnberg,M'gladbach,1,0,0.47619047619047616,0.29411764705882354,0.29411764705882354,0910,Nurnberg0910,M'gladbach0910,D10910,0.06442577030812324,0.4473684210526316,0.27631578947368424,0.27631578947368424,Nurnberg,M'gladbach,3,0,1,0,0,1
5,D1,19/09/09,Bayern Munich,Nurnberg,2,1,0.8547008547008548,0.14285714285714285,0.0625,0910,Bayern Munich0910,Nurnberg0910,D10910,0.06005799755799757,0.8062774458282341,0.13476351594557626,0.05895903822618962,Bayern Munich,Nurnberg,3,0,0,0,1,2
6,D1,25/09/09,Nurnberg,Bochum,0,1,0.5235602094240838,0.29411764705882354,0.25,0910,Nurnberg0910,Bochum0910,D10910,0.06767785648290725,0.4903728275762602,0.2754741472560756,0.23415302516766426,Nurnberg,Bochum,0,3,0,0,0,0
7,D1,03/10/09,Leverkusen,Nurnberg,4,0,0.7142857142857143,0.2222222222222222,0.125,0910,Leverkusen0910,Nurnberg0910,D10910,0.06150793650793651,0.6728971962616822,0.20934579439252335,0.11775700934579439,Leverkusen,Nurnberg,3,0,0,0,0,0
8,D1,17/10/09,Nurnberg,Hertha,3,0,0.46511627906976744,0.29411764705882354,0.3076923076923077,0910,Nurnberg0910,Hertha0910,D10910,0.06692623382089868,0.4359404280501035,0.27566821185521256,0.2883913600946839,Nurnberg,Hertha,3,0,1,0,0,0
9,D1,24/10/09,Hoffenheim,Nurnberg,3,0,0.6944444444444444,0.21052631578947367,0.13333333333333333,0910,Hoffenheim0910,Nurnberg0910,D10910,0.038304093567251396,0.6688256829062236,0.20275978597578148,0.12841453111799495,Hoffenheim,Nurnberg,3,0,0,0,1,1
10,D1,31/10/09,Nurnberg,Werder Bremen,2,2,0.18181818181818182,0.26666666666666666,0.6172839506172839,0910,Nurnberg0910,Werder Bremen0910,D10910,0.06576879910213229,0.1705981465880371,0.25021061499578773,0.5791912384161753,Werder Bremen,Nurnberg,1,1,0,1,0,0
11,D1,07/11/09,Mainz,Nurnberg,1,0,0.47619047619047616,0.29411764705882354,0.29411764705882354,0910,Mainz0910,Nurnberg0910,D10910,0.06442577030812324,0.4473684210526316,0.27631578947368424,0.27631578947368424,Mainz,Nurnberg,3,0,0,0,0,1
12,D1,21/11/09,Wolfsburg,Nurnberg,2,3,0.7142857142857143,0.2222222222222222,0.125,0910,Wolfsburg0910,Nurnberg0910,D10910,0.06150793650793651,0.6728971962616822,0.20934579439252335,0.11775700934579439,Wolfsburg,Nurnberg,0,3,1,0,0,0
13,D1,28/11/09,Nurnberg,Freiburg,0,1,0.5,0.29411764705882354,0.27027027027027023,0910,Nurnberg0910,Freiburg0910,D10910,0.06438791732909377,0.4697535474234503,0.2763256161314414,0.25392083644510827,Nurnberg,Freiburg,0,3,0,0,1,1
14,D1,05/12/09,Dortmund,Nurnberg,4,0,0.5555555555555556,0.2857142857142857,0.2222222222222222,0910,Dortmund0910,Nurnberg0910,D10910,0.06349206349206349,0.5223880597014926,0.26865671641791045,0.208955223880597,Dortmund,Nurnberg,3,0,0,0,0,0
15,D1,12/12/09,Nurnberg,Hamburg,0,4,0.2857142857142857,0.30303030303030304,0.47619047619047616,0910,Nurnberg0910,Hamburg0910,D10910,0.06493506493506507,0.26829268292682923,0.2845528455284553,0.4471544715447154,Hamburg,Nurnberg,0,3,0,0,0,0
16,D1,20/12/09,FC Koln,Nurnberg,3,0,0.47619047619047616,0.30303030303030304,0.2857142857142857,0910,FC Koln0910,Nurnberg0910,D10910,0.06493506493506507,0.4471544715447154,0.2845528455284553,0.26829268292682923,FC Koln,Nurnberg,3,0,0,0,0,0
17,D1,17/01/10,Schalke 04,Nurnberg,1,0,0.7142857142857143,0.2222222222222222,0.13333333333333333,0910,Schalke 040910,Nurnberg0910,D10910,0.06984126984126982,0.6676557863501484,0.20771513353115725,0.12462908011869436,Schalke 04,Nurnberg,3,0,0,0,0,0
18,D1,23/01/10,Nurnberg,Ein Frankfurt,1,1,0.46511627906976744,0.30303030303030304,0.30303030303030304,0910,Nurnberg0910,Ein Frankfurt0910,D10910,0.07117688513037357,0.43421052631578944,0.28289473684210525,0.28289473684210525,Nurnberg,Ein Frankfurt,1,1,0,1,0,0
19,D1,30/01/10,Hannover,Nurnberg,1,3,0.47619047619047616,0.30303030303030304,0.2857142857142857,0910,Hannover0910,Nurnberg0910,D10910,0.06493506493506507,0.4471544715447154,0.2845528455284553,0.26829268292682923,Hannover,Nurnberg,0,3,1,0,0,1
20,D1,06/02/10,Nurnberg,Stuttgart,1,2,0.2857142857142857,0.29411764705882354,0.47619047619047616,0910,Nurnberg0910,Stuttgart0910,D10910,0.056022408963585235,0.27055702917771884,0.2785145888594165,0.4509283819628648,Stuttgart,Nurnberg,0,3,0,0,1,2
21,D1,12/02/10,M'gladbach,Nurnberg,2,1,0.5,0.29411764705882354,0.26666666666666666,0910,M'gladbach0910,Nurnberg0910,D10910,0.0607843137254902,0.47134935304990755,0.27726432532347506,0.2513863216266174,M'gladbach,Nurnberg,3,0,0,0,0,0
22,D1,20/02/10,Nurnberg,Bayern Munich,1,1,0.11764705882352941,0.21052631578947367,0.7352941176470588,0910,Nurnberg0910,Bayern Munich0910,D10910,0.06346749226006176,0.11062590975254732,0.19796215429403205,0.6914119359534208,Bayern Munich,Nurnberg,1,1,0,1,0,0
23,D1,27/02/10,Bochum,Nurnberg,0,0,0.45454545454545453,0.30303030303030304,0.30303030303030304,0910,Bochum0910,Nurnberg0910,D10910,0.06060606060606055,0.4285714285714286,0.28571428571428575,0.28571428571428575,Bochum,Nurnberg,1,1,0,1,0,1
