,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,Year,HomeYear,AwayYear,LeagueYear,B365J,B365HNorm,B365DNorm,B365ANorm,Favored,Unfavored,Homepts,Awaypts,Win,Draw,WinStreak,UndefStreak
0,E2,07/08/10,Tranmere,Oldham,1,2,0.45454545454545453,0.30303030303030304,0.3076923076923077,1011,Tranmere1011,Oldham1011,E21011,0.06526806526806528,0.42669584245076586,0.2844638949671772,0.2888402625820569,Liverpool,Tottenham,0,3,1,0,0,0
1,E2,14/08/10,Oldham,Notts County,3,0,0.45454545454545453,0.3125,0.29411764705882354,1011,Oldham1011,Notts County1011,E21011,0.06116310160427818,0.4283464566929133,0.2944881889763779,0.27716535433070866,Sunderland,Blackburn,3,0,1,0,1,1
2,E2,21/08/10,Charlton,Oldham,1,1,0.5555555555555556,0.2857142857142857,0.2222222222222222,1011,Charlton1011,Oldham1011,E21011,0.06349206349206349,0.5223880597014926,0.26865671641791045,0.208955223880597,Chelsea,Fulham,1,1,0,1,2,2
3,E2,28/08/10,Oldham,Yeovil,0,0,0.5464480874316939,0.2857142857142857,0.23094688221709006,1011,Oldham1011,Yeovil1011,E21011,0.06310925536306966,0.5140093406910212,0.2687534552755911,0.21723720403338773,Aston Villa,Birmingham,1,1,0,1,0,3
4,E2,04/09/10,Oldham,Bristol Rvs,1,1,0.5464480874316939,0.29411764705882354,0.2222222222222222,1011,Oldham1011,Bristol Rvs1011,E21011,0.06278795671273985,0.5141647343482205,0.27674160701683637,0.209093658634943,Chelsea,Tottenham,1,1,0,1,0,4
5,E2,11/09/10,Peterboro,Oldham,5,2,0.5780346820809249,0.2857142857142857,0.2,1011,Peterboro1011,Oldham1011,E21011,0.06374896779521055,0.5433938829374321,0.2685918335662164,0.18801428349635152,Sunderland,Wolves,3,0,0,0,0,5
6,E2,18/09/10,Oldham,Bournemouth,2,1,0.4347826086956522,0.29411764705882354,0.3333333333333333,1011,Oldham1011,Bournemouth1011,E21011,0.06223358908780896,0.4093097913322633,0.27688603531300165,0.31380417335473515,Chelsea,Aston Villa,3,0,1,0,0,0
7,E2,25/09/10,Brighton,Oldham,2,1,0.5555555555555556,0.2777777777777778,0.23094688221709006,1011,Brighton1011,Oldham1011,E21011,0.0642802155504234,0.5220012055455093,0.26100060277275466,0.21699819168173598,Sunderland,Birmingham,3,0,0,0,1,1
8,E2,28/09/10,Sheffield Weds,Oldham,0,0,0.5235602094240838,0.29411764705882354,0.25,1011,Sheffield Weds1011,Oldham1011,E21011,0.06767785648290725,0.4903728275762602,0.2754741472560756,0.23415302516766426,Man City,Birmingham,1,1,0,1,0,0
9,E2,02/10/10,Oldham,Leyton Orient,1,1,0.5235602094240838,0.29411764705882354,0.25,1011,Oldham1011,Leyton Orient1011,E21011,0.06767785648290725,0.4903728275762602,0.2754741472560756,0.23415302516766426,Wigan,Fulham,1,1,0,1,0,1
10,E2,09/10/10,Brentford,Oldham,1,3,0.45454545454545453,0.30303030303030304,0.3076923076923077,1011,Brentford1011,Oldham1011,E21011,0.06526806526806528,0.42669584245076586,0.2844638949671772,0.2888402625820569,West Ham,Hull,0,3,1,0,0,2
11,E2,16/10/10,Oldham,Colchester,0,0,0.42016806722689076,0.30303030303030304,0.3448275862068966,1011,Oldham1011,Colchester1011,E21011,0.06802595646409038,0.39340623201512787,0.28372934308969827,0.3228644248951739,Aston Villa,Hull,1,1,0,1,1,3
12,E2,23/10/10,Southampton,Oldham,2,1,0.6172839506172839,0.2777777777777778,0.16666666666666666,1011,Southampton1011,Oldham1011,E21011,0.06172839506172845,0.5813953488372092,0.2616279069767442,0.15697674418604649,Blackburn,Hull,3,0,0,0,0,4
13,E2,30/10/10,Oldham,Plymouth,4,2,0.45454545454545453,0.29411764705882354,0.3125,1011,Oldham1011,Plymouth1011,E21011,0.06116310160427796,0.42834645669291344,0.2771653543307087,0.29448818897637796,Chelsea,Portsmouth,3,0,1,0,0,0
14,E2,13/11/10,Oldham,Huddersfield,1,0,0.3448275862068966,0.3076923076923077,0.4166666666666667,1011,Oldham1011,Huddersfield1011,E21011,0.06918656056587102,0.3225139549307422,0.28778168286127764,0.3897043622079801,Arsenal,Aston Villa,3,0,1,0,1,1
15,E2,20/11/10,Dag and Red,Oldham,0,1,0.3846153846153846,0.3076923076923077,0.37037037037037035,1011,Dag and Red1011,Oldham1011,E21011,0.06267806267806275,0.3619302949061662,0.28954423592493295,0.34852546916890076,Bolton,Hull,0,3,1,0,2,2
16,E2,23/11/10,Oldham,Exeter,3,3,0.5128205128205129,0.29411764705882354,0.2631578947368421,1011,Oldham1011,Exeter1011,E21011,0.0700960546161784,0.47922848664688433,0.27485163204747776,0.245919881305638,Arsenal,Bolton,1,1,0,1,3,3
17,E2,27/11/10,Rochdale,Oldham,1,1,0.3846153846153846,0.3076923076923077,0.37037037037037035,1011,Rochdale1011,Oldham1011,E21011,0.06267806267806275,0.3619302949061662,0.28954423592493295,0.34852546916890076,Tottenham,Fulham,1,1,0,1,0,4
18,E2,01/01/11,Hartlepool,Oldham,4,2,0.45454545454545453,0.30303030303030304,0.3076923076923077,1011,Hartlepool1011,Oldham1011,E21011,0.06526806526806528,0.42669584245076586,0.2844638949671772,0.2888402625820569,Sunderland,Wigan,3,0,0,0,0,5
19,E2,03/01/11,Oldham,Rochdale,1,2,0.5555555555555556,0.2857142857142857,0.2222222222222222,1011,Oldham1011,Rochdale1011,E21011,0.06349206349206349,0.5223880597014926,0.26865671641791045,0.208955223880597,Man City,Stoke,0,3,0,0,0,0
20,E2,08/01/11,Oldham,Swindon,2,0,0.42016806722689076,0.3076923076923077,0.3333333333333333,1011,Oldham1011,Swindon1011,E21011,0.06119370825253179,0.39593908629441626,0.2899492385786802,0.3141116751269035,Blackburn,Bolton,3,0,1,0,0,0
21,E2,11/01/11,Oldham,Southampton,0,6,0.2631578947368421,0.29411764705882354,0.5128205128205129,1011,Oldham1011,Southampton1011,E21011,0.07009605461617863,0.24591988130563794,0.2748516320474777,0.4792284866468843,Birmingham,Wigan,0,3,0,0,1,1
22,E2,15/01/11,Plymouth,Oldham,0,2,0.3846153846153846,0.3076923076923077,0.37037037037037035,1011,Plymouth1011,Oldham1011,E21011,0.06267806267806275,0.3619302949061662,0.28954423592493295,0.34852546916890076,Arsenal,Burnley,0,3,1,0,0,0
23,E2,22/01/11,Oldham,Brentford,2,1,0.47619047619047616,0.30303030303030304,0.2857142857142857,1011,Oldham1011,Brentford1011,E21011,0.06493506493506507,0.4471544715447154,0.2845528455284553,0.26829268292682923,Liverpool,Portsmouth,3,0,1,0,1,1
24,E2,25/01/11,Walsall,Oldham,1,1,0.35714285714285715,0.3076923076923077,0.4,1011,Walsall1011,Oldham1011,E21011,0.06483516483516505,0.33539731682146534,0.2889576883384932,0.3756449948400412,Chelsea,Blackburn,1,1,0,1,2,2
25,E2,29/01/11,Carlisle,Oldham,2,2,0.45454545454545453,0.30303030303030304,0.3076923076923077,1011,Carlisle1011,Oldham1011,E21011,0.06526806526806528,0.42669584245076586,0.2844638949671772,0.2888402625820569,West Ham,Wolves,1,1,0,1,0,3
26,E2,01/02/11,Oldham,Hartlepool,4,0,0.5,0.29411764705882354,0.26666666666666666,1011,Oldham1011,Hartlepool1011,E21011,0.0607843137254902,0.47134935304990755,0.27726432532347506,0.2513863216266174,West Ham,Stoke,3,0,1,0,0,4
27,E2,05/02/11,Oldham,Dag and Red,1,1,0.5988023952095809,0.26666666666666666,0.2,1011,Oldham1011,Dag and Red1011,E21011,0.06546906187624746,0.562008242787561,0.2502810041213938,0.18771075309104535,Liverpool,Birmingham,1,1,0,1,1,5
28,E2,12/02/11,Huddersfield,Oldham,0,0,0.5555555555555556,0.2857142857142857,0.2222222222222222,1011,Huddersfield1011,Oldham1011,E21011,0.06349206349206349,0.5223880597014926,0.26865671641791045,0.208955223880597,Arsenal,Tottenham,1,1,0,1,0,6
29,E2,15/02/11,Oldham,Carlisle,0,1,0.5235602094240838,0.2777777777777778,0.26666666666666666,1011,Oldham1011,Carlisle1011,E21011,0.06800465386852816,0.49022277901846506,0.2600904188681301,0.24968680211340488,Liverpool,West Ham,0,3,0,0,0,7
30,E2,19/02/11,Bristol Rvs,Oldham,1,0,0.3125,0.29411764705882354,0.45454545454545453,1011,Bristol Rvs1011,Oldham1011,E21011,0.06116310160427818,0.2944881889763779,0.27716535433070866,0.4283464566929133,Man United,Tottenham,3,0,0,0,0,0
31,E2,22/02/11,Milton Keynes Dons,Oldham,0,0,0.4444444444444444,0.29411764705882354,0.3225806451612903,1011,Milton Keynes Dons1011,Oldham1011,E21011,0.06114273666455827,0.41883568448241604,0.27717067355454006,0.3039936419630439,Fulham,West Ham,1,1,0,1,0,0
32,E2,26/02/11,Oldham,Peterboro,0,5,0.4166666666666667,0.2857142857142857,0.36363636363636365,1011,Oldham1011,Peterboro1011,E21011,0.06601731601731586,0.3908629441624366,0.26802030456852793,0.34111675126903557,Bolton,Birmingham,0,3,0,0,0,1
33,E2,05/03/11,Bournemouth,Oldham,3,0,0.5464480874316939,0.2857142857142857,0.23094688221709006,1011,Bournemouth1011,Oldham1011,E21011,0.06310925536306966,0.5140093406910212,0.2687534552755911,0.21723720403338773,Leicester,Swansea,3,0,0,0,0,0
34,E2,08/03/11,Oldham,Sheffield Weds,2,3,0.4347826086956522,0.3076923076923077,0.3472222222222222,1011,Oldham1011,Sheffield Weds1011,E21011,0.08969713861018214,0.39899398951361953,0.2823649771942538,0.3186410332921267,Swansea,Middlesbrough,0,3,0,0,0,0
35,E2,12/03/11,Leyton Orient,Oldham,1,0,0.5555555555555556,0.2857142857142857,0.2222222222222222,1011,Leyton Orient1011,Oldham1011,E21011,0.06349206349206349,0.5223880597014926,0.26865671641791045,0.208955223880597,Swansea,Reading,3,0,0,0,0,0
36,E2,19/03/11,Oldham,Brighton,0,1,0.2857142857142857,0.30303030303030304,0.47619047619047616,1011,Oldham1011,Brighton1011,E21011,0.06493506493506507,0.26829268292682923,0.2845528455284553,0.4471544715447154,Cardiff,Doncaster,0,3,0,0,0,0
37,E2,22/03/11,Colchester,Oldham,1,0,0.5,0.30303030303030304,0.26666666666666666,1011,Colchester1011,Oldham1011,E21011,0.06969696969696959,0.4674220963172805,0.28328611898017003,0.2492917847025496,Peterboro,Crystal Palace,3,0,0,0,0,0
38,E2,28/03/11,Oldham,Tranmere,0,0,0.47619047619047616,0.30303030303030304,0.2857142857142857,1011,Oldham1011,Tranmere1011,E21011,0.06493506493506507,0.4471544715447154,0.2845528455284553,0.26829268292682923,Cardiff,Newcastle,1,1,0,1,0,0
39,E2,02/04/11,Notts County,Oldham,0,2,0.5235602094240838,0.29411764705882354,0.25,1011,Notts County1011,Oldham1011,E21011,0.06767785648290725,0.4903728275762602,0.2754741472560756,0.23415302516766426,West Brom,Doncaster,0,3,1,0,0,1
40,E2,09/04/11,Oldham,Charlton,0,0,0.4166666666666667,0.3125,0.3333333333333333,1011,Oldham1011,Charlton1011,E21011,0.0625,0.39215686274509803,0.29411764705882354,0.3137254901960784,Sheffield Weds,Cardiff,1,1,0,1,1,2
41,E2,16/04/11,Yeovil,Oldham,1,1,0.47619047619047616,0.3076923076923077,0.2777777777777778,1011,Yeovil1011,Oldham1011,E21011,0.061660561660561664,0.4485336400230017,0.2898217366302473,0.26164462334675104,Crystal Palace,Blackpool,1,1,0,1,0,3
42,E2,22/04/11,Exeter,Oldham,2,0,0.5464480874316939,0.2857142857142857,0.23094688221709006,1011,Exeter1011,Oldham1011,E21011,0.06310925536306966,0.5140093406910212,0.2687534552755911,0.21723720403338773,Plymouth,Scunthorpe,3,0,0,0,0,4
43,E2,25/04/11,Oldham,Walsall,1,1,0.4347826086956522,0.2857142857142857,0.3472222222222222,1011,Oldham1011,Walsall1011,E21011,0.06771911663216024,0.4072069160539711,0.2675931162640381,0.3251999676819907,Sheffield Weds,Coventry,1,1,0,1,0,0
44,E2,30/04/11,Swindon,Oldham,0,2,0.4444444444444444,0.29411764705882354,0.3333333333333333,1011,Swindon1011,Oldham1011,E21011,0.07189542483660127,0.4146341463414634,0.27439024390243905,0.31097560975609756,Barnsley,Bristol City,0,3,1,0,0,1
