,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,Year,HomeYear,AwayYear,LeagueYear,B365J,B365HNorm,B365DNorm,B365ANorm,Favored,Unfavored,Homepts,Awaypts,Win,Draw,WinStreak,UndefStreak
0,SP1,29/08/10,Osasuna,Almeria,0,0,0.5,0.29411764705882354,0.26666666666666666,1011,Osasuna1011,Almeria1011,SP11011,0.0607843137254902,0.47134935304990755,0.27726432532347506,0.2513863216266174,Osasuna,Almeria,1,1,0,1,0,0
1,SP1,11/09/10,Real Madrid,Osasuna,1,0,0.8547008547008548,0.15384615384615385,0.058823529411764705,1011,Real Madrid1011,Osasuna1011,SP11011,0.06737053795877324,0.8007536504945832,0.14413565708902498,0.055110692416391896,Real Madrid,Osasuna,3,0,0,0,0,1
2,SP1,18/09/10,Mallorca,Osasuna,2,0,0.5235602094240838,0.29411764705882354,0.25,1011,Mallorca1011,Osasuna1011,SP11011,0.06767785648290725,0.4903728275762602,0.2754741472560756,0.23415302516766426,Mallorca,Osasuna,3,0,0,0,0,0
3,SP1,21/09/10,Osasuna,Sociedad,3,1,0.47619047619047616,0.3076923076923077,0.2777777777777778,1011,Osasuna1011,Sociedad1011,SP11011,0.061660561660561664,0.4485336400230017,0.2898217366302473,0.26164462334675104,Osasuna,Sociedad,3,0,1,0,0,0
4,SP1,26/09/10,Espanol,Osasuna,1,0,0.45454545454545453,0.30303030303030304,0.3076923076923077,1011,Espanol1011,Osasuna1011,SP11011,0.06526806526806528,0.42669584245076586,0.2844638949671772,0.2888402625820569,Espanol,Osasuna,3,0,0,0,1,1
5,SP1,03/10/10,Osasuna,Levante,1,1,0.5780346820809249,0.2857142857142857,0.2,1011,Osasuna1011,Levante1011,SP11011,0.06374896779521055,0.5433938829374321,0.2685918335662164,0.18801428349635152,Osasuna,Levante,1,1,0,1,0,0
6,SP1,17/10/10,La Coruna,Osasuna,0,0,0.4347826086956522,0.3125,0.3125,1011,La Coruna1011,Osasuna1011,SP11011,0.05978260869565233,0.41025641025641024,0.2948717948717948,0.2948717948717948,La Coruna,Osasuna,1,1,0,1,0,1
7,SP1,24/10/10,Osasuna,Malaga,3,0,0.47619047619047616,0.3076923076923077,0.2857142857142857,1011,Osasuna1011,Malaga1011,SP11011,0.06959706959706957,0.4452054794520548,0.28767123287671237,0.2671232876712329,Osasuna,Malaga,3,0,1,0,0,2
8,SP1,31/10/10,Santander,Osasuna,4,1,0.4,0.30303030303030304,0.36363636363636365,1011,Santander1011,Osasuna1011,SP11011,0.06666666666666687,0.37499999999999994,0.28409090909090906,0.34090909090909083,Santander,Osasuna,3,0,0,0,1,3
9,SP1,07/11/10,Osasuna,Hercules,3,0,0.5,0.30303030303030304,0.2631578947368421,1011,Osasuna1011,Hercules1011,SP11011,0.06618819776714502,0.4689603590127151,0.2842183994016455,0.2468212415856395,Osasuna,Hercules,3,0,1,0,0,0
10,SP1,13/11/10,Ath Madrid,Osasuna,3,0,0.6172839506172839,0.26666666666666666,0.18181818181818182,1011,Ath Madrid1011,Osasuna1011,SP11011,0.06576879910213251,0.5791912384161751,0.2502106149957877,0.17059814658803707,Ath Madrid,Osasuna,3,0,0,0,1,1
11,SP1,21/11/10,Osasuna,Sp Gijon,1,0,0.5464480874316939,0.29411764705882354,0.2222222222222222,1011,Osasuna1011,Sp Gijon1011,SP11011,0.06278795671273985,0.5141647343482205,0.27674160701683637,0.209093658634943,Osasuna,Sp Gijon,3,0,1,0,0,0
12,SP1,28/11/10,Ath Bilbao,Osasuna,1,0,0.5780346820809249,0.2777777777777778,0.21052631578947367,1011,Ath Bilbao1011,Osasuna1011,SP11011,0.06633877564817636,0.5420741468672235,0.26049674280008245,0.19742911033269403,Ath Bilbao,Osasuna,3,0,0,0,1,1
13,SP1,04/12/10,Osasuna,Barcelona,0,3,0.06666666666666667,0.16666666666666666,0.8333333333333334,1011,Osasuna1011,Barcelona1011,SP11011,0.06666666666666665,0.0625,0.15625,0.78125,Barcelona,Osasuna,0,3,0,0,0,0
14,SP1,13/12/10,Valencia,Osasuna,3,3,0.7142857142857143,0.2222222222222222,0.13333333333333333,1011,Valencia1011,Osasuna1011,SP11011,0.06984126984126982,0.6676557863501484,0.20771513353115725,0.12462908011869436,Valencia,Osasuna,1,1,0,1,0,0
15,SP1,19/12/10,Osasuna,Zaragoza,0,0,0.5,0.29411764705882354,0.26666666666666666,1011,Osasuna1011,Zaragoza1011,SP11011,0.0607843137254902,0.47134935304990755,0.27726432532347506,0.2513863216266174,Osasuna,Zaragoza,1,1,0,1,0,1
16,SP1,02/01/11,Sevilla,Osasuna,1,0,0.6172839506172839,0.26666666666666666,0.18181818181818182,1011,Sevilla1011,Osasuna1011,SP11011,0.06576879910213251,0.5791912384161751,0.2502106149957877,0.17059814658803707,Sevilla,Osasuna,3,0,0,0,0,2
17,SP1,09/01/11,Osasuna,Getafe,0,0,0.4444444444444444,0.3076923076923077,0.3125,1011,Osasuna1011,Getafe1011,SP11011,0.06463675213675213,0.41746111389864526,0.28901154039136984,0.29352734570998495,Osasuna,Getafe,1,1,0,1,0,0
18,SP1,15/01/11,Villarreal,Osasuna,4,2,0.6535947712418301,0.2631578947368421,0.15384615384615385,1011,Villarreal1011,Osasuna1011,SP11011,0.07059881982482619,0.6104945747546898,0.245804394572283,0.143701030673027,Villarreal,Osasuna,3,0,0,0,0,1
19,SP1,23/01/11,Almeria,Osasuna,3,2,0.45454545454545453,0.3125,0.29411764705882354,1011,Almeria1011,Osasuna1011,SP11011,0.06116310160427818,0.4283464566929133,0.2944881889763779,0.27716535433070866,Almeria,Osasuna,3,0,0,0,0,0
20,SP1,30/01/11,Osasuna,Real Madrid,1,0,0.1111111111111111,0.2,0.7518796992481203,1011,Osasuna1011,Real Madrid1011,SP11011,0.06299081035923138,0.10452687834014461,0.1881483810122603,0.7073247406475951,Real Madrid,Osasuna,3,0,1,0,0,0
21,SP1,05/02/11,Osasuna,Mallorca,1,1,0.47619047619047616,0.30303030303030304,0.2857142857142857,1011,Osasuna1011,Mallorca1011,SP11011,0.06493506493506507,0.4471544715447154,0.2845528455284553,0.26829268292682923,Osasuna,Mallorca,1,1,0,1,1,1
22,SP1,13/02/11,Sociedad,Osasuna,1,0,0.47619047619047616,0.3076923076923077,0.2777777777777778,1011,Sociedad1011,Osasuna1011,SP11011,0.061660561660561664,0.4485336400230017,0.2898217366302473,0.26164462334675104,Sociedad,Osasuna,3,0,0,0,0,2
23,SP1,20/02/11,Osasuna,Espanol,4,0,0.45454545454545453,0.30303030303030304,0.3076923076923077,1011,Osasuna1011,Espanol1011,SP11011,0.06526806526806528,0.42669584245076586,0.2844638949671772,0.2888402625820569,Osasuna,Espanol,3,0,1,0,0,0
24,SP1,27/02/11,Levante,Osasuna,2,1,0.4166666666666667,0.3125,0.3333333333333333,1011,Levante1011,Osasuna1011,SP11011,0.0625,0.39215686274509803,0.29411764705882354,0.3137254901960784,Levante,Osasuna,3,0,0,0,1,1
25,SP1,02/03/11,Osasuna,La Coruna,0,0,0.5128205128205129,0.30303030303030304,0.25,1011,Osasuna1011,La Coruna1011,SP11011,0.06585081585081598,0.4811372334609076,0.2843083652268999,0.23455440131219243,Osasuna,La Coruna,1,1,0,1,0,0
26,SP1,06/03/11,Malaga,Osasuna,0,1,0.5,0.30303030303030304,0.26666666666666666,1011,Malaga1011,Osasuna1011,SP11011,0.06969696969696959,0.4674220963172805,0.28328611898017003,0.2492917847025496,Malaga,Osasuna,0,3,1,0,0,1
27,SP1,13/03/11,Osasuna,Santander,3,1,0.5,0.30303030303030304,0.2631578947368421,1011,Osasuna1011,Santander1011,SP11011,0.06618819776714502,0.4689603590127151,0.2842183994016455,0.2468212415856395,Osasuna,Santander,3,0,1,0,1,2
28,SP1,20/03/11,Hercules,Osasuna,0,4,0.46511627906976744,0.3076923076923077,0.29411764705882354,1011,Hercules1011,Osasuna1011,SP11011,0.06692623382089868,0.4359404280501035,0.2883913600946839,0.27566821185521256,Hercules,Osasuna,0,3,1,0,2,3
29,SP1,03/04/11,Osasuna,Ath Madrid,2,3,0.4,0.3076923076923077,0.35714285714285715,1011,Osasuna1011,Ath Madrid1011,SP11011,0.06483516483516483,0.3756449948400413,0.28895768833849333,0.33539731682146545,Osasuna,Ath Madrid,0,3,0,0,3,4
30,SP1,10/04/11,Sp Gijon,Osasuna,1,0,0.5,0.29411764705882354,0.26666666666666666,1011,Sp Gijon1011,Osasuna1011,SP11011,0.0607843137254902,0.47134935304990755,0.27726432532347506,0.2513863216266174,Sp Gijon,Osasuna,3,0,0,0,0,0
31,SP1,17/04/11,Osasuna,Ath Bilbao,1,2,0.4166666666666667,0.3076923076923077,0.3448275862068966,1011,Osasuna1011,Ath Bilbao1011,SP11011,0.06918656056587102,0.3897043622079801,0.28778168286127764,0.3225139549307422,Osasuna,Ath Bilbao,0,3,0,0,0,0
32,SP1,23/04/11,Barcelona,Osasuna,2,0,0.8333333333333334,0.16666666666666666,0.06666666666666667,1011,Barcelona1011,Osasuna1011,SP11011,0.06666666666666665,0.78125,0.15625,0.0625,Barcelona,Osasuna,3,0,0,0,0,0
33,SP1,01/05/11,Osasuna,Valencia,1,0,0.3448275862068966,0.30303030303030304,0.4166666666666667,1011,Osasuna1011,Valencia1011,SP11011,0.0645245559038663,0.3239263803680982,0.2846625766871166,0.3914110429447853,Valencia,Osasuna,3,0,1,0,0,0
34,SP1,08/05/11,Zaragoza,Osasuna,1,3,0.47619047619047616,0.30303030303030304,0.2857142857142857,1011,Zaragoza1011,Osasuna1011,SP11011,0.06493506493506507,0.4471544715447154,0.2845528455284553,0.26829268292682923,Zaragoza,Osasuna,0,3,1,0,1,1
35,SP1,11/05/11,Osasuna,Sevilla,3,2,0.4444444444444444,0.29411764705882354,0.3225806451612903,1011,Osasuna1011,Sevilla1011,SP11011,0.06114273666455827,0.41883568448241604,0.27717067355454006,0.3039936419630439,Osasuna,Sevilla,3,0,1,0,2,2
36,SP1,15/05/11,Getafe,Osasuna,2,0,0.5555555555555556,0.2777777777777778,0.23094688221709006,1011,Getafe1011,Osasuna1011,SP11011,0.0642802155504234,0.5220012055455093,0.26100060277275466,0.21699819168173598,Getafe,Osasuna,3,0,0,0,3,3
37,SP1,21/05/11,Osasuna,Villarreal,1,0,0.5555555555555556,0.3333333333333333,0.17391304347826086,1011,Osasuna1011,Villarreal1011,SP11011,0.0628019323671496,0.5227272727272728,0.31363636363636366,0.16363636363636366,Osasuna,Villarreal,3,0,1,0,0,0
