,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,Year,HomeYear,AwayYear,LeagueYear,B365J,B365HNorm,B365DNorm,B365ANorm,Favored,Unfavored,Homepts,Awaypts,Win,Draw,WinStreak,UndefStreak
0,F1,05/08/2006,Paris SG,Lorient,2,3,0.7142857142857143,0.26666666666666666,0.125,0607,Paris SG0607,Lorient0607,F10607,0.10595238095238102,0.6458557588805166,0.24111948331539287,0.11302475780409041,Paris SG,Lorient,0,3,0,0,0,0
1,F1,12/08/2006,Valenciennes,Paris SG,0,0,0.3225806451612903,0.3448275862068966,0.4444444444444444,0607,Valenciennes0607,Paris SG0607,F10607,0.11185267581263125,0.29012894619831037,0.3101378390395732,0.3997332147621165,Paris SG,Valenciennes,1,1,0,1,0,0
2,F1,19/08/2006,Paris SG,Lille,1,0,0.4347826086956522,0.35714285714285715,0.2857142857142857,0607,Paris SG0607,Lille0607,F10607,0.07763975155279512,0.4034582132564842,0.3314121037463977,0.26512968299711814,Paris SG,Lille,3,0,1,0,0,1
3,F1,26/08/2006,Sochaux,Paris SG,3,2,0.36363636363636365,0.36363636363636365,0.36363636363636365,0607,Sochaux0607,Paris SG0607,F10607,0.09090909090909083,0.33333333333333337,0.33333333333333337,0.33333333333333337,Sochaux,Paris SG,3,0,0,0,1,2
4,F1,10/09/2006,Paris SG,Marseille,1,3,0.42194092827004215,0.3484320557491289,0.3076923076923077,0607,Paris SG0607,Marseille0607,F10607,0.0780652917114788,0.3913871743335613,0.3232012554601186,0.28541157020632013,Paris SG,Marseille,0,3,0,0,0,0
5,F1,17/09/2006,Monaco,Paris SG,1,2,0.4444444444444444,0.35714285714285715,0.3125,0607,Monaco0607,Paris SG0607,F10607,0.11408730158730163,0.3989314336598397,0.3205699020480855,0.2804986642920748,Monaco,Paris SG,0,3,1,0,0,0
6,F1,23/09/2006,Paris SG,Nancy,0,0,0.5813953488372093,0.3225806451612903,0.2222222222222222,0607,Paris SG0607,Nancy0607,F10607,0.1261982162207218,0.5162460217600474,0.2864332765894456,0.197320701650507,Paris SG,Nancy,1,1,0,1,1,1
7,F1,01/10/2006,St Etienne,Paris SG,1,0,0.42194092827004215,0.36363636363636365,0.29411764705882354,0607,St Etienne0607,Paris SG0607,F10607,0.07969493896522928,0.3907964305866126,0.3367954692691898,0.27240810014419764,St Etienne,Paris SG,3,0,0,0,0,2
8,F1,14/10/2006,Paris SG,Sedan,4,2,0.6451612903225806,0.29411764705882354,0.17391304347826086,0607,Paris SG0607,Sedan0607,F10607,0.11319198085966509,0.5795597717334914,0.2642110724079152,0.15622915585859334,Paris SG,Sedan,3,0,1,0,0,0
9,F1,22/10/2006,Auxerre,Paris SG,0,0,0.4444444444444444,0.35714285714285715,0.2777777777777778,0607,Auxerre0607,Paris SG0607,F10607,0.07936507936507953,0.41176470588235287,0.3308823529411764,0.25735294117647056,Auxerre,Paris SG,1,1,0,1,1,1
10,F1,28/10/2006,Paris SG,Rennes,1,0,0.5555555555555556,0.3125,0.23809523809523808,0607,Paris SG0607,Rennes0607,F10607,0.10615079365079372,0.5022421524663677,0.2825112107623318,0.21524663677130043,Paris SG,Rennes,3,0,1,0,0,2
11,F1,05/11/2006,Paris SG,Lens,1,3,0.5,0.3484320557491289,0.23094688221709006,0607,Paris SG0607,Lens0607,F10607,0.07937893796621909,0.4632293464444535,0.3228079069299327,0.21396274662561363,Paris SG,Lens,0,3,0,0,1,3
12,F1,11/11/2006,Le Mans,Paris SG,1,1,0.4,0.3484320557491289,0.36363636363636365,0607,Le Mans0607,Paris SG0607,F10607,0.11206841938549239,0.35969009912270716,0.31331890167483195,0.32699099920246105,Le Mans,Paris SG,1,1,0,1,0,0
13,F1,18/11/2006,Paris SG,Bordeaux,0,2,0.5128205128205129,0.36363636363636365,0.23809523809523808,0607,Paris SG0607,Bordeaux0607,F10607,0.11455211455211467,0.4601135345085151,0.3262623244696743,0.21362414102181054,Paris SG,Bordeaux,0,3,0,0,0,1
14,F1,26/11/2006,Nantes,Paris SG,1,1,0.3846153846153846,0.3484320557491289,0.3846153846153846,0607,Nantes0607,Paris SG0607,F10607,0.1176628249798981,0.3441247002398081,0.3117505995203837,0.3441247002398081,Nantes,Paris SG,1,1,0,1,0,0
15,F1,10/12/2006,Lyon,Paris SG,3,1,0.7142857142857143,0.25,0.1111111111111111,0607,Lyon0607,Paris SG0607,F10607,0.07539682539682535,0.6642066420664207,0.23247232472324725,0.1033210332103321,Lyon,Paris SG,3,0,0,0,0,1
16,F1,17/12/2006,Paris SG,Nice,0,0,0.5714285714285714,0.3333333333333333,0.21052631578947367,0607,Paris SG0607,Nice0607,F10607,0.11528822055137833,0.5123595505617978,0.298876404494382,0.18876404494382024,Paris SG,Nice,1,1,0,1,0,0
17,F1,23/12/2006,Troyes,Paris SG,1,1,0.35714285714285715,0.3333333333333333,0.3846153846153846,0607,Troyes0607,Paris SG0607,F10607,0.07509157509157505,0.33219761499148215,0.3100511073253833,0.3577512776831346,Paris SG,Troyes,1,1,0,1,0,1
