,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,Year,HomeYear,AwayYear,LeagueYear,B365J,B365HNorm,B365DNorm,B365ANorm,Favored,Unfavored,Homepts,Awaypts,Win,Draw,WinStreak,UndefStreak
0,E0,18/08/12,QPR,Swansea,0,5,0.5,0.29411764705882354,0.2631578947368421,1213,QPR1213,Swansea1213,E01213,0.05727554179566563,0.47291361639824303,0.2781844802342606,0.24890190336749632,QPR,Swansea,0,3,0,0,0,0
1,E0,25/08/12,Norwich,QPR,1,1,0.4444444444444444,0.29411764705882354,0.3125,1213,Norwich1213,QPR1213,E01213,0.051062091503268014,0.42285270112708895,0.27982899339292655,0.29731830547998445,Norwich,QPR,1,1,0,1,0,0
2,E0,01/09/12,Man City,QPR,3,1,0.8474576271186441,0.14285714285714285,0.06666666666666667,1213,Man City1213,QPR1213,E01213,0.0569814366424537,0.8017715332926084,0.13515577275503968,0.06307269395235185,Man City,QPR,3,0,0,0,0,1
3,E0,15/09/12,QPR,Chelsea,0,0,0.2222222222222222,0.2857142857142857,0.5464480874316939,1213,QPR1213,Chelsea1213,E01213,0.05438459536820184,0.21076011846001974,0.27097729516288255,0.5182625863770978,Chelsea,QPR,1,1,0,1,0,0
4,E0,23/09/12,Tottenham,QPR,2,1,0.6944444444444444,0.23094688221709006,0.13333333333333333,1213,Tottenham1213,QPR1213,E01213,0.05872465999486787,0.6559254456657416,0.21813686876643598,0.1259376855678224,Tottenham,QPR,3,0,0,0,0,1
5,E0,01/10/12,QPR,West Ham,1,2,0.48780487804878053,0.29411764705882354,0.26666666666666666,1213,QPR1213,West Ham1213,E01213,0.04858919177427068,0.4652011310772599,0.2804889172671714,0.25430995165556874,QPR,West Ham,0,3,0,0,0,0
6,E0,06/10/12,West Brom,QPR,3,2,0.5464480874316939,0.26666666666666666,0.23809523809523808,1213,West Brom1213,QPR1213,E01213,0.051209992193598675,0.5198277142432793,0.25367592455072036,0.2264963612060003,West Brom,QPR,3,0,0,0,0,0
7,E0,21/10/12,QPR,Everton,1,1,0.3076923076923077,0.29411764705882354,0.45454545454545453,1213,QPR1213,Everton1213,E01213,0.05635540929658589,0.29127725856697817,0.27842679127725856,0.43029595015576316,Everton,QPR,1,1,0,1,0,0
8,E0,27/10/12,Arsenal,QPR,1,0,0.7352941176470588,0.2,0.11764705882352941,1213,Arsenal1213,QPR1213,E01213,0.05294117647058827,0.6983240223463686,0.18994413407821228,0.11173184357541899,Arsenal,QPR,3,0,0,0,0,1
9,E0,04/11/12,QPR,Reading,1,1,0.5555555555555556,0.2777777777777778,0.2222222222222222,1213,QPR1213,Reading1213,E01213,0.05555555555555558,0.5263157894736842,0.2631578947368421,0.21052631578947367,QPR,Reading,1,1,0,1,0,0
10,E0,10/11/12,Stoke,QPR,1,0,0.5235602094240838,0.29411764705882354,0.23809523809523808,1213,Stoke1213,QPR1213,E01213,0.05577309457814539,0.4959022086400889,0.2785803583831088,0.22551743297680232,Stoke,QPR,3,0,0,0,0,1
