,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,Year,HomeYear,AwayYear,LeagueYear,B365J,B365HNorm,B365DNorm,B365ANorm,Favored,Unfavored,Homepts,Awaypts,Win,Draw,WinStreak,UndefStreak
0,SP1,29/08/09,Real Madrid,La Coruna,3,2,0.8,0.18181818181818182,0.07692307692307693,0910,Real Madrid0910,La Coruna0910,SP10910,0.058741258741258795,0.7556142668428005,0.17173051519154556,0.0726552179656539,Real Madrid,La Coruna,3,0,1,0,0,0
1,SP1,12/09/09,Espanol,Real Madrid,0,3,0.16666666666666666,0.2631578947368421,0.6369426751592356,0910,Espanol0910,Real Madrid0910,SP10910,0.06676723656274453,0.15623526947048655,0.24668726758497875,0.5970774629445346,Real Madrid,Espanol,0,3,1,0,1,1
2,SP1,20/09/09,Real Madrid,Xerez,5,0,0.8849557522123894,0.125,0.047619047619047616,0910,Real Madrid0910,Xerez0910,SP10910,0.057574799831437096,0.8367784031478807,0.11819494944463814,0.04502664740748119,Real Madrid,Xerez,3,0,1,0,2,2
3,SP1,23/09/09,Villarreal,Real Madrid,0,2,0.18181818181818182,0.2631578947368421,0.625,0910,Villarreal0910,Real Madrid0910,SP10910,0.06997607655502391,0.169927333705981,0.24594745667970933,0.5841252096143097,Real Madrid,Villarreal,0,3,1,0,3,3
4,SP1,26/09/09,Real Madrid,Tenerife,3,0,0.9009009009009008,0.11764705882352941,0.047619047619047616,0910,Real Madrid0910,Tenerife0910,SP10910,0.06616700734347791,0.8449904139742952,0.11034580700134915,0.0446637790243556,Real Madrid,Tenerife,3,0,1,0,4,4
5,SP1,04/10/09,Sevilla,Real Madrid,2,1,0.26666666666666666,0.2857142857142857,0.5128205128205129,0910,Sevilla0910,Real Madrid0910,SP10910,0.06520146520146541,0.2503438789546079,0.26822558459422274,0.4814305364511692,Real Madrid,Sevilla,3,0,0,0,5,5
6,SP1,17/10/09,Real Madrid,Valladolid,4,2,0.8547008547008548,0.14285714285714285,0.06666666666666667,0910,Real Madrid0910,Valladolid0910,SP10910,0.06422466422466422,0.8031206975676917,0.13423588802202846,0.06264341441027994,Real Madrid,Valladolid,3,0,1,0,0,0
7,SP1,24/10/09,Sp Gijon,Real Madrid,0,0,0.14285714285714285,0.23094688221709006,0.6944444444444444,0910,Sp Gijon0910,Real Madrid0910,SP10910,0.06824846951867736,0.13373025745734066,0.2161921021250311,0.6500776404176282,Real Madrid,Sp Gijon,1,1,0,1,1,1
8,SP1,31/10/09,Real Madrid,Getafe,2,0,0.6944444444444444,0.23809523809523808,0.13333333333333333,0910,Real Madrid0910,Getafe0910,SP10910,0.06587301587301586,0.6515264333581534,0.22338049143708116,0.12509307520476545,Real Madrid,Getafe,3,0,1,0,0,2
9,SP1,07/11/09,Ath Madrid,Real Madrid,2,3,0.26666666666666666,0.2857142857142857,0.5128205128205129,0910,Ath Madrid0910,Real Madrid0910,SP10910,0.06520146520146541,0.2503438789546079,0.26822558459422274,0.4814305364511692,Real Madrid,Ath Madrid,0,3,1,0,1,3
10,SP1,21/11/09,Real Madrid,Santander,1,0,0.819672131147541,0.16666666666666666,0.08333333333333333,0910,Real Madrid0910,Santander0910,SP10910,0.069672131147541,0.7662835249042146,0.1558109833971903,0.07790549169859515,Real Madrid,Santander,3,0,1,0,2,4
11,SP1,29/11/09,Barcelona,Real Madrid,1,0,0.5405405405405405,0.2777777777777778,0.25,0910,Barcelona0910,Real Madrid0910,SP10910,0.06831831831831825,0.5059732958538299,0.26001405481377377,0.23401264933239635,Barcelona,Real Madrid,3,0,0,0,3,5
12,SP1,05/12/09,Real Madrid,Almeria,4,2,0.8547008547008548,0.15384615384615385,0.058823529411764705,0910,Real Madrid0910,Almeria0910,SP10910,0.06737053795877324,0.8007536504945832,0.14413565708902498,0.055110692416391896,Real Madrid,Almeria,3,0,1,0,0,0
13,SP1,12/12/09,Valencia,Real Madrid,2,3,0.4,0.29411764705882354,0.37037037037037035,0910,Valencia0910,Real Madrid0910,SP10910,0.06448801742919397,0.375767498976668,0.2762996316004912,0.34793286942284074,Valencia,Real Madrid,0,3,1,0,1,1
14,SP1,19/12/09,Real Madrid,Zaragoza,6,0,0.8333333333333334,0.15384615384615385,0.07692307692307693,0910,Real Madrid0910,Zaragoza0910,SP10910,0.0641025641025641,0.783132530120482,0.14457831325301207,0.07228915662650603,Real Madrid,Zaragoza,3,0,1,0,2,2
15,SP1,03/01/10,Osasuna,Real Madrid,0,0,0.14285714285714285,0.23094688221709006,0.6944444444444444,0910,Osasuna0910,Real Madrid0910,SP10910,0.06824846951867736,0.13373025745734066,0.2161921021250311,0.6500776404176282,Real Madrid,Osasuna,1,1,0,1,3,3
16,SP1,10/01/10,Real Madrid,Mallorca,2,0,0.7751937984496123,0.19047619047619047,0.1,0910,Real Madrid0910,Mallorca0910,SP10910,0.06566998892580278,0.7274238802868128,0.1787384391561883,0.09383768055699887,Real Madrid,Mallorca,3,0,1,0,0,4
17,SP1,16/01/10,Ath Bilbao,Real Madrid,1,0,0.16666666666666666,0.2631578947368421,0.6369426751592356,0910,Ath Bilbao0910,Real Madrid0910,SP10910,0.06676723656274453,0.15623526947048655,0.24668726758497875,0.5970774629445346,Real Madrid,Ath Bilbao,3,0,0,0,1,5
