,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,Year,HomeYear,AwayYear,LeagueYear,B365J,B365HNorm,B365DNorm,B365ANorm,Favored,Unfavored,Homepts,Awaypts,Win,Draw,WinStreak,UndefStreak
0,SP1,27/08/06,Recreativo,Mallorca,1,1,0.4347826086956522,0.3076923076923077,0.3333333333333333,0607,Recreativo0607,Mallorca0607,SP10607,0.0758082497212933,0.40414507772020725,0.2860103626943005,0.3098445595854922,Recreativo,Mallorca,1,1,0,1,0,0
1,SP1,10/09/06,Villarreal,Recreativo,0,1,0.6666666666666666,0.26666666666666666,0.14285714285714285,0607,Villarreal0607,Recreativo0607,SP10607,0.07619047619047614,0.6194690265486725,0.24778761061946902,0.13274336283185842,Villarreal,Recreativo,0,3,1,0,0,1
2,SP1,17/09/06,Recreativo,Levante,0,1,0.5,0.3125,0.26666666666666666,0607,Recreativo0607,Levante0607,SP10607,0.07916666666666661,0.46332046332046334,0.2895752895752896,0.2471042471042471,Recreativo,Levante,0,3,0,0,1,2
3,SP1,24/09/06,Sociedad,Recreativo,2,3,0.5263157894736842,0.3076923076923077,0.25,0607,Sociedad0607,Recreativo0607,SP10607,0.084008097165992,0.4855275443510737,0.2838468720821662,0.23062558356676002,Sociedad,Recreativo,0,3,1,0,0,0
4,SP1,01/10/06,Recreativo,Betis,2,0,0.4,0.3125,0.36363636363636365,0607,Recreativo0607,Betis0607,SP10607,0.07613636363636367,0.3717001055966209,0.29039070749736007,0.337909186906019,Recreativo,Betis,3,0,1,0,1,1
5,SP1,14/10/06,Ath Madrid,Recreativo,2,1,0.6944444444444444,0.25,0.13333333333333333,0607,Ath Madrid0607,Recreativo0607,SP10607,0.07777777777777772,0.6443298969072165,0.23195876288659795,0.12371134020618557,Ath Madrid,Recreativo,3,0,0,0,2,2
6,SP1,22/10/06,Recreativo,Getafe,1,2,0.42194092827004215,0.3225806451612903,0.3333333333333333,0607,Recreativo0607,Getafe0607,SP10607,0.07785490676466567,0.3914635686324031,0.29928021214799855,0.30925621921959845,Recreativo,Getafe,0,3,0,0,0,0
7,SP1,28/10/06,Barcelona,Recreativo,3,0,0.8620689655172414,0.15384615384615385,0.06666666666666667,0607,Barcelona0607,Recreativo0607,SP10607,0.08258178603006194,0.7963083959490362,0.14211042143090494,0.0615811826200588,Barcelona,Recreativo,3,0,0,0,0,0
8,SP1,05/11/06,Recreativo,Gimnastic,2,1,0.5263157894736842,0.3076923076923077,0.25,0607,Recreativo0607,Gimnastic0607,SP10607,0.084008097165992,0.4855275443510737,0.2838468720821662,0.23062558356676002,Recreativo,Gimnastic,3,0,1,0,0,0
9,SP1,12/11/06,Celta,Recreativo,1,2,0.5714285714285714,0.2857142857142857,0.2222222222222222,0607,Celta0607,Recreativo0607,SP10607,0.0793650793650793,0.5294117647058824,0.2647058823529412,0.20588235294117646,Celta,Recreativo,0,3,1,0,1,1
