,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,Year,HomeYear,AwayYear,LeagueYear,B365J,B365HNorm,B365DNorm,B365ANorm,Favored,Unfavored,Homepts,Awaypts,Win,Draw,WinStreak,UndefStreak
0,F1,08/08/09,Rennes,Boulogne,3,0,0.6535947712418301,0.2777777777777778,0.13333333333333333,0910,Rennes0910,Boulogne0910,F10910,0.06470588235294117,0.6138735420503376,0.2608962553713935,0.12523020257826886,Rennes,Boulogne,3,0,1,0,0,0
1,F1,16/08/09,Nice,Rennes,1,1,0.4,0.3448275862068966,0.3225806451612903,0910,Nice0910,Rennes0910,F10910,0.06740823136818697,0.3747394747811588,0.32305127136306794,0.3022092538557732,Nice,Rennes,1,1,0,1,1,1
2,F1,22/08/09,Rennes,Marseille,1,1,0.3333333333333333,0.3333333333333333,0.4,0910,Rennes0910,Marseille0910,F10910,0.06666666666666665,0.3125,0.3125,0.375,Marseille,Rennes,1,1,0,1,0,2
3,F1,29/08/09,Lens,Rennes,2,2,0.3846153846153846,0.3448275862068966,0.3333333333333333,0910,Lens0910,Rennes0910,F10910,0.06277630415561442,0.36189683860232946,0.32445923460898507,0.3136439267886855,Lens,Rennes,1,1,0,1,0,3
4,F1,13/09/09,Rennes,St Etienne,1,0,0.5714285714285714,0.29411764705882354,0.2,0910,Rennes0910,St Etienne0910,F10910,0.06554621848739495,0.5362776025236593,0.27602523659305994,0.18769716088328076,Rennes,St Etienne,3,0,1,0,0,4
5,F1,19/09/09,Grenoble,Rennes,0,4,0.2777777777777778,0.3333333333333333,0.45454545454545453,0910,Grenoble0910,Rennes0910,F10910,0.06565656565656575,0.2606635071090047,0.31279620853080564,0.42654028436018954,Rennes,Grenoble,0,3,1,0,1,5
6,F1,27/09/09,Bordeaux,Rennes,1,0,0.5882352941176471,0.29411764705882354,0.18181818181818182,0910,Bordeaux0910,Rennes0910,F10910,0.06417112299465244,0.5527638190954773,0.27638190954773867,0.1708542713567839,Bordeaux,Rennes,3,0,0,0,2,6
7,F1,03/10/09,Rennes,Auxerre,0,1,0.6172839506172839,0.2857142857142857,0.16666666666666666,0910,Rennes0910,Auxerre0910,F10910,0.06966490299823636,0.5770816158285242,0.2671063478977741,0.15581203627370155,Rennes,Auxerre,0,3,0,0,0,0
8,F1,17/10/09,Lille,Rennes,0,0,0.47619047619047616,0.3225806451612903,0.26666666666666666,0910,Lille0910,Rennes0910,F10910,0.06543778801843314,0.4469434832756632,0.3027681660899654,0.2502883506343714,Lille,Rennes,1,1,0,1,0,0
9,F1,24/10/09,Rennes,Montpellier,3,0,0.5555555555555556,0.29411764705882354,0.21052631578947367,0910,Rennes0910,Montpellier0910,F10910,0.06019951840385285,0.5240103828682673,0.2774172615184945,0.19857235561323813,Rennes,Montpellier,3,0,1,0,0,1
10,F1,01/11/09,Rennes,Valenciennes,0,3,0.5988023952095809,0.29411764705882354,0.16666666666666666,0910,Rennes0910,Valenciennes0910,F10910,0.05958670893507123,0.5651282619535708,0.2775777051360186,0.1572940329104105,Rennes,Valenciennes,0,3,0,0,1,2
