,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,Year,HomeYear,AwayYear,LeagueYear,B365J,B365HNorm,B365DNorm,B365ANorm,Favored,Unfavored,Homepts,Awaypts,Win,Draw,WinStreak,UndefStreak
0,SP1,30/08/09,Santander,Getafe,1,4,0.46511627906976744,0.30303030303030304,0.29411764705882354,0910,Santander0910,Getafe0910,SP10910,0.06226422915889396,0.43785365853658537,0.28526829268292686,0.27687804878048783,Santander,Getafe,0,3,0,0,0,0
1,SP1,12/09/09,Ath Madrid,Santander,1,1,0.6944444444444444,0.23094688221709006,0.14285714285714285,0910,Ath Madrid0910,Santander0910,SP10910,0.06824846951867736,0.6500776404176282,0.2161921021250311,0.13373025745734066,Ath Madrid,Santander,1,1,0,1,0,0
2,SP1,19/09/09,Malaga,Santander,1,2,0.48780487804878053,0.30303030303030304,0.2777777777777778,0910,Malaga0910,Santander0910,SP10910,0.06861295885686136,0.4564841498559078,0.28357348703170027,0.25994236311239194,Malaga,Santander,0,3,1,0,0,1
3,SP1,22/09/09,Santander,Barcelona,1,4,0.1,0.2,0.7692307692307692,0910,Santander0910,Barcelona0910,SP10910,0.0692307692307692,0.09352517985611511,0.18705035971223022,0.7194244604316546,Barcelona,Santander,0,3,0,0,1,2
4,SP1,27/09/09,Almeria,Santander,2,2,0.4444444444444444,0.3076923076923077,0.3125,0910,Almeria0910,Santander0910,SP10910,0.06463675213675213,0.41746111389864526,0.28901154039136984,0.29352734570998495,Almeria,Santander,1,1,0,1,0,0
5,SP1,04/10/09,Santander,Valencia,0,1,0.29411764705882354,0.29411764705882354,0.47619047619047616,0910,Santander0910,Valencia0910,SP10910,0.06442577030812324,0.27631578947368424,0.27631578947368424,0.4473684210526316,Valencia,Santander,0,3,0,0,0,1
6,SP1,18/10/09,Zaragoza,Santander,2,2,0.5,0.29411764705882354,0.26666666666666666,0910,Zaragoza0910,Santander0910,SP10910,0.0607843137254902,0.47134935304990755,0.27726432532347506,0.2513863216266174,Zaragoza,Santander,1,1,0,1,0,0
7,SP1,25/10/09,Santander,Osasuna,1,1,0.4347826086956522,0.30303030303030304,0.3225806451612903,0910,Santander0910,Osasuna0910,SP10910,0.06039355688724557,0.41002004008016035,0.28577154308617236,0.30420841683366734,Santander,Osasuna,1,1,0,1,0,1
8,SP1,01/11/09,Mallorca,Santander,1,0,0.5464480874316939,0.2857142857142857,0.23094688221709006,0910,Mallorca0910,Santander0910,SP10910,0.06310925536306966,0.5140093406910212,0.2687534552755911,0.21723720403338773,Mallorca,Santander,3,0,0,0,0,2
9,SP1,08/11/09,Santander,Ath Bilbao,0,2,0.4444444444444444,0.30303030303030304,0.3125,0910,Santander0910,Ath Bilbao0910,SP10910,0.0599747474747474,0.41929720071471116,0.2858844550327576,0.2948183442525313,Santander,Ath Bilbao,0,3,0,0,0,0
10,SP1,21/11/09,Real Madrid,Santander,1,0,0.819672131147541,0.16666666666666666,0.08333333333333333,0910,Real Madrid0910,Santander0910,SP10910,0.069672131147541,0.7662835249042146,0.1558109833971903,0.07790549169859515,Real Madrid,Santander,3,0,0,0,0,0
11,SP1,29/11/09,Santander,La Coruna,0,1,0.3802281368821293,0.3076923076923077,0.3802281368821293,0910,Santander0910,La Coruna0910,SP10910,0.06814858145656633,0.3559693318729463,0.28806133625410735,0.3559693318729463,Santander,La Coruna,0,3,0,0,0,0
12,SP1,06/12/09,Espanol,Santander,0,4,0.5,0.30303030303030304,0.2631578947368421,0910,Espanol0910,Santander0910,SP10910,0.06618819776714502,0.4689603590127151,0.2842183994016455,0.2468212415856395,Espanol,Santander,0,3,1,0,0,0
