,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,Year,HomeYear,AwayYear,LeagueYear,B365J,B365HNorm,B365DNorm,B365ANorm,Favored,Unfavored,Homepts,Awaypts,Win,Draw,WinStreak,UndefStreak
0,D1,21/08/10,Hamburg,Schalke 04,2,1,0.42016806722689076,0.29411764705882354,0.3472222222222222,1011,Hamburg1011,Schalke 041011,D11011,0.06150793650793651,0.3958218801539307,0.27707531610775155,0.32710280373831774,Hamburg,Schalke 04,3,0,0,0,0,0
1,D1,28/08/10,Schalke 04,Hannover,1,2,0.7518796992481203,0.21052631578947367,0.1,1011,Schalke 041011,Hannover1011,D11011,0.06240601503759402,0.7077140835102618,0.1981599433828733,0.09412597310686482,Schalke 04,Hannover,0,3,0,0,0,0
2,D1,10/09/10,Hoffenheim,Schalke 04,2,0,0.4166666666666667,0.30303030303030304,0.3472222222222222,1011,Hoffenheim1011,Schalke 041011,D11011,0.06691919191919204,0.3905325443786982,0.2840236686390532,0.32544378698224846,Hoffenheim,Schalke 04,3,0,0,0,0,0
3,D1,19/09/10,Schalke 04,Dortmund,1,3,0.4444444444444444,0.30303030303030304,0.3125,1011,Schalke 041011,Dortmund1011,D11011,0.0599747474747474,0.41929720071471116,0.2858844550327576,0.2948183442525313,Schalke 04,Dortmund,0,3,0,0,0,0
4,D1,22/09/10,Freiburg,Schalke 04,1,2,0.3225806451612903,0.30303030303030304,0.4444444444444444,1011,Freiburg1011,Schalke 041011,D11011,0.07005539263603788,0.3014616321559074,0.28319123020706455,0.41534713763702796,Schalke 04,Freiburg,0,3,1,0,0,0
5,D1,25/09/10,Schalke 04,M'gladbach,2,2,0.6535947712418301,0.2631578947368421,0.15384615384615385,1011,Schalke 041011,M'gladbach1011,D11011,0.07059881982482619,0.6104945747546898,0.245804394572283,0.143701030673027,Schalke 04,M'gladbach,1,1,0,1,1,1
6,D1,02/10/10,Nurnberg,Schalke 04,2,1,0.3333333333333333,0.29411764705882354,0.4347826086956522,1011,Nurnberg1011,Schalke 041011,D11011,0.06223358908780918,0.3138041733547351,0.2768860353130016,0.40930979133226325,Schalke 04,Nurnberg,3,0,0,0,0,2
7,D1,16/10/10,Schalke 04,Stuttgart,2,2,0.5,0.29411764705882354,0.26666666666666666,1011,Schalke 041011,Stuttgart1011,D11011,0.0607843137254902,0.47134935304990755,0.27726432532347506,0.2513863216266174,Schalke 04,Stuttgart,1,1,0,1,0,0
8,D1,23/10/10,Ein Frankfurt,Schalke 04,0,0,0.35714285714285715,0.3076923076923077,0.4,1011,Ein Frankfurt1011,Schalke 041011,D11011,0.06483516483516505,0.33539731682146534,0.2889576883384932,0.3756449948400412,Schalke 04,Ein Frankfurt,1,1,0,1,0,1
9,D1,30/10/10,Schalke 04,Leverkusen,0,1,0.4,0.30303030303030304,0.36363636363636365,1011,Schalke 041011,Leverkusen1011,D11011,0.06666666666666687,0.37499999999999994,0.28409090909090906,0.34090909090909083,Schalke 04,Leverkusen,0,3,0,0,0,2
10,D1,05/11/10,Schalke 04,St Pauli,3,0,0.5882352941176471,0.2777777777777778,0.2,1011,Schalke 041011,St Pauli1011,D11011,0.06601307189542482,0.5518087063151441,0.26057633353770693,0.187614960147149,Schalke 04,St Pauli,3,0,1,0,0,0
11,D1,13/11/10,Wolfsburg,Schalke 04,2,2,0.4444444444444444,0.2857142857142857,0.3333333333333333,1011,Wolfsburg1011,Schalke 041011,D11011,0.06349206349206349,0.417910447761194,0.26865671641791045,0.3134328358208955,Wolfsburg,Schalke 04,1,1,0,1,1,1
12,D1,20/11/10,Schalke 04,Werder Bremen,4,0,0.45454545454545453,0.29411764705882354,0.3125,1011,Schalke 041011,Werder Bremen1011,D11011,0.06116310160427796,0.42834645669291344,0.2771653543307087,0.29448818897637796,Schalke 04,Werder Bremen,3,0,1,0,0,2
13,D1,27/11/10,Kaiserslautern,Schalke 04,5,0,0.3076923076923077,0.30303030303030304,0.45454545454545453,1011,Kaiserslautern1011,Schalke 041011,D11011,0.06526806526806528,0.2888402625820569,0.2844638949671772,0.42669584245076586,Schalke 04,Kaiserslautern,3,0,0,0,1,3
