,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,Year,HomeYear,AwayYear,LeagueYear,B365J,B365HNorm,B365DNorm,B365ANorm,Favored,Unfavored,Homepts,Awaypts,Win,Draw,WinStreak,UndefStreak
0,SP1,30/08/09,Valencia,Sevilla,2,0,0.4444444444444444,0.30303030303030304,0.3125,0910,Valencia0910,Sevilla0910,SP10910,0.0599747474747474,0.41929720071471116,0.2858844550327576,0.2948183442525313,Valencia,Sevilla,3,0,0,0,0,0
1,SP1,12/09/09,Sevilla,Zaragoza,4,1,0.6369426751592356,0.2631578947368421,0.16666666666666666,0910,Sevilla0910,Zaragoza0910,SP10910,0.06676723656274453,0.5970774629445346,0.24668726758497875,0.15623526947048655,Sevilla,Zaragoza,3,0,1,0,0,0
2,SP1,19/09/09,Osasuna,Sevilla,0,2,0.3076923076923077,0.3076923076923077,0.4444444444444444,0910,Osasuna0910,Sevilla0910,SP10910,0.05982905982905984,0.2903225806451613,0.2903225806451613,0.4193548387096774,Sevilla,Osasuna,0,3,1,0,1,1
3,SP1,22/09/09,Sevilla,Mallorca,2,0,0.6944444444444444,0.23809523809523808,0.13333333333333333,0910,Sevilla0910,Mallorca0910,SP10910,0.06587301587301586,0.6515264333581534,0.22338049143708116,0.12509307520476545,Sevilla,Mallorca,3,0,1,0,2,2
4,SP1,26/09/09,Ath Bilbao,Sevilla,0,4,0.3448275862068966,0.30303030303030304,0.4166666666666667,0910,Ath Bilbao0910,Sevilla0910,SP10910,0.0645245559038663,0.3239263803680982,0.2846625766871166,0.3914110429447853,Sevilla,Ath Bilbao,0,3,1,0,3,3
5,SP1,04/10/09,Sevilla,Real Madrid,2,1,0.26666666666666666,0.2857142857142857,0.5128205128205129,0910,Sevilla0910,Real Madrid0910,SP10910,0.06520146520146541,0.2503438789546079,0.26822558459422274,0.4814305364511692,Real Madrid,Sevilla,3,0,1,0,4,4
6,SP1,17/10/09,La Coruna,Sevilla,1,0,0.2777777777777778,0.30303030303030304,0.47619047619047616,0910,La Coruna0910,Sevilla0910,SP10910,0.05699855699855716,0.26279863481228666,0.28668941979522183,0.4505119453924914,Sevilla,La Coruna,3,0,0,0,5,5
7,SP1,24/10/09,Sevilla,Espanol,0,0,0.6944444444444444,0.23094688221709006,0.14285714285714285,0910,Sevilla0910,Espanol0910,SP10910,0.06824846951867736,0.6500776404176282,0.2161921021250311,0.13373025745734066,Sevilla,Espanol,1,1,0,1,0,0
8,SP1,31/10/09,Xerez,Sevilla,0,2,0.18181818181818182,0.26666666666666666,0.6172839506172839,0910,Xerez0910,Sevilla0910,SP10910,0.06576879910213229,0.1705981465880371,0.25021061499578773,0.5791912384161753,Sevilla,Xerez,0,3,1,0,0,1
9,SP1,08/11/09,Sevilla,Villarreal,3,2,0.5988023952095809,0.27027027027027023,0.2,0910,Sevilla0910,Villarreal0910,SP10910,0.06907266547985103,0.5601138393532957,0.25280813830270366,0.18707802234400076,Sevilla,Villarreal,3,0,1,0,1,2
10,SP1,21/11/09,Tenerife,Sevilla,1,2,0.2,0.2857142857142857,0.5780346820809249,0910,Tenerife0910,Sevilla0910,SP10910,0.06374896779521055,0.18801428349635152,0.2685918335662164,0.5433938829374321,Sevilla,Tenerife,0,3,1,0,2,3
11,SP1,28/11/09,Sevilla,Malaga,2,2,0.8,0.18181818181818182,0.08333333333333333,0910,Sevilla0910,Malaga0910,SP10910,0.06515151515151518,0.7510668563300142,0.17069701280227595,0.07823613086770981,Sevilla,Malaga,1,1,0,1,3,4
12,SP1,05/12/09,Sevilla,Valladolid,1,1,0.7518796992481203,0.21052631578947367,0.10526315789473684,0910,Sevilla0910,Valladolid0910,SP10910,0.06766917293233066,0.7042253521126761,0.1971830985915493,0.09859154929577466,Sevilla,Valladolid,1,1,0,1,0,5
13,SP1,13/12/09,Sp Gijon,Sevilla,0,1,0.2857142857142857,0.30303030303030304,0.47619047619047616,0910,Sp Gijon0910,Sevilla0910,SP10910,0.06493506493506507,0.26829268292682923,0.2845528455284553,0.4471544715447154,Sevilla,Sp Gijon,0,3,1,0,0,6
14,SP1,19/12/09,Sevilla,Getafe,1,2,0.625,0.2777777777777778,0.16666666666666666,0910,Sevilla0910,Getafe0910,SP10910,0.06944444444444442,0.5844155844155844,0.25974025974025977,0.15584415584415584,Sevilla,Getafe,0,3,0,0,1,7
15,SP1,02/01/10,Ath Madrid,Sevilla,2,1,0.3802281368821293,0.30303030303030304,0.3802281368821293,0910,Ath Madrid0910,Sevilla0910,SP10910,0.0634865767945616,0.35752979414951247,0.28494041170097506,0.35752979414951247,Ath Madrid,Sevilla,3,0,0,0,0,0
16,SP1,09/01/10,Sevilla,Santander,1,2,0.6451612903225806,0.26666666666666666,0.16666666666666666,0910,Sevilla0910,Santander0910,SP10910,0.07849462365591409,0.5982053838484546,0.24725822532402789,0.1545363908275174,Sevilla,Santander,0,3,0,0,0,0
17,SP1,16/01/10,Barcelona,Sevilla,4,0,0.7518796992481203,0.2,0.11764705882352941,0910,Barcelona0910,Sevilla0910,SP10910,0.06952675807164965,0.7030022330659168,0.1869985939955339,0.10999917293854934,Barcelona,Sevilla,3,0,0,0,0,0
18,SP1,23/01/10,Sevilla,Almeria,1,0,0.6944444444444444,0.23809523809523808,0.13333333333333333,0910,Sevilla0910,Almeria0910,SP10910,0.06587301587301586,0.6515264333581534,0.22338049143708116,0.12509307520476545,Sevilla,Almeria,3,0,1,0,0,0
19,SP1,31/01/10,Sevilla,Valencia,2,1,0.4444444444444444,0.29411764705882354,0.3125,0910,Sevilla0910,Valencia0910,SP10910,0.051062091503268014,0.42285270112708895,0.27982899339292655,0.29731830547998445,Sevilla,Valencia,3,0,1,0,1,1
20,SP1,07/02/10,Zaragoza,Sevilla,2,1,0.2857142857142857,0.30303030303030304,0.47619047619047616,0910,Zaragoza0910,Sevilla0910,SP10910,0.06493506493506507,0.26829268292682923,0.2845528455284553,0.4471544715447154,Sevilla,Zaragoza,3,0,0,0,2,2
