,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,Year,HomeYear,AwayYear,LeagueYear,B365J,B365HNorm,B365DNorm,B365ANorm,Favored,Unfavored,Homepts,Awaypts,Win,Draw,WinStreak,UndefStreak
0,E0,19/08/06,Sheffield United,Liverpool,1,1,0.16666666666666666,0.2631578947368421,0.6535947712418301,0607,Sheffield United0607,Liverpool0607,E00607,0.08341933264533896,0.15383394189553895,0.24289569772979833,0.6032703603746626,Liverpool,Sheffield United,1,1,0,1,0,0
1,E0,22/08/06,Tottenham,Sheffield United,2,0,0.6666666666666666,0.26666666666666666,0.14285714285714285,0607,Tottenham0607,Sheffield United0607,E00607,0.07619047619047614,0.6194690265486725,0.24778761061946902,0.13274336283185842,Tottenham,Sheffield United,3,0,0,0,0,1
2,E0,26/08/06,Fulham,Sheffield United,1,0,0.5263157894736842,0.3076923076923077,0.25,0607,Fulham0607,Sheffield United0607,E00607,0.084008097165992,0.4855275443510737,0.2838468720821662,0.23062558356676002,Fulham,Sheffield United,3,0,0,0,0,0
3,E0,09/09/06,Sheffield United,Blackburn,0,0,0.38167938931297707,0.3125,0.38167938931297707,0607,Sheffield United0607,Blackburn0607,E00607,0.07585877862595414,0.3547671840354767,0.29046563192904656,0.3547671840354767,Sheffield United,Blackburn,1,1,0,1,0,0
4,E0,16/09/06,Sheffield United,Reading,1,2,0.4,0.3225806451612903,0.35714285714285715,0607,Sheffield United0607,Reading0607,E00607,0.0797235023041476,0.37046521553563805,0.29876227059325644,0.3307725138711054,Sheffield United,Reading,0,3,0,0,0,1
5,E0,23/09/06,Arsenal,Sheffield United,3,0,0.8333333333333334,0.18181818181818182,0.058823529411764705,0607,Arsenal0607,Sheffield United0607,E00607,0.07397504456327986,0.7759336099585062,0.16929460580912864,0.054771784232365145,Arsenal,Sheffield United,3,0,0,0,0,0
6,E0,30/09/06,Sheffield United,Middlesbrough,2,1,0.3846153846153846,0.3076923076923077,0.3846153846153846,0607,Sheffield United0607,Middlesbrough0607,E00607,0.07692307692307687,0.35714285714285715,0.28571428571428575,0.35714285714285715,Sheffield United,Middlesbrough,3,0,1,0,0,0
7,E0,14/10/06,Man City,Sheffield United,0,0,0.6024096385542169,0.2777777777777778,0.2,0607,Man City0607,Sheffield United0607,E00607,0.08018741633199467,0.5576899244020325,0.25715702069649277,0.1851530549014748,Man City,Sheffield United,1,1,0,1,1,1
8,E0,21/10/06,Everton,Sheffield United,2,0,0.6369426751592356,0.2857142857142857,0.15384615384615385,0607,Everton0607,Sheffield United0607,E00607,0.0765031147196753,0.5916775032509752,0.26540962288686604,0.14291287386215865,Everton,Sheffield United,3,0,0,0,0,2
9,E0,28/10/06,Sheffield United,Chelsea,0,2,0.08333333333333333,0.2222222222222222,0.7692307692307692,0607,Sheffield United0607,Chelsea0607,E00607,0.07478632478632474,0.0775347912524851,0.20675944333996024,0.7157057654075546,Chelsea,Sheffield United,0,3,0,0,0,0
10,E0,04/11/06,Newcastle,Sheffield United,0,1,0.5813953488372093,0.29411764705882354,0.2,0607,Newcastle0607,Sheffield United0607,E00607,0.07551299589603278,0.5405749173238362,0.2734673111167642,0.18595777155939966,Newcastle,Sheffield United,0,3,1,0,0,0
11,E0,11/11/06,Sheffield United,Bolton,2,2,0.3448275862068966,0.3125,0.42194092827004215,0607,Sheffield United0607,Bolton0607,E00607,0.07926851447693872,0.3195012006572019,0.28954796309558917,0.39095083624720894,Bolton,Sheffield United,1,1,0,1,1,1
12,E0,18/11/06,Sheffield United,Man United,1,2,0.1111111111111111,0.23094688221709006,0.7352941176470588,0607,Sheffield United0607,Man United0607,E00607,0.07735211097525996,0.10313351594079034,0.21436527562750882,0.6825012084317008,Man United,Sheffield United,0,3,0,0,0,2
13,E0,25/11/06,West Ham,Sheffield United,1,0,0.5555555555555556,0.30303030303030304,0.2222222222222222,0607,West Ham0607,Sheffield United0607,E00607,0.08080808080808088,0.514018691588785,0.2803738317757009,0.20560747663551399,West Ham,Sheffield United,3,0,0,0,0,0
14,E0,28/11/06,Watford,Sheffield United,0,1,0.45454545454545453,0.3225806451612903,0.30303030303030304,0607,Watford0607,Sheffield United0607,E00607,0.08015640273704783,0.42081447963800905,0.2986425339366516,0.28054298642533937,Watford,Sheffield United,0,3,1,0,0,0
15,E0,02/12/06,Sheffield United,Charlton,2,1,0.45454545454545453,0.3225806451612903,0.30303030303030304,0607,Sheffield United0607,Charlton0607,E00607,0.08015640273704783,0.42081447963800905,0.2986425339366516,0.28054298642533937,Sheffield United,Charlton,3,0,1,0,1,1
16,E0,11/12/06,Sheffield United,Aston Villa,2,2,0.38167938931297707,0.3125,0.3846153846153846,0607,Sheffield United0607,Aston Villa0607,E00607,0.07879477392836165,0.3538016669501616,0.28967511481544483,0.3565232182343936,Aston Villa,Sheffield United,1,1,0,1,2,2
17,E0,16/12/06,Wigan,Sheffield United,0,1,0.5555555555555556,0.29411764705882354,0.23094688221709006,0607,Wigan0607,Sheffield United0607,E00607,0.08062008483146932,0.5141081156586115,0.2721748847604414,0.21371699958094703,Wigan,Sheffield United,0,3,1,0,0,3
18,E0,23/12/06,Portsmouth,Sheffield United,3,1,0.6024096385542169,0.2777777777777778,0.2,0607,Portsmouth0607,Sheffield United0607,E00607,0.08018741633199467,0.5576899244020325,0.25715702069649277,0.1851530549014748,Portsmouth,Sheffield United,3,0,0,0,1,4
19,E0,26/12/06,Sheffield United,Man City,0,1,0.4347826086956522,0.3076923076923077,0.3333333333333333,0607,Sheffield United0607,Man City0607,E00607,0.0758082497212933,0.40414507772020725,0.2860103626943005,0.3098445595854922,Sheffield United,Man City,0,3,0,0,0,0
20,E0,30/12/06,Sheffield United,Arsenal,1,0,0.16666666666666666,0.25,0.6666666666666666,0607,Sheffield United0607,Arsenal0607,E00607,0.08333333333333326,0.15384615384615385,0.23076923076923078,0.6153846153846154,Arsenal,Sheffield United,3,0,1,0,0,0
21,E0,01/01/07,Middlesbrough,Sheffield United,3,1,0.5555555555555556,0.29411764705882354,0.2222222222222222,0607,Middlesbrough0607,Sheffield United0607,E00607,0.0718954248366015,0.5182926829268292,0.274390243902439,0.20731707317073167,Middlesbrough,Sheffield United,3,0,0,0,1,1
