,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,Year,HomeYear,AwayYear,LeagueYear,B365J,B365HNorm,B365DNorm,B365ANorm,Favored,Unfavored,Homepts,Awaypts,Win,Draw,WinStreak,UndefStreak
0,F1,04/08/07,Paris SG,Sochaux,0,0,0.5813953488372093,0.29411764705882354,0.2,0708,Paris SG0708,Sochaux0708,F10708,0.07551299589603278,0.5405749173238362,0.2734673111167642,0.18595777155939966,Paris SG,Sochaux,1,1,0,1,0,0
1,F1,11/08/07,Sochaux,Le Mans,1,3,0.5128205128205129,0.3484320557491289,0.25,0708,Sochaux0708,Le Mans0708,F10708,0.11125256856964172,0.4614797097662453,0.31354893172271014,0.22497135851104458,Sochaux,Le Mans,0,3,0,0,0,1
2,F1,15/08/07,Lille,Sochaux,1,1,0.5263157894736842,0.3333333333333333,0.25,0708,Lille0708,Sochaux0708,F10708,0.10964912280701755,0.4743083003952569,0.30039525691699603,0.22529644268774704,Lille,Sochaux,1,1,0,1,0,0
3,F1,18/08/07,Sochaux,Monaco,0,3,0.47619047619047616,0.3448275862068966,0.2857142857142857,0708,Sochaux0708,Monaco0708,F10708,0.10673234811165844,0.43026706231454004,0.31157270029673595,0.258160237388724,Sochaux,Monaco,0,3,0,0,0,1
4,F1,25/08/07,Valenciennes,Sochaux,3,1,0.48780487804878053,0.3484320557491289,0.2777777777777778,0708,Valenciennes0708,Sochaux0708,F10708,0.11401471157568732,0.43788010425716767,0.312771503040834,0.24934839270199824,Valenciennes,Sochaux,3,0,0,0,0,0
5,F1,29/08/07,Sochaux,Lyon,1,2,0.2,0.3225806451612903,0.5555555555555556,0708,Sochaux0708,Lyon0708,F10708,0.07813620071684602,0.18550531914893614,0.29920212765957444,0.5152925531914894,Lyon,Sochaux,0,3,0,0,0,0
6,F1,01/09/07,Caen,Sochaux,2,2,0.45454545454545453,0.3484320557491289,0.30303030303030304,0708,Caen0708,Sochaux0708,F10708,0.10600781332488651,0.41097852028639614,0.315035799522673,0.2739856801909308,Caen,Sochaux,1,1,0,1,0,0
7,F1,15/09/07,Sochaux,Strasbourg,0,0,0.45454545454545453,0.3333333333333333,0.2777777777777778,0708,Sochaux0708,Strasbourg0708,F10708,0.06565656565656575,0.42654028436018954,0.31279620853080564,0.2606635071090047,Sochaux,Strasbourg,1,1,0,1,0,1
8,F1,23/09/07,Rennes,Sochaux,0,2,0.5555555555555556,0.30303030303030304,0.21052631578947367,0708,Rennes0708,Sochaux0708,F10708,0.06911217437533224,0.5196419691695674,0.2834410740924913,0.19691695673794132,Rennes,Sochaux,0,3,1,0,0,2
9,F1,07/10/07,Sochaux,Toulouse,0,1,0.4444444444444444,0.3225806451612903,0.29411764705882354,0708,Sochaux0708,Toulouse0708,F10708,0.06114273666455827,0.41883568448241604,0.3039936419630439,0.27717067355454006,Sochaux,Toulouse,0,3,0,0,1,3
