,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,Year,HomeYear,AwayYear,LeagueYear,B365J,B365HNorm,B365DNorm,B365ANorm,Favored,Unfavored,Homepts,Awaypts,Win,Draw,WinStreak,UndefStreak
0,SP1,30/08/10,Ath Madrid,Sp Gijon,4,0,0.6535947712418301,0.25,0.16666666666666666,1011,Ath Madrid1011,Sp Gijon1011,SP11011,0.0702614379084967,0.6106870229007634,0.233587786259542,0.15572519083969466,Ath Madrid,Sp Gijon,3,0,0,0,0,0
1,SP1,12/09/10,Sp Gijon,Mallorca,2,0,0.4166666666666667,0.30303030303030304,0.3448275862068966,1011,Sp Gijon1011,Mallorca1011,SP11011,0.0645245559038663,0.3914110429447853,0.2846625766871166,0.3239263803680982,Sp Gijon,Mallorca,3,0,1,0,0,0
2,SP1,18/09/10,Sp Gijon,Ath Bilbao,2,2,0.4166666666666667,0.3076923076923077,0.3448275862068966,1011,Sp Gijon1011,Ath Bilbao1011,SP11011,0.06918656056587102,0.3897043622079801,0.28778168286127764,0.3225139549307422,Sp Gijon,Ath Bilbao,1,1,0,1,1,1
3,SP1,22/09/10,Barcelona,Sp Gijon,1,0,0.8771929824561404,0.14285714285714285,0.047619047619047616,1011,Barcelona1011,Sp Gijon1011,SP11011,0.06766917293233088,0.8215962441314554,0.13380281690140844,0.04460093896713615,Barcelona,Sp Gijon,3,0,0,0,0,2
4,SP1,25/09/10,Sp Gijon,Valencia,0,2,0.3076923076923077,0.30303030303030304,0.45454545454545453,1011,Sp Gijon1011,Valencia1011,SP11011,0.06526806526806528,0.2888402625820569,0.2844638949671772,0.42669584245076586,Valencia,Sp Gijon,0,3,0,0,0,0
5,SP1,02/10/10,Zaragoza,Sp Gijon,2,2,0.48780487804878053,0.30303030303030304,0.2777777777777778,1011,Zaragoza1011,Sp Gijon1011,SP11011,0.06861295885686136,0.4564841498559078,0.28357348703170027,0.25994236311239194,Zaragoza,Sp Gijon,1,1,0,1,0,0
6,SP1,17/10/10,Sp Gijon,Sevilla,2,0,0.29411764705882354,0.29411764705882354,0.47619047619047616,1011,Sp Gijon1011,Sevilla1011,SP11011,0.06442577030812324,0.27631578947368424,0.27631578947368424,0.4473684210526316,Sevilla,Sp Gijon,3,0,1,0,0,1
7,SP1,24/10/10,Getafe,Sp Gijon,3,0,0.5780346820809249,0.2857142857142857,0.2,1011,Getafe1011,Sp Gijon1011,SP11011,0.06374896779521055,0.5433938829374321,0.2685918335662164,0.18801428349635152,Getafe,Sp Gijon,3,0,0,0,1,2
8,SP1,31/10/10,Sp Gijon,Villarreal,1,1,0.2857142857142857,0.30303030303030304,0.47619047619047616,1011,Sp Gijon1011,Villarreal1011,SP11011,0.06493506493506507,0.26829268292682923,0.2845528455284553,0.4471544715447154,Villarreal,Sp Gijon,1,1,0,1,0,0
9,SP1,07/11/10,Almeria,Sp Gijon,1,1,0.47619047619047616,0.30303030303030304,0.2857142857142857,1011,Almeria1011,Sp Gijon1011,SP11011,0.06493506493506507,0.4471544715447154,0.2845528455284553,0.26829268292682923,Almeria,Sp Gijon,1,1,0,1,0,1
