,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,Year,HomeYear,AwayYear,LeagueYear,B365J,B365HNorm,B365DNorm,B365ANorm,Favored,Unfavored,Homepts,Awaypts,Win,Draw,WinStreak,UndefStreak
0,F1,04/08/07,Monaco,St Etienne,1,1,0.5263157894736842,0.3448275862068966,0.25,0708,Monaco0708,St Etienne0708,F10708,0.12114337568058087,0.4694455685957102,0.30756778632132736,0.22298664508296234,Monaco,St Etienne,1,1,0,1,0,0
1,F1,11/08/07,St Etienne,Valenciennes,3,1,0.5464480874316939,0.3225806451612903,0.21052631578947367,0708,St Etienne0708,Valenciennes0708,F10708,0.07955504838245786,0.506178993142091,0.2988088895000086,0.19501211735790036,St Etienne,Valenciennes,3,0,1,0,0,1
2,F1,15/08/07,Rennes,St Etienne,1,0,0.47619047619047616,0.3484320557491289,0.25,0708,Rennes0708,St Etienne0708,F10708,0.074622531939605,0.44312348014050257,0.3242366927857336,0.23263982707376388,Rennes,St Etienne,3,0,0,0,1,2
3,F1,18/08/07,St Etienne,Bordeaux,0,0,0.46511627906976744,0.3448275862068966,0.29411764705882354,0708,St Etienne0708,Bordeaux0708,F10708,0.10406151233548755,0.4212775048066652,0.31232642597735527,0.26639606921597947,St Etienne,Bordeaux,1,1,0,1,0,0
4,F1,26/08/07,Lyon,St Etienne,1,0,0.6535947712418301,0.2777777777777778,0.15384615384615385,0708,Lyon0708,St Etienne0708,F10708,0.08521870286576183,0.602270094973361,0.2559647903636785,0.14176511466296038,Lyon,St Etienne,3,0,0,0,0,1
5,F1,29/08/07,St Etienne,Strasbourg,2,0,0.5714285714285714,0.3333333333333333,0.2222222222222222,0708,St Etienne0708,Strasbourg0708,F10708,0.12698412698412698,0.5070422535211268,0.29577464788732394,0.19718309859154928,St Etienne,Strasbourg,3,0,1,0,0,0
6,F1,01/09/07,Nancy,St Etienne,2,0,0.5,0.3333333333333333,0.26666666666666666,0708,Nancy0708,St Etienne0708,F10708,0.09999999999999987,0.4545454545454546,0.30303030303030304,0.24242424242424246,Nancy,St Etienne,3,0,0,0,1,1
7,F1,15/09/07,St Etienne,Caen,3,0,0.5882352941176471,0.29411764705882354,0.18181818181818182,0708,St Etienne0708,Caen0708,F10708,0.06417112299465244,0.5527638190954773,0.27638190954773867,0.1708542713567839,St Etienne,Caen,3,0,1,0,0,0
8,F1,22/09/07,Nice,St Etienne,3,0,0.45454545454545453,0.3333333333333333,0.2777777777777778,0708,Nice0708,St Etienne0708,F10708,0.06565656565656575,0.42654028436018954,0.31279620853080564,0.2606635071090047,Nice,St Etienne,3,0,0,0,1,1
9,F1,06/10/07,St Etienne,Marseille,1,0,0.4,0.3333333333333333,0.3333333333333333,0708,St Etienne0708,Marseille0708,F10708,0.06666666666666665,0.375,0.3125,0.3125,St Etienne,Marseille,3,0,1,0,0,0
10,F1,20/10/07,Toulouse,St Etienne,0,2,0.45454545454545453,0.3333333333333333,0.2777777777777778,0708,Toulouse0708,St Etienne0708,F10708,0.06565656565656575,0.42654028436018954,0.31279620853080564,0.2606635071090047,Toulouse,St Etienne,0,3,1,0,1,1
11,F1,27/10/07,St Etienne,Auxerre,0,0,0.5464480874316939,0.3076923076923077,0.21052631578947367,0708,St Etienne0708,Auxerre0708,F10708,0.06466671091347531,0.5132574183359654,0.28900340786302053,0.19773917380101405,St Etienne,Auxerre,1,1,0,1,2,2
12,F1,04/11/07,Lens,St Etienne,3,2,0.4347826086956522,0.3448275862068966,0.2857142857142857,0708,Lens0708,St Etienne0708,F10708,0.06532448061683449,0.40812223562525135,0.3236831523924407,0.268194611982308,Lens,St Etienne,3,0,0,0,0,3
13,F1,10/11/07,Le Mans,St Etienne,3,2,0.47619047619047616,0.3125,0.26666666666666666,0708,Le Mans0708,St Etienne0708,F10708,0.05535714285714288,0.45121263395375066,0.2961082910321489,0.25267907501410036,Le Mans,St Etienne,3,0,0,0,0,0
