,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,Year,HomeYear,AwayYear,LeagueYear,B365J,B365HNorm,B365DNorm,B365ANorm,Favored,Unfavored,Homepts,Awaypts,Win,Draw,WinStreak,UndefStreak
0,D1,21/08/10,Freiburg,St Pauli,1,3,0.45454545454545453,0.30303030303030304,0.3076923076923077,1011,Freiburg1011,St Pauli1011,D11011,0.06526806526806528,0.42669584245076586,0.2844638949671772,0.2888402625820569,Freiburg,St Pauli,0,3,1,0,0,0
1,D1,28/08/10,St Pauli,Hoffenheim,0,1,0.3125,0.29411764705882354,0.45454545454545453,1011,St Pauli1011,Hoffenheim1011,D11011,0.06116310160427818,0.2944881889763779,0.27716535433070866,0.4283464566929133,Hoffenheim,St Pauli,0,3,0,0,1,1
2,D1,12/09/10,FC Koln,St Pauli,1,0,0.45454545454545453,0.3076923076923077,0.3076923076923077,1011,FC Koln1011,St Pauli1011,D11011,0.06993006993007,0.4248366013071895,0.2875816993464052,0.2875816993464052,FC Koln,St Pauli,3,0,0,0,0,0
3,D1,19/09/10,St Pauli,Hamburg,1,1,0.2777777777777778,0.2857142857142857,0.5,1011,St Pauli1011,Hamburg1011,D11011,0.06349206349206349,0.2611940298507463,0.26865671641791045,0.4701492537313433,Hamburg,St Pauli,1,1,0,1,0,0
4,D1,22/09/10,M'gladbach,St Pauli,1,2,0.5,0.30303030303030304,0.2631578947368421,1011,M'gladbach1011,St Pauli1011,D11011,0.06618819776714502,0.4689603590127151,0.2842183994016455,0.2468212415856395,M'gladbach,St Pauli,0,3,1,0,0,1
5,D1,25/09/10,St Pauli,Dortmund,1,3,0.26666666666666666,0.29411764705882354,0.5,1011,St Pauli1011,Dortmund1011,D11011,0.0607843137254902,0.2513863216266174,0.27726432532347506,0.47134935304990755,Dortmund,St Pauli,0,3,0,0,1,2
6,D1,01/10/10,Hannover,St Pauli,0,1,0.5,0.29411764705882354,0.2777777777777778,1011,Hannover1011,St Pauli1011,D11011,0.0718954248366015,0.46646341463414626,0.274390243902439,0.2591463414634146,Hannover,St Pauli,0,3,1,0,0,0
7,D1,16/10/10,St Pauli,Nurnberg,3,2,0.4444444444444444,0.3125,0.29411764705882354,1011,St Pauli1011,Nurnberg1011,D11011,0.051062091503268014,0.42285270112708895,0.29731830547998445,0.27982899339292655,St Pauli,Nurnberg,3,0,1,0,1,1
8,D1,24/10/10,Stuttgart,St Pauli,2,0,0.5988023952095809,0.26666666666666666,0.2,1011,Stuttgart1011,St Pauli1011,D11011,0.06546906187624746,0.562008242787561,0.2502810041213938,0.18771075309104535,Stuttgart,St Pauli,3,0,0,0,2,2
9,D1,30/10/10,St Pauli,Ein Frankfurt,1,3,0.4,0.3076923076923077,0.35714285714285715,1011,St Pauli1011,Ein Frankfurt1011,D11011,0.06483516483516483,0.3756449948400413,0.28895768833849333,0.33539731682146545,St Pauli,Ein Frankfurt,0,3,0,0,0,0
10,D1,05/11/10,Schalke 04,St Pauli,3,0,0.5882352941176471,0.2777777777777778,0.2,1011,Schalke 041011,St Pauli1011,D11011,0.06601307189542482,0.5518087063151441,0.26057633353770693,0.187614960147149,Schalke 04,St Pauli,3,0,0,0,0,0
11,D1,13/11/10,St Pauli,Leverkusen,0,1,0.29411764705882354,0.29411764705882354,0.47619047619047616,1011,St Pauli1011,Leverkusen1011,D11011,0.06442577030812324,0.27631578947368424,0.27631578947368424,0.4473684210526316,Leverkusen,St Pauli,0,3,0,0,0,0
12,D1,21/11/10,St Pauli,Wolfsburg,1,1,0.3125,0.29411764705882354,0.45454545454545453,1011,St Pauli1011,Wolfsburg1011,D11011,0.06116310160427818,0.2944881889763779,0.27716535433070866,0.4283464566929133,Wolfsburg,St Pauli,1,1,0,1,0,0
