,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,Year,HomeYear,AwayYear,LeagueYear,B365J,B365HNorm,B365DNorm,B365ANorm,Favored,Unfavored,Homepts,Awaypts,Win,Draw,WinStreak,UndefStreak
0,E0,13/08/11,Liverpool,Sunderland,1,1,0.6369426751592356,0.2777777777777778,0.14285714285714285,1112,Liverpool1112,Sunderland1112,E01112,0.05757759579415622,0.6022656660771474,0.2626547488169782,0.13507958510587448,Liverpool,Sunderland,1,1,0,1,0,0
1,E0,20/08/11,Sunderland,Newcastle,0,1,0.45454545454545453,0.3076923076923077,0.29411764705882354,1112,Sunderland1112,Newcastle1112,E01112,0.05635540929658589,0.43029595015576316,0.29127725856697817,0.27842679127725856,Sunderland,Newcastle,0,3,0,0,0,1
2,E0,27/08/11,Swansea,Sunderland,0,0,0.42016806722689076,0.30303030303030304,0.3333333333333333,1112,Swansea1112,Sunderland1112,E01112,0.05653170359052706,0.39768618944323936,0.28681610026512416,0.31549771029163654,Swansea,Sunderland,1,1,0,1,0,0
3,E0,10/09/11,Sunderland,Chelsea,1,2,0.2,0.26666666666666666,0.5882352941176471,1112,Sunderland1112,Chelsea1112,E01112,0.05490196078431375,0.1895910780669145,0.2527881040892193,0.5576208178438662,Chelsea,Sunderland,0,3,0,0,0,1
4,E0,18/09/11,Sunderland,Stoke,4,0,0.4166666666666667,0.3125,0.3225806451612903,1112,Sunderland1112,Stoke1112,E01112,0.051747311827957,0.39616613418530355,0.2971246006389776,0.30670926517571884,Sunderland,Stoke,3,0,1,0,0,0
5,E0,26/09/11,Norwich,Sunderland,2,1,0.4,0.29411764705882354,0.35714285714285715,1112,Norwich1112,Sunderland1112,E01112,0.05126050420168071,0.38049560351718625,0.2797761790567546,0.33972821742605913,Norwich,Sunderland,3,0,0,0,1,1
6,E0,01/10/11,Sunderland,West Brom,2,2,0.4444444444444444,0.29411764705882354,0.3125,1112,Sunderland1112,West Brom1112,E01112,0.051062091503268014,0.42285270112708895,0.27982899339292655,0.29731830547998445,Sunderland,West Brom,1,1,0,1,0,0
7,E0,16/10/11,Arsenal,Sunderland,2,1,0.6944444444444444,0.23094688221709006,0.13333333333333333,1112,Arsenal1112,Sunderland1112,E01112,0.05872465999486787,0.6559254456657416,0.21813686876643598,0.1259376855678224,Arsenal,Sunderland,3,0,0,0,0,1
8,E0,22/10/11,Bolton,Sunderland,0,2,0.45454545454545453,0.3125,0.2857142857142857,1112,Bolton1112,Sunderland1112,E01112,0.05275974025974017,0.4317656129529684,0.2968388589051658,0.27139552814186585,Bolton,Sunderland,0,3,1,0,0,0
9,E0,29/10/11,Sunderland,Aston Villa,2,2,0.47619047619047616,0.30303030303030304,0.2777777777777778,1112,Sunderland1112,Aston Villa1112,E01112,0.05699855699855716,0.4505119453924914,0.28668941979522183,0.26279863481228666,Sunderland,Aston Villa,1,1,0,1,1,1
10,E0,05/11/11,Man United,Sunderland,1,0,0.8,0.18181818181818182,0.07692307692307693,1112,Man United1112,Sunderland1112,E01112,0.058741258741258795,0.7556142668428005,0.17173051519154556,0.0726552179656539,Man United,Sunderland,3,0,0,0,0,2
11,E0,19/11/11,Sunderland,Fulham,0,0,0.4347826086956522,0.3076923076923077,0.3125,1112,Sunderland1112,Fulham1112,E01112,0.054974916387959816,0.41212601545472566,0.2916584109371904,0.29621557360808404,Sunderland,Fulham,1,1,0,1,0,0
12,E0,26/11/11,Sunderland,Wigan,1,2,0.5988023952095809,0.2777777777777778,0.18181818181818182,1112,Sunderland1112,Wigan1112,E01112,0.05839835480554045,0.5657627796668286,0.26245106723433437,0.17178615309883705,Sunderland,Wigan,0,3,0,0,0,1
13,E0,04/12/11,Wolves,Sunderland,2,1,0.4166666666666667,0.30303030303030304,0.3333333333333333,1112,Wolves1112,Sunderland1112,E01112,0.05303030303030298,0.3956834532374101,0.2877697841726619,0.31654676258992803,Wolves,Sunderland,3,0,0,0,0,0
14,E0,11/12/11,Sunderland,Blackburn,2,1,0.5464480874316939,0.2857142857142857,0.2222222222222222,1112,Sunderland1112,Blackburn1112,E01112,0.05438459536820184,0.5182625863770978,0.27097729516288255,0.21076011846001974,Sunderland,Blackburn,3,0,1,0,0,0
15,E0,18/12/11,Tottenham,Sunderland,1,0,0.7352941176470588,0.21052631578947367,0.1111111111111111,1112,Tottenham1112,Sunderland1112,E01112,0.05693154454764349,0.6956875508543532,0.19918633034987795,0.10512611879576893,Tottenham,Sunderland,3,0,0,0,1,1
16,E0,21/12/11,QPR,Sunderland,2,3,0.4,0.30303030303030304,0.3472222222222222,1112,QPR1112,Sunderland1112,E01112,0.05025252525252544,0.38086078384226973,0.28853089685020433,0.33060831930752577,QPR,Sunderland,0,3,1,0,0,0
17,E0,26/12/11,Sunderland,Everton,1,1,0.4166666666666667,0.3076923076923077,0.3333333333333333,1112,Sunderland1112,Everton1112,E01112,0.05769230769230771,0.393939393939394,0.2909090909090909,0.3151515151515151,Sunderland,Everton,1,1,0,1,1,1
18,E0,01/01/12,Sunderland,Man City,1,0,0.15384615384615385,0.25,0.6535947712418301,1112,Sunderland1112,Man City1112,E01112,0.05744092508798393,0.1454891239748009,0.23641982645905146,0.6180910495661476,Man City,Sunderland,3,0,1,0,0,2
19,E0,03/01/12,Wigan,Sunderland,1,4,0.3802281368821293,0.3076923076923077,0.36363636363636365,1112,Wigan1112,Sunderland1112,E01112,0.051556808210800664,0.36158592090624053,0.2926064529179731,0.34580762617578636,Wigan,Sunderland,0,3,1,0,1,3
20,E0,14/01/12,Chelsea,Sunderland,1,0,0.7142857142857143,0.2222222222222222,0.11764705882352941,1112,Chelsea1112,Sunderland1112,E01112,0.05415499533146595,0.6775907883082374,0.21080602302922938,0.11160318866253321,Chelsea,Sunderland,3,0,0,0,2,4
21,E0,21/01/12,Sunderland,Swansea,2,0,0.5235602094240838,0.29411764705882354,0.23809523809523808,1112,Sunderland1112,Swansea1112,E01112,0.05577309457814539,0.4959022086400889,0.2785803583831088,0.22551743297680232,Sunderland,Swansea,3,0,1,0,0,0
22,E0,01/02/12,Sunderland,Norwich,3,0,0.5235602094240838,0.2857142857142857,0.23809523809523808,1112,Sunderland1112,Norwich1112,E01112,0.0473697332336076,0.49988098071887643,0.2727921923351583,0.22732682694596523,Sunderland,Norwich,3,0,1,0,1,1
23,E0,04/02/12,Stoke,Sunderland,0,1,0.4444444444444444,0.3076923076923077,0.30303030303030304,1112,Stoke1112,Sunderland1112,E01112,0.05516705516705511,0.4212076583210604,0.2916053019145803,0.2871870397643594,Stoke,Sunderland,0,3,1,0,2,2
24,E0,11/02/12,Sunderland,Arsenal,1,2,0.2857142857142857,0.29411764705882354,0.47619047619047616,1112,Sunderland1112,Arsenal1112,E01112,0.056022408963585235,0.27055702917771884,0.2785145888594165,0.4509283819628648,Arsenal,Sunderland,0,3,0,0,3,3
25,E0,25/02/12,West Brom,Sunderland,4,0,0.4166666666666667,0.3076923076923077,0.3333333333333333,1112,West Brom1112,Sunderland1112,E01112,0.05769230769230771,0.393939393939394,0.2909090909090909,0.3151515151515151,West Brom,Sunderland,3,0,0,0,0,0
26,E0,04/03/12,Newcastle,Sunderland,1,1,0.47619047619047616,0.29411764705882354,0.2857142857142857,1112,Newcastle1112,Sunderland1112,E01112,0.056022408963585235,0.4509283819628648,0.2785145888594165,0.27055702917771884,Newcastle,Sunderland,1,1,0,1,0,0
27,E0,10/03/12,Sunderland,Liverpool,1,0,0.2631578947368421,0.29411764705882354,0.5,1112,Sunderland1112,Liverpool1112,E01112,0.05727554179566563,0.24890190336749632,0.2781844802342606,0.47291361639824303,Liverpool,Sunderland,3,0,1,0,0,1
28,E0,20/03/12,Blackburn,Sunderland,2,0,0.4166666666666667,0.29411764705882354,0.3472222222222222,1112,Blackburn1112,Sunderland1112,E01112,0.058006535947712434,0.3938223938223938,0.277992277992278,0.3281853281853282,Blackburn,Sunderland,3,0,0,0,1,2
29,E0,24/03/12,Sunderland,QPR,3,1,0.5,0.29411764705882354,0.2631578947368421,1112,Sunderland1112,QPR1112,E01112,0.05727554179566563,0.47291361639824303,0.2781844802342606,0.24890190336749632,Sunderland,QPR,3,0,1,0,0,0
30,E0,31/03/12,Man City,Sunderland,3,3,0.819672131147541,0.15384615384615385,0.08333333333333333,1112,Man City1112,Sunderland1112,E01112,0.05685161832702823,0.7755791985681615,0.14557024957740877,0.07885055185442974,Man City,Sunderland,1,1,0,1,1,1
31,E0,07/04/12,Sunderland,Tottenham,0,0,0.30303030303030304,0.29411764705882354,0.45454545454545453,1112,Sunderland1112,Tottenham1112,E01112,0.051693404634581164,0.288135593220339,0.2796610169491525,0.43220338983050843,Tottenham,Sunderland,1,1,0,1,0,2
32,E0,09/04/12,Everton,Sunderland,4,0,0.5464480874316939,0.2857142857142857,0.2222222222222222,1112,Everton1112,Sunderland1112,E01112,0.05438459536820184,0.5182625863770978,0.27097729516288255,0.21076011846001974,Everton,Sunderland,3,0,0,0,0,3
33,E0,14/04/12,Sunderland,Wolves,0,0,0.6666666666666666,0.23809523809523808,0.15384615384615385,1112,Sunderland1112,Wolves1112,E01112,0.0586080586080584,0.6297577854671281,0.2249134948096886,0.14532871972318342,Sunderland,Wolves,1,1,0,1,0,0
