,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,Year,HomeYear,AwayYear,LeagueYear,B365J,B365HNorm,B365DNorm,B365ANorm,Favored,Unfavored,Homepts,Awaypts,Win,Draw,WinStreak,UndefStreak
0,E0,17/08/13,Swansea,Man United,1,4,0.23809523809523808,0.2857142857142857,0.5,1314,Swansea1314,Man United1314,E01314,0.023809523809523725,0.23255813953488372,0.27906976744186046,0.48837209302325585,Man United,Swansea,0,3,0,0,0,0
1,E0,25/08/13,Tottenham,Swansea,1,0,0.6172839506172839,0.25,0.15384615384615385,1314,Tottenham1314,Swansea1314,E01314,0.02113010446343777,0.6045105789351314,0.24482678446872821,0.15066263659614043,Tottenham,Swansea,3,0,0,0,0,0
2,E0,01/09/13,West Brom,Swansea,0,2,0.37037037037037035,0.29411764705882354,0.35714285714285715,1314,West Brom1314,Swansea1314,E01314,0.02163087457205104,0.3625285605483625,0.2878903274942879,0.3495811119573496,West Brom,Swansea,0,3,1,0,0,0
3,E0,16/09/13,Swansea,Liverpool,2,2,0.2857142857142857,0.2857142857142857,0.45454545454545453,1314,Swansea1314,Liverpool1314,E01314,0.025974025974025983,0.27848101265822783,0.27848101265822783,0.4430379746835443,Liverpool,Swansea,1,1,0,1,1,1
4,E0,22/09/13,Crystal Palace,Swansea,0,2,0.2857142857142857,0.29411764705882354,0.4444444444444444,1314,Crystal Palace1314,Swansea1314,E01314,0.024276377217553602,0.2789425706472197,0.2871467639015497,0.43391066545123064,Swansea,Crystal Palace,0,3,1,0,0,2
5,E0,28/09/13,Swansea,Arsenal,1,2,0.3125,0.29411764705882354,0.42016806722689076,1314,Swansea1314,Arsenal1314,E01314,0.026785714285714413,0.3043478260869565,0.2864450127877238,0.40920716112531963,Arsenal,Swansea,0,3,0,0,1,3
6,E0,06/10/13,Southampton,Swansea,2,0,0.47619047619047616,0.2857142857142857,0.2631578947368421,1314,Southampton1314,Swansea1314,E01314,0.025062656641603898,0.4645476772616137,0.2787286063569682,0.2567237163814181,Southampton,Swansea,3,0,0,0,0,0
7,E0,19/10/13,Swansea,Sunderland,4,0,0.6172839506172839,0.25,0.15384615384615385,1314,Swansea1314,Sunderland1314,E01314,0.02113010446343777,0.6045105789351314,0.24482678446872821,0.15066263659614043,Swansea,Sunderland,3,0,1,0,0,0
8,E0,27/10/13,Swansea,West Ham,0,0,0.5714285714285714,0.2631578947368421,0.19047619047619047,1314,Swansea1314,West Ham1314,E01314,0.025062656641603898,0.5574572127139364,0.2567237163814181,0.1858190709046455,Swansea,West Ham,1,1,0,1,1,1
9,E0,03/11/13,Cardiff,Swansea,1,0,0.29411764705882354,0.29411764705882354,0.4347826086956522,1314,Cardiff1314,Swansea1314,E01314,0.023017902813299296,0.2875,0.2875,0.425,Swansea,Cardiff,3,0,0,0,0,2
