,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,Year,HomeYear,AwayYear,LeagueYear,B365J,B365HNorm,B365DNorm,B365ANorm,Favored,Unfavored,Homepts,Awaypts,Win,Draw,WinStreak,UndefStreak
0,F1,07/08/10,Toulouse,Brest,2,0,0.6172839506172839,0.2857142857142857,0.16666666666666666,1011,Toulouse1011,Brest1011,F11011,0.06966490299823636,0.5770816158285242,0.2671063478977741,0.15581203627370155,Toulouse,Brest,3,0,1,0,0,0
1,F1,15/08/10,Bordeaux,Toulouse,1,2,0.625,0.2777777777777778,0.16,1011,Bordeaux1011,Toulouse1011,F11011,0.06277777777777782,0.5880815473078933,0.26136957658128596,0.15054887611082068,Bordeaux,Toulouse,0,3,1,0,1,1
2,F1,21/08/10,Toulouse,Arles,2,1,0.6172839506172839,0.2777777777777778,0.16666666666666666,1011,Toulouse1011,Arles1011,F11011,0.06172839506172845,0.5813953488372092,0.2616279069767442,0.15697674418604649,Toulouse,Arles,3,0,1,0,2,2
3,F1,28/08/10,Nancy,Toulouse,0,2,0.4166666666666667,0.3333333333333333,0.3125,1011,Nancy1011,Toulouse1011,F11011,0.0625,0.39215686274509803,0.3137254901960784,0.29411764705882354,Nancy,Toulouse,0,3,1,0,3,3
4,F1,11/09/10,Toulouse,St Etienne,0,1,0.5555555555555556,0.3076923076923077,0.2,1011,Toulouse1011,St Etienne1011,F11011,0.06324786324786325,0.522508038585209,0.28938906752411575,0.18810289389067525,Toulouse,St Etienne,0,3,0,0,4,4
5,F1,18/09/10,Monaco,Toulouse,0,0,0.4347826086956522,0.3333333333333333,0.29411764705882354,1011,Monaco1011,Toulouse1011,F11011,0.06223358908780918,0.40930979133226325,0.3138041733547351,0.2768860353130016,Monaco,Toulouse,1,1,0,1,0,0
6,F1,26/09/10,Toulouse,Lille,1,1,0.36363636363636365,0.3333333333333333,0.37037037037037035,1011,Toulouse1011,Lille1011,F11011,0.06734006734006748,0.34069400630914826,0.3123028391167192,0.34700315457413244,Lille,Toulouse,1,1,0,1,0,1
7,F1,03/10/10,Rennes,Toulouse,3,1,0.5,0.3225806451612903,0.24390243902439027,1011,Rennes1011,Toulouse1011,F11011,0.0664830841856805,0.46883068978236814,0.30247141276281814,0.22869789745481375,Rennes,Toulouse,3,0,0,0,0,2
8,F1,16/10/10,Toulouse,Paris SG,0,2,0.36363636363636365,0.3333333333333333,0.36363636363636365,1011,Toulouse1011,Paris SG1011,F11011,0.06060606060606055,0.34285714285714286,0.3142857142857143,0.34285714285714286,Toulouse,Paris SG,0,3,0,0,0,0
9,F1,23/10/10,Sochaux,Toulouse,1,3,0.4444444444444444,0.3333333333333333,0.2857142857142857,1011,Sochaux1011,Toulouse1011,F11011,0.06349206349206327,0.41791044776119407,0.3134328358208956,0.2686567164179105,Sochaux,Toulouse,0,3,1,0,0,0
10,F1,30/10/10,Toulouse,Lens,1,1,0.5714285714285714,0.30303030303030304,0.19047619047619047,1011,Toulouse1011,Lens1011,F11011,0.06493506493506485,0.5365853658536586,0.28455284552845533,0.17886178861788618,Toulouse,Lens,1,1,0,1,1,1
11,F1,07/11/10,Nice,Toulouse,2,0,0.3846153846153846,0.3333333333333333,0.3448275862068966,1011,Nice1011,Toulouse1011,F11011,0.06277630415561442,0.36189683860232946,0.3136439267886855,0.32445923460898507,Nice,Toulouse,3,0,0,0,0,2
12,F1,13/11/10,Montpellier,Toulouse,1,0,0.48780487804878053,0.3125,0.2631578947368421,1011,Montpellier1011,Toulouse1011,F11011,0.06346277278562251,0.4586948321388156,0.2938513768389287,0.24745379102225576,Montpellier,Toulouse,3,0,0,0,0,0
13,F1,20/11/10,Toulouse,Marseille,0,1,0.3076923076923077,0.3333333333333333,0.42016806722689076,1011,Toulouse1011,Marseille1011,F11011,0.06119370825253179,0.2899492385786802,0.3141116751269035,0.39593908629441626,Marseille,Toulouse,0,3,0,0,0,0
14,F1,28/11/10,Auxerre,Toulouse,1,2,0.5,0.3225806451612903,0.24390243902439027,1011,Auxerre1011,Toulouse1011,F11011,0.0664830841856805,0.46883068978236814,0.30247141276281814,0.22869789745481375,Auxerre,Toulouse,0,3,1,0,0,0
15,F1,04/12/10,Toulouse,Caen,1,0,0.5882352941176471,0.29411764705882354,0.18181818181818182,1011,Toulouse1011,Caen1011,F11011,0.06417112299465244,0.5527638190954773,0.27638190954773867,0.1708542713567839,Toulouse,Caen,3,0,1,0,1,1
16,F1,12/12/10,Lyon,Toulouse,2,0,0.6535947712418301,0.27027027027027023,0.14285714285714285,1011,Lyon1011,Toulouse1011,F11011,0.06672218436924315,0.6127132076364411,0.25336519126587964,0.13392160109767925,Lyon,Toulouse,3,0,0,0,2,2
17,F1,18/12/10,Toulouse,Lorient,3,0,0.47619047619047616,0.3225806451612903,0.2631578947368421,1011,Toulouse1011,Lorient1011,F11011,0.06192901608860857,0.4484202512371526,0.30376855728968405,0.2478111914731633,Toulouse,Lorient,3,0,1,0,0,0
