,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,Year,HomeYear,AwayYear,LeagueYear,B365J,B365HNorm,B365DNorm,B365ANorm,Favored,Unfavored,Homepts,Awaypts,Win,Draw,WinStreak,UndefStreak
0,F1,11/08/12,Troyes,Valenciennes,0,1,0.4166666666666667,0.3225806451612903,0.3225806451612903,1213,Troyes1213,Valenciennes1213,F11213,0.06182795698924726,0.3924050632911393,0.3037974683544304,0.3037974683544304,Troyes,Valenciennes,0,3,0,0,0,0
1,F1,18/08/12,Lyon,Troyes,4,1,0.6944444444444444,0.23809523809523808,0.13333333333333333,1213,Lyon1213,Troyes1213,F11213,0.06587301587301586,0.6515264333581534,0.22338049143708116,0.12509307520476545,Lyon,Troyes,3,0,0,0,0,0
2,F1,25/08/12,Troyes,Lorient,2,2,0.3846153846153846,0.3333333333333333,0.3448275862068966,1213,Troyes1213,Lorient1213,F11213,0.06277630415561442,0.36189683860232946,0.3136439267886855,0.32445923460898507,Troyes,Lorient,1,1,0,1,0,0
3,F1,01/09/12,Brest,Troyes,2,1,0.46511627906976744,0.3333333333333333,0.26666666666666666,1213,Brest1213,Troyes1213,F11213,0.06511627906976747,0.43668122270742354,0.31295487627365354,0.25036390101892286,Brest,Troyes,3,0,0,0,0,1
4,F1,15/09/12,Troyes,Lille,1,1,0.25,0.3125,0.5,1213,Troyes1213,Lille1213,F11213,0.0625,0.23529411764705882,0.29411764705882354,0.47058823529411764,Lille,Troyes,1,1,0,1,0,0
5,F1,22/09/12,Sochaux,Troyes,3,1,0.45454545454545453,0.3125,0.29411764705882354,1213,Sochaux1213,Troyes1213,F11213,0.06116310160427818,0.4283464566929133,0.2944881889763779,0.27716535433070866,Sochaux,Troyes,3,0,0,0,0,1
6,F1,29/09/12,Troyes,Toulouse,0,2,0.3333333333333333,0.3333333333333333,0.4,1213,Troyes1213,Toulouse1213,F11213,0.06666666666666665,0.3125,0.3125,0.375,Toulouse,Troyes,0,3,0,0,0,0
7,F1,06/10/12,Bastia,Troyes,3,2,0.5714285714285714,0.29411764705882354,0.2,1213,Bastia1213,Troyes1213,F11213,0.06554621848739495,0.5362776025236593,0.27602523659305994,0.18769716088328076,Bastia,Troyes,3,0,0,0,0,0
8,F1,21/10/12,Troyes,Marseille,1,0,0.2,0.2857142857142857,0.5780346820809249,1213,Troyes1213,Marseille1213,F11213,0.06374896779521055,0.18801428349635152,0.2685918335662164,0.5433938829374321,Marseille,Troyes,3,0,1,0,0,0
9,F1,27/10/12,Reims,Troyes,1,1,0.5714285714285714,0.29411764705882354,0.2,1213,Reims1213,Troyes1213,F11213,0.06554621848739495,0.5362776025236593,0.27602523659305994,0.18769716088328076,Reims,Troyes,1,1,0,1,1,1
10,F1,03/11/12,Troyes,Montpellier,1,1,0.2857142857142857,0.3125,0.46511627906976744,1213,Troyes1213,Montpellier1213,F11213,0.06333056478405319,0.2686975200156219,0.2938879125170865,0.4374145674672915,Montpellier,Troyes,1,1,0,1,0,2
