,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,Year,HomeYear,AwayYear,LeagueYear,B365J,B365HNorm,B365DNorm,B365ANorm,Favored,Unfavored,Homepts,Awaypts,Win,Draw,WinStreak,UndefStreak
0,SP1,30/08/09,Valencia,Sevilla,2,0,0.4444444444444444,0.30303030303030304,0.3125,0910,Valencia0910,Sevilla0910,SP10910,0.0599747474747474,0.41929720071471116,0.2858844550327576,0.2948183442525313,Valencia,Sevilla,3,0,1,0,0,0
1,SP1,13/09/09,Valladolid,Valencia,2,4,0.29411764705882354,0.29411764705882354,0.47619047619047616,0910,Valladolid0910,Valencia0910,SP10910,0.06442577030812324,0.27631578947368424,0.27631578947368424,0.4473684210526316,Valencia,Valladolid,0,3,1,0,1,1
2,SP1,20/09/09,Valencia,Sp Gijon,2,2,0.7751937984496123,0.19047619047619047,0.1,0910,Valencia0910,Sp Gijon0910,SP10910,0.06566998892580278,0.7274238802868128,0.1787384391561883,0.09383768055699887,Valencia,Sp Gijon,1,1,0,1,2,2
3,SP1,23/09/09,Getafe,Valencia,3,1,0.3333333333333333,0.30303030303030304,0.425531914893617,0910,Getafe0910,Valencia0910,SP10910,0.061895551257253434,0.31390406800242865,0.2853673345476624,0.4007285974499089,Valencia,Getafe,3,0,0,0,0,3
4,SP1,26/09/09,Valencia,Ath Madrid,2,2,0.5235602094240838,0.29411764705882354,0.25,0910,Valencia0910,Ath Madrid0910,SP10910,0.06767785648290725,0.4903728275762602,0.2754741472560756,0.23415302516766426,Valencia,Ath Madrid,1,1,0,1,0,0
5,SP1,04/10/09,Santander,Valencia,0,1,0.29411764705882354,0.29411764705882354,0.47619047619047616,0910,Santander0910,Valencia0910,SP10910,0.06442577030812324,0.27631578947368424,0.27631578947368424,0.4473684210526316,Valencia,Santander,0,3,1,0,0,1
6,SP1,17/10/09,Valencia,Barcelona,0,0,0.21052631578947367,0.26666666666666666,0.5882352941176471,0910,Valencia0910,Barcelona0910,SP10910,0.06542827657378747,0.19759783029833397,0.25029058504455637,0.5521115846571096,Barcelona,Valencia,1,1,0,1,1,2
7,SP1,25/10/09,Almeria,Valencia,0,3,0.2857142857142857,0.30303030303030304,0.47619047619047616,0910,Almeria0910,Valencia0910,SP10910,0.06493506493506507,0.26829268292682923,0.2845528455284553,0.4471544715447154,Valencia,Almeria,0,3,1,0,0,3
8,SP1,01/11/09,Malaga,Valencia,0,1,0.2631578947368421,0.2777777777777778,0.5235602094240838,0910,Malaga0910,Valencia0910,SP10910,0.06449588193870381,0.24721363342201763,0.2609477241676853,0.4918386424102969,Valencia,Malaga,0,3,1,0,1,4
9,SP1,08/11/09,Valencia,Zaragoza,3,1,0.6666666666666666,0.25,0.15384615384615385,0910,Valencia0910,Zaragoza0910,SP10910,0.07051282051282048,0.6227544910179641,0.23353293413173654,0.14371257485029942,Valencia,Zaragoza,3,0,1,0,2,5
10,SP1,22/11/09,Osasuna,Valencia,1,3,0.3076923076923077,0.30303030303030304,0.45454545454545453,0910,Osasuna0910,Valencia0910,SP10910,0.06526806526806528,0.2888402625820569,0.2844638949671772,0.42669584245076586,Valencia,Osasuna,0,3,1,0,3,6
11,SP1,28/11/09,Valencia,Mallorca,1,1,0.6535947712418301,0.25,0.16666666666666666,0910,Valencia0910,Mallorca0910,SP10910,0.0702614379084967,0.6106870229007634,0.233587786259542,0.15572519083969466,Valencia,Mallorca,1,1,0,1,4,7
12,SP1,06/12/09,Ath Bilbao,Valencia,1,2,0.3125,0.29411764705882354,0.45454545454545453,0910,Ath Bilbao0910,Valencia0910,SP10910,0.06116310160427818,0.2944881889763779,0.27716535433070866,0.4283464566929133,Valencia,Ath Bilbao,0,3,1,0,0,8
13,SP1,12/12/09,Valencia,Real Madrid,2,3,0.4,0.29411764705882354,0.37037037037037035,0910,Valencia0910,Real Madrid0910,SP10910,0.06448801742919397,0.375767498976668,0.2762996316004912,0.34793286942284074,Valencia,Real Madrid,0,3,0,0,1,9
14,SP1,20/12/09,La Coruna,Valencia,0,0,0.35714285714285715,0.3076923076923077,0.4,0910,La Coruna0910,Valencia0910,SP10910,0.06483516483516505,0.33539731682146534,0.2889576883384932,0.3756449948400412,Valencia,La Coruna,1,1,0,1,0,0
15,SP1,02/01/10,Valencia,Espanol,1,0,0.6944444444444444,0.23094688221709006,0.14285714285714285,0910,Valencia0910,Espanol0910,SP10910,0.06824846951867736,0.6500776404176282,0.2161921021250311,0.13373025745734066,Valencia,Espanol,3,0,1,0,0,1
16,SP1,10/01/10,Xerez,Valencia,1,3,0.16666666666666666,0.26666666666666666,0.6369426751592356,0910,Xerez0910,Valencia0910,SP10910,0.0702760084925691,0.15572307081928186,0.249156913310851,0.595120015869867,Valencia,Xerez,0,3,1,0,1,2
17,SP1,17/01/10,Valencia,Villarreal,4,1,0.5235602094240838,0.2777777777777778,0.26666666666666666,0910,Valencia0910,Villarreal0910,SP10910,0.06800465386852816,0.49022277901846506,0.2600904188681301,0.24968680211340488,Valencia,Villarreal,3,0,1,0,2,3
18,SP1,24/01/10,Tenerife,Valencia,0,0,0.19047619047619047,0.26666666666666666,0.6060606060606061,0910,Tenerife0910,Valencia0910,SP10910,0.06320346320346326,0.17915309446254069,0.250814332247557,0.5700325732899023,Valencia,Tenerife,1,1,0,1,3,4
19,SP1,31/01/10,Sevilla,Valencia,2,1,0.4444444444444444,0.29411764705882354,0.3125,0910,Sevilla0910,Valencia0910,SP10910,0.051062091503268014,0.42285270112708895,0.27982899339292655,0.29731830547998445,Sevilla,Valencia,3,0,0,0,0,5
20,SP1,06/02/10,Valencia,Valladolid,2,0,0.7352941176470588,0.2,0.13333333333333333,0910,Valencia0910,Valladolid0910,SP10910,0.06862745098039214,0.6880733944954128,0.1871559633027523,0.12477064220183487,Valencia,Valladolid,3,0,1,0,0,0
