,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,Year,HomeYear,AwayYear,LeagueYear,B365J,B365HNorm,B365DNorm,B365ANorm,Favored,Unfavored,Homepts,Awaypts,Win,Draw,WinStreak,UndefStreak
0,SP1,20/08/12,Vallecano,Granada,1,0,0.45454545454545453,0.30303030303030304,0.30303030303030304,1213,Vallecano1213,Granada1213,SP11213,0.06060606060606055,0.4285714285714286,0.28571428571428575,0.28571428571428575,Vallecano,Granada,3,0,1,0,0,0
1,SP1,25/08/12,Betis,Vallecano,1,2,0.5882352941176471,0.2777777777777778,0.2,1213,Betis1213,Vallecano1213,SP11213,0.06601307189542482,0.5518087063151441,0.26057633353770693,0.187614960147149,Betis,Vallecano,0,3,1,0,1,1
2,SP1,02/09/12,Vallecano,Sevilla,0,0,0.35714285714285715,0.3076923076923077,0.4,1213,Vallecano1213,Sevilla1213,SP11213,0.06483516483516505,0.33539731682146534,0.2889576883384932,0.3756449948400412,Sevilla,Vallecano,1,1,0,1,2,2
3,SP1,16/09/12,Ath Madrid,Vallecano,4,3,0.7518796992481203,0.2,0.1111111111111111,1213,Ath Madrid1213,Vallecano1213,SP11213,0.06299081035923138,0.7073247406475951,0.1881483810122603,0.10452687834014461,Ath Madrid,Vallecano,3,0,0,0,0,3
4,SP1,24/09/12,Vallecano,Real Madrid,0,2,0.1111111111111111,0.18181818181818182,0.7692307692307692,1213,Vallecano1213,Real Madrid1213,SP11213,0.06216006216006198,0.10460863204096563,0.17117776152158012,0.7242136064374544,Real Madrid,Vallecano,0,3,0,0,0,0
5,SP1,30/09/12,Valladolid,Vallecano,6,1,0.5464480874316939,0.2857142857142857,0.23094688221709006,1213,Valladolid1213,Vallecano1213,SP11213,0.06310925536306966,0.5140093406910212,0.2687534552755911,0.21723720403338773,Valladolid,Vallecano,3,0,0,0,0,0
6,SP1,06/10/12,Vallecano,La Coruna,2,1,0.4347826086956522,0.30303030303030304,0.3225806451612903,1213,Vallecano1213,La Coruna1213,SP11213,0.06039355688724557,0.41002004008016035,0.28577154308617236,0.30420841683366734,Vallecano,La Coruna,3,0,1,0,0,0
7,SP1,21/10/12,Espanol,Vallecano,3,2,0.5235602094240838,0.29411764705882354,0.25,1213,Espanol1213,Vallecano1213,SP11213,0.06767785648290725,0.4903728275762602,0.2754741472560756,0.23415302516766426,Espanol,Vallecano,3,0,0,0,1,1
8,SP1,27/10/12,Vallecano,Barcelona,0,5,0.09090909090909091,0.16666666666666666,0.8,1213,Vallecano1213,Barcelona1213,SP11213,0.05757575757575761,0.08595988538681948,0.15759312320916904,0.7564469914040115,Barcelona,Vallecano,0,3,0,0,0,0
9,SP1,03/11/12,Malaga,Vallecano,1,2,0.7142857142857143,0.2222222222222222,0.125,1213,Malaga1213,Vallecano1213,SP11213,0.06150793650793651,0.6728971962616822,0.20934579439252335,0.11775700934579439,Malaga,Vallecano,0,3,1,0,0,0
10,SP1,10/11/12,Vallecano,Celta,3,2,0.42016806722689076,0.29411764705882354,0.3448275862068966,1213,Vallecano1213,Celta1213,SP11213,0.059113300492610765,0.3967168262653899,0.2777017783857729,0.32558139534883723,Vallecano,Celta,3,0,1,0,1,1
11,SP1,19/11/12,Sociedad,Vallecano,4,0,0.5714285714285714,0.2857142857142857,0.21052631578947367,1213,Sociedad1213,Vallecano1213,SP11213,0.06766917293233066,0.5352112676056339,0.26760563380281693,0.1971830985915493,Sociedad,Vallecano,3,0,0,0,2,2
12,SP1,24/11/12,Vallecano,Mallorca,2,0,0.47619047619047616,0.29411764705882354,0.29411764705882354,1213,Vallecano1213,Mallorca1213,SP11213,0.06442577030812324,0.4473684210526316,0.27631578947368424,0.27631578947368424,Vallecano,Mallorca,3,0,1,0,0,0
13,SP1,30/11/12,Osasuna,Vallecano,1,0,0.5235602094240838,0.2857142857142857,0.25,1213,Osasuna1213,Vallecano1213,SP11213,0.059274495138369465,0.4942630185348632,0.26972639011473964,0.23601059135039718,Osasuna,Vallecano,3,0,0,0,1,1
14,SP1,10/12/12,Vallecano,Zaragoza,0,2,0.4444444444444444,0.30303030303030304,0.3125,1213,Vallecano1213,Zaragoza1213,SP11213,0.0599747474747474,0.41929720071471116,0.2858844550327576,0.2948183442525313,Vallecano,Zaragoza,0,3,0,0,0,0
15,SP1,16/12/12,Valencia,Vallecano,0,1,0.6944444444444444,0.23094688221709006,0.14285714285714285,1213,Valencia1213,Vallecano1213,SP11213,0.06824846951867736,0.6500776404176282,0.2161921021250311,0.13373025745734066,Valencia,Vallecano,0,3,1,0,0,0
16,SP1,20/12/12,Vallecano,Levante,3,0,0.4444444444444444,0.3076923076923077,0.3076923076923077,1213,Vallecano1213,Levante1213,SP11213,0.05982905982905984,0.4193548387096774,0.2903225806451613,0.2903225806451613,Vallecano,Levante,3,0,1,0,1,1
17,SP1,07/01/13,Vallecano,Getafe,3,1,0.45454545454545453,0.30303030303030304,0.30303030303030304,1213,Vallecano1213,Getafe1213,SP11213,0.06060606060606055,0.4285714285714286,0.28571428571428575,0.28571428571428575,Vallecano,Getafe,3,0,1,0,2,2
18,SP1,11/01/13,Ath Bilbao,Vallecano,1,2,0.5235602094240838,0.2857142857142857,0.25,1213,Ath Bilbao1213,Vallecano1213,SP11213,0.059274495138369465,0.4942630185348632,0.26972639011473964,0.23601059135039718,Ath Bilbao,Vallecano,0,3,1,0,3,3
