,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,Year,HomeYear,AwayYear,LeagueYear,B365J,B365HNorm,B365DNorm,B365ANorm,Favored,Unfavored,Homepts,Awaypts,Win,Draw,WinStreak,UndefStreak
0,D1,13/08/06,Hannover,Werder Bremen,2,4,0.25,0.3076923076923077,0.5263157894736842,0607,Hannover0607,Werder Bremen0607,D10607,0.084008097165992,0.23062558356676002,0.2838468720821662,0.4855275443510737,Werder Bremen,Hannover,0,3,1,0,0,0
1,D1,19/08/06,Werder Bremen,Leverkusen,2,1,0.6024096385542169,0.2777777777777778,0.2,0607,Werder Bremen0607,Leverkusen0607,D10607,0.08018741633199467,0.5576899244020325,0.25715702069649277,0.1851530549014748,Werder Bremen,Leverkusen,3,0,1,0,1,1
2,D1,25/08/06,Schalke 04,Werder Bremen,2,0,0.4,0.3225806451612903,0.35714285714285715,0607,Schalke 040607,Werder Bremen0607,D10607,0.0797235023041476,0.37046521553563805,0.29876227059325644,0.3307725138711054,Schalke 04,Werder Bremen,3,0,0,0,2,2
3,D1,16/09/06,Werder Bremen,Stuttgart,2,3,0.6369426751592356,0.2857142857142857,0.15384615384615385,0607,Werder Bremen0607,Stuttgart0607,D10607,0.0765031147196753,0.5916775032509752,0.26540962288686604,0.14291287386215865,Werder Bremen,Stuttgart,0,3,0,0,0,0
4,D1,23/09/06,Hamburg,Werder Bremen,1,1,0.3846153846153846,0.3076923076923077,0.3846153846153846,0607,Hamburg0607,Werder Bremen0607,D10607,0.07692307692307687,0.35714285714285715,0.28571428571428575,0.35714285714285715,Hamburg,Werder Bremen,1,1,0,1,0,0
5,D1,30/09/06,Werder Bremen,M'gladbach,3,0,0.7142857142857143,0.23094688221709006,0.13333333333333333,0607,Werder Bremen0607,M'gladbach0607,D10607,0.07856592983613764,0.6622550319146767,0.21412402879458367,0.12362093929073965,Werder Bremen,M'gladbach,3,0,1,0,0,1
6,D1,14/10/06,Bochum,Werder Bremen,0,6,0.21052631578947367,0.2857142857142857,0.5813953488372093,0607,Bochum0607,Werder Bremen0607,D10607,0.0776359503409687,0.19535940288820378,0.26513061820541944,0.5395099789063768,Werder Bremen,Bochum,0,3,1,0,1,2
7,D1,21/10/06,Werder Bremen,Bayern Munich,3,1,0.4166666666666667,0.3125,0.3484320557491289,0607,Werder Bremen0607,Bayern Munich0607,D10607,0.07759872241579568,0.3866621758167733,0.28999663186257996,0.3233411923206466,Werder Bremen,Bayern Munich,3,0,1,0,2,3
8,D1,27/10/06,Mainz,Werder Bremen,1,6,0.18181818181818182,0.2777777777777778,0.6211180124223602,0607,Mainz0607,Werder Bremen0607,D10607,0.08071397201831987,0.16823894807117354,0.2570317262198485,0.574729325708978,Werder Bremen,Mainz,0,3,1,0,3,4
9,D1,04/11/06,Werder Bremen,Cottbus,1,1,0.8,0.2,0.07692307692307693,0607,Werder Bremen0607,Cottbus0607,D10607,0.07692307692307687,0.7428571428571429,0.18571428571428572,0.07142857142857144,Werder Bremen,Cottbus,1,1,0,1,4,5
