,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,Year,HomeYear,AwayYear,LeagueYear,B365J,B365HNorm,B365DNorm,B365ANorm,Favored,Unfavored,Homepts,Awaypts,Win,Draw,WinStreak,UndefStreak
0,SP1,30/08/09,Mallorca,Xerez,2,0,0.5235602094240838,0.29411764705882354,0.23094688221709006,0910,Mallorca0910,Xerez0910,SP10910,0.048624738699997394,0.4992827177367116,0.28047940908150565,0.2202378731817827,Mallorca,Xerez,3,0,0,0,0,0
1,SP1,13/09/09,Xerez,Ath Bilbao,0,1,0.36363636363636365,0.3125,0.3802281368821293,0910,Xerez0910,Ath Bilbao0910,SP10910,0.056364500518492955,0.3442337975744933,0.2958259197905802,0.3599402826349265,Ath Bilbao,Xerez,0,3,0,0,0,0
2,SP1,20/09/09,Real Madrid,Xerez,5,0,0.8849557522123894,0.125,0.047619047619047616,0910,Real Madrid0910,Xerez0910,SP10910,0.057574799831437096,0.8367784031478807,0.11819494944463814,0.04502664740748119,Real Madrid,Xerez,3,0,0,0,0,0
3,SP1,23/09/09,Xerez,La Coruna,0,3,0.3472222222222222,0.3076923076923077,0.4081632653061224,0910,Xerez0910,La Coruna0910,SP10910,0.06307779522065227,0.3266197674180118,0.28943536312734586,0.3839448694546424,La Coruna,Xerez,0,3,0,0,0,0
4,SP1,27/09/09,Espanol,Xerez,0,0,0.6535947712418301,0.25,0.16666666666666666,0910,Espanol0910,Xerez0910,SP10910,0.0702614379084967,0.6106870229007634,0.233587786259542,0.15572519083969466,Espanol,Xerez,1,1,0,1,0,0
5,SP1,04/10/09,Xerez,Malaga,1,1,0.4166666666666667,0.30303030303030304,0.3472222222222222,0910,Xerez0910,Malaga0910,SP10910,0.06691919191919204,0.3905325443786982,0.2840236686390532,0.32544378698224846,Xerez,Malaga,1,1,0,1,0,1
6,SP1,18/10/09,Xerez,Villarreal,2,1,0.2631578947368421,0.30303030303030304,0.5,0910,Xerez0910,Villarreal0910,SP10910,0.06618819776714524,0.24682124158563945,0.28421839940164545,0.468960359012715,Villarreal,Xerez,3,0,1,0,0,2
7,SP1,25/10/09,Tenerife,Xerez,1,0,0.5235602094240838,0.30303030303030304,0.23809523809523808,0910,Tenerife0910,Xerez0910,SP10910,0.064685750549625,0.4917509313464608,0.2846194784459819,0.22362959020755718,Tenerife,Xerez,3,0,0,0,1,3
8,SP1,31/10/09,Xerez,Sevilla,0,2,0.18181818181818182,0.26666666666666666,0.6172839506172839,0910,Xerez0910,Sevilla0910,SP10910,0.06576879910213229,0.1705981465880371,0.25021061499578773,0.5791912384161753,Sevilla,Xerez,0,3,0,0,0,0
9,SP1,08/11/09,Valladolid,Xerez,0,0,0.6060606060606061,0.27027027027027023,0.19047619047619047,0910,Valladolid0910,Xerez0910,SP10910,0.06680706680706683,0.5681070410177671,0.2533450318052204,0.17854792717701248,Valladolid,Xerez,1,1,0,1,0,0
10,SP1,22/11/09,Xerez,Sp Gijon,0,0,0.35714285714285715,0.3076923076923077,0.4,0910,Xerez0910,Sp Gijon0910,SP10910,0.06483516483516505,0.33539731682146534,0.2889576883384932,0.3756449948400412,Sp Gijon,Xerez,1,1,0,1,0,1
11,SP1,29/11/09,Getafe,Xerez,5,1,0.6666666666666666,0.25,0.15384615384615385,0910,Getafe0910,Xerez0910,SP10910,0.07051282051282048,0.6227544910179641,0.23353293413173654,0.14371257485029942,Getafe,Xerez,3,0,0,0,0,2
12,SP1,02/12/09,Xerez,Barcelona,0,2,0.08333333333333333,0.18181818181818182,0.8,0910,Xerez0910,Barcelona0910,SP10910,0.06515151515151518,0.07823613086770981,0.17069701280227595,0.7510668563300142,Barcelona,Xerez,0,3,0,0,0,0
13,SP1,05/12/09,Xerez,Ath Madrid,0,2,0.2173913043478261,0.2777777777777778,0.5714285714285714,0910,Xerez0910,Ath Madrid0910,SP10910,0.06659765355417524,0.2038175347783889,0.2604335166612747,0.5357489485603365,Ath Madrid,Xerez,0,3,0,0,0,0
