,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,Year,HomeYear,AwayYear,LeagueYear,B365J,B365HNorm,B365DNorm,B365ANorm,Favored,Unfavored,Homepts,Awaypts,Win,Draw,WinStreak,UndefStreak
0,SP1,29/08/09,Zaragoza,Tenerife,1,0,0.5235602094240838,0.29411764705882354,0.23809523809523808,0910,Zaragoza0910,Tenerife0910,SP10910,0.05577309457814539,0.4959022086400889,0.2785803583831088,0.22551743297680232,Zaragoza,Tenerife,3,0,1,0,0,0
1,SP1,12/09/09,Sevilla,Zaragoza,4,1,0.6369426751592356,0.2631578947368421,0.16666666666666666,0910,Sevilla0910,Zaragoza0910,SP10910,0.06676723656274453,0.5970774629445346,0.24668726758497875,0.15623526947048655,Sevilla,Zaragoza,3,0,0,0,1,1
2,SP1,20/09/09,Zaragoza,Valladolid,1,2,0.47619047619047616,0.30303030303030304,0.2857142857142857,0910,Zaragoza0910,Valladolid0910,SP10910,0.06493506493506507,0.4471544715447154,0.2845528455284553,0.26829268292682923,Zaragoza,Valladolid,0,3,0,0,0,0
3,SP1,24/09/09,Sp Gijon,Zaragoza,1,1,0.4444444444444444,0.29411764705882354,0.3225806451612903,0910,Sp Gijon0910,Zaragoza0910,SP10910,0.06114273666455827,0.41883568448241604,0.27717067355454006,0.3039936419630439,Sp Gijon,Zaragoza,1,1,0,1,0,0
4,SP1,27/09/09,Zaragoza,Getafe,3,0,0.45454545454545453,0.3076923076923077,0.30303030303030304,0910,Zaragoza0910,Getafe0910,SP10910,0.06526806526806528,0.42669584245076586,0.2888402625820569,0.2844638949671772,Zaragoza,Getafe,3,0,1,0,0,1
5,SP1,03/10/09,Ath Madrid,Zaragoza,2,1,0.6369426751592356,0.2631578947368421,0.16666666666666666,0910,Ath Madrid0910,Zaragoza0910,SP10910,0.06676723656274453,0.5970774629445346,0.24668726758497875,0.15623526947048655,Ath Madrid,Zaragoza,3,0,0,0,1,2
6,SP1,18/10/09,Zaragoza,Santander,2,2,0.5,0.29411764705882354,0.26666666666666666,0910,Zaragoza0910,Santander0910,SP10910,0.0607843137254902,0.47134935304990755,0.27726432532347506,0.2513863216266174,Zaragoza,Santander,1,1,0,1,0,0
7,SP1,25/10/09,Barcelona,Zaragoza,6,1,0.9090909090909091,0.1111111111111111,0.047619047619047616,0910,Barcelona0910,Zaragoza0910,SP10910,0.06782106782106778,0.8513513513513513,0.10405405405405405,0.0445945945945946,Barcelona,Zaragoza,3,0,0,0,0,1
8,SP1,01/11/09,Zaragoza,Almeria,2,1,0.5,0.29411764705882354,0.26666666666666666,0910,Zaragoza0910,Almeria0910,SP10910,0.0607843137254902,0.47134935304990755,0.27726432532347506,0.2513863216266174,Zaragoza,Almeria,3,0,1,0,0,0
9,SP1,08/11/09,Valencia,Zaragoza,3,1,0.6666666666666666,0.25,0.15384615384615385,0910,Valencia0910,Zaragoza0910,SP10910,0.07051282051282048,0.6227544910179641,0.23353293413173654,0.14371257485029942,Valencia,Zaragoza,3,0,0,0,1,1
10,SP1,22/11/09,Malaga,Zaragoza,1,1,0.4347826086956522,0.29411764705882354,0.3333333333333333,0910,Malaga0910,Zaragoza0910,SP10910,0.06223358908780896,0.4093097913322633,0.27688603531300165,0.31380417335473515,Malaga,Zaragoza,1,1,0,1,0,0
11,SP1,29/11/09,Zaragoza,Osasuna,0,1,0.5,0.29411764705882354,0.27027027027027023,0910,Zaragoza0910,Osasuna0910,SP10910,0.06438791732909377,0.4697535474234503,0.2763256161314414,0.25392083644510827,Zaragoza,Osasuna,0,3,0,0,0,1
12,SP1,06/12/09,Mallorca,Zaragoza,4,1,0.5405405405405405,0.2857142857142857,0.23809523809523808,0910,Mallorca0910,Zaragoza0910,SP10910,0.0643500643500643,0.5078597339782346,0.26844014510278114,0.22370012091898428,Mallorca,Zaragoza,3,0,0,0,0,0
13,SP1,12/12/09,Zaragoza,Ath Bilbao,1,2,0.45454545454545453,0.30303030303030304,0.30303030303030304,0910,Zaragoza0910,Ath Bilbao0910,SP10910,0.06060606060606055,0.4285714285714286,0.28571428571428575,0.28571428571428575,Zaragoza,Ath Bilbao,0,3,0,0,0,0
14,SP1,19/12/09,Real Madrid,Zaragoza,6,0,0.8333333333333334,0.15384615384615385,0.07692307692307693,0910,Real Madrid0910,Zaragoza0910,SP10910,0.0641025641025641,0.783132530120482,0.14457831325301207,0.07228915662650603,Real Madrid,Zaragoza,3,0,0,0,0,0
15,SP1,03/01/10,Zaragoza,La Coruna,0,0,0.3846153846153846,0.3076923076923077,0.37037037037037035,0910,Zaragoza0910,La Coruna0910,SP10910,0.06267806267806275,0.3619302949061662,0.28954423592493295,0.34852546916890076,Zaragoza,La Coruna,1,1,0,1,0,0
16,SP1,10/01/10,Espanol,Zaragoza,2,1,0.5,0.30303030303030304,0.26666666666666666,0910,Espanol0910,Zaragoza0910,SP10910,0.06969696969696959,0.4674220963172805,0.28328611898017003,0.2492917847025496,Espanol,Zaragoza,3,0,0,0,0,1
17,SP1,17/01/10,Zaragoza,Xerez,0,0,0.5988023952095809,0.2777777777777778,0.19047619047619047,0910,Zaragoza0910,Xerez0910,SP10910,0.06705636346354904,0.5611722264285397,0.26032156059323924,0.17850621297822117,Zaragoza,Xerez,1,1,0,1,0,0
18,SP1,24/01/10,Villarreal,Zaragoza,4,2,0.6944444444444444,0.23809523809523808,0.13333333333333333,0910,Villarreal0910,Zaragoza0910,SP10910,0.06587301587301586,0.6515264333581534,0.22338049143708116,0.12509307520476545,Villarreal,Zaragoza,3,0,0,0,0,1
