Country,Year,Revenue
England,2004,1977
England,2005,1975
England,2006,1995
England,2007,2273
England,2008,2441
England,2009,2326
England,2010,2479
England,2011,2515
England,2012,2900
England,2013,2900
France,2004,655
France,2005,696
France,2006,910
France,2007,972
France,2008,989
France,2009,1048
France,2010,1072
France,2011,1040
France,2012,1100
France,2013,1300
Germany,2004,1058
Germany,2005,1236
Germany,2006,1195
Germany,2007,1379
Germany,2008,1438
Germany,2009,1575
Germany,2010,1664
Germany,2011,1746
Germany,2012,1900
Germany,2013,2000
Italy,2004,1052
Italy,2005,1219
Italy,2006,1277
Italy,2007,1064
Italy,2008,1421
Italy,2009,1494
Italy,2010,1532
Italy,2011,1553
Italy,2012,1600
Italy,2013,1700
Spain,2004,953
Spain,2005,1029
Spain,2006,1158
Spain,2007,1326
Spain,2008,1438
Spain,2009,1501
Spain,2010,1644
Spain,2011,1718
Spain,2012,1800
Spain,2013,1900
