,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,Year,HomeYear,AwayYear,LeagueYear,B365J,B365HNorm,B365DNorm,B365ANorm,Favored,Unfavored,Homepts,Awaypts
10,E0,21/08/10,Arsenal,Blackpool,6,0,0.8547008547008548,0.14285714285714285,0.05263157894736842,1011,Arsenal1011,Blackpool1011,E01011,0.05018957650536593,0.8138538734549016,0.13602986170603354,0.050116264839064985,Chelsea,Sunderland,3,0
30,E0,11/09/10,Arsenal,Bolton,4,1,0.8,0.18181818181818182,0.07692307692307693,1011,Arsenal1011,Bolton1011,E01011,0.058741258741258795,0.7556142668428005,0.17173051519154556,0.0726552179656539,Stoke,Sunderland,3,0
50,E0,25/09/10,Arsenal,West Brom,2,3,0.819672131147541,0.16666666666666666,0.06666666666666667,1011,Arsenal1011,West Brom1011,E01011,0.0530054644808744,0.7784120394395433,0.15827711468604044,0.06331084587441618,Hull,Birmingham,0,3
70,E0,16/10/10,Arsenal,Birmingham,2,1,0.7751937984496123,0.18181818181818182,0.09090909090909091,1011,Arsenal1011,Birmingham1011,E01011,0.04792107117688493,0.7397444519166108,0.17350369872225962,0.08675184936112981,Wolves,Portsmouth,3,0
90,E0,30/10/10,Arsenal,West Ham,1,0,0.8547008547008548,0.14285714285714285,0.058823529411764705,1011,Arsenal1011,West Ham1011,E01011,0.056381526969762286,0.8090834919771553,0.13523252651618167,0.05568398150666304,Tottenham,Stoke,3,0
107,E0,07/11/10,Arsenal,Newcastle,0,1,0.7751937984496123,0.18181818181818182,0.09090909090909091,1011,Arsenal1011,Newcastle1011,E01011,0.04792107117688493,0.7397444519166108,0.17350369872225962,0.08675184936112981,Aston Villa,Bolton,0,3
130,E0,20/11/10,Arsenal,Tottenham,2,3,0.6172839506172839,0.25,0.18181818181818182,1011,Arsenal1011,Tottenham1011,E01011,0.049102132435465684,0.5883926183471516,0.23829901043059643,0.17330837122225196,Blackburn,Stoke,0,3
150,E0,04/12/10,Arsenal,Fulham,2,1,0.7751937984496123,0.19047619047619047,0.08333333333333333,1011,Arsenal1011,Fulham1011,E01011,0.04900332225913617,0.7389812615465822,0.1815782528371602,0.07944048561625759,Man City,Bolton,3,0
179,E0,27/12/10,Arsenal,Chelsea,3,1,0.3802281368821293,0.3125,0.36363636363636365,1011,Arsenal1011,Chelsea1011,E01011,0.056364500518492955,0.3599402826349265,0.2958259197905802,0.3442337975744933,Liverpool,Wolves,3,0
203,E0,05/01/11,Arsenal,Man City,0,0,0.5235602094240838,0.2777777777777778,0.25,1011,Arsenal1011,Man City1011,E01011,0.05133798720186156,0.49799419006778256,0.2642135841748513,0.23779222575736617,Liverpool,Stoke,1,1
