,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,Year,HomeYear,AwayYear,LeagueYear,B365J,B365HNorm,B365DNorm,B365ANorm,Favored,Unfavored,Homepts,Awaypts
12,E1,14/08/10,Barnsley,Crystal Palace,1,0,0.3846153846153846,0.3125,0.36363636363636365,1011,Barnsley1011,Crystal Palace1011,E11011,0.06075174825174834,0.36258755665430564,0.2946023897816234,0.34281005356407085,Birmingham,Portsmouth,3,0
36,E1,28/08/10,Barnsley,Middlesbrough,2,0,0.35714285714285715,0.3076923076923077,0.4,1011,Barnsley1011,Middlesbrough1011,E11011,0.06483516483516505,0.33539731682146534,0.2889576883384932,0.3756449948400412,Blackburn,Wolves,3,0
60,E1,14/09/10,Barnsley,Leeds,5,2,0.3846153846153846,0.3076923076923077,0.37037037037037035,1011,Barnsley1011,Leeds1011,E11011,0.06267806267806275,0.3619302949061662,0.28954423592493295,0.34852546916890076,Everton,Portsmouth,3,0
73,E1,18/09/10,Barnsley,Derby,1,1,0.47619047619047616,0.30303030303030304,0.2857142857142857,1011,Barnsley1011,Derby1011,E11011,0.06493506493506507,0.4471544715447154,0.2845528455284553,0.26829268292682923,Everton,Stoke,1,1
108,E1,02/10/10,Barnsley,Cardiff,1,2,0.36363636363636365,0.30303030303030304,0.4,1011,Barnsley1011,Cardiff1011,E11011,0.06666666666666687,0.34090909090909083,0.28409090909090906,0.37499999999999994,Blackburn,Portsmouth,0,3
120,E1,16/10/10,Barnsley,Nott'm Forest,3,1,0.3802281368821293,0.3076923076923077,0.3802281368821293,1011,Barnsley1011,Nott'm Forest1011,E11011,0.06814858145656633,0.3559693318729463,0.28806133625410735,0.3559693318729463,West Ham,Hull,3,0
156,E1,30/10/10,Barnsley,Hull,1,1,0.4444444444444444,0.30303030303030304,0.3125,1011,Barnsley1011,Hull1011,E11011,0.0599747474747474,0.41929720071471116,0.2858844550327576,0.2948183442525313,Sunderland,Portsmouth,1,1
168,E1,06/11/10,Barnsley,Leicester,0,2,0.3333333333333333,0.3076923076923077,0.42016806722689076,1011,Barnsley1011,Leicester1011,E11011,0.06119370825253179,0.3141116751269035,0.2899492385786802,0.39593908629441626,Aston Villa,Stoke,0,3
204,E1,20/11/10,Barnsley,Portsmouth,1,0,0.4,0.30303030303030304,0.36363636363636365,1011,Barnsley1011,Portsmouth1011,E11011,0.06666666666666687,0.37499999999999994,0.28409090909090906,0.34090909090909083,Tottenham,Hull,3,0
217,E1,27/11/10,Barnsley,Watford,0,0,0.4444444444444444,0.29411764705882354,0.3225806451612903,1011,Barnsley1011,Watford1011,E11011,0.06114273666455827,0.41883568448241604,0.27717067355454006,0.3039936419630439,Blackburn,Wigan,1,1
237,E1,11/12/10,Barnsley,Sheffield United,1,0,0.42016806722689076,0.3076923076923077,0.3333333333333333,1011,Barnsley1011,Sheffield United1011,E11011,0.06119370825253179,0.39593908629441626,0.2899492385786802,0.3141116751269035,Stoke,Blackburn,3,0
254,E1,26/12/10,Barnsley,Burnley,1,2,0.3802281368821293,0.3076923076923077,0.3802281368821293,1011,Barnsley1011,Burnley1011,E11011,0.06814858145656633,0.3559693318729463,0.28806133625410735,0.3559693318729463,Arsenal,Sunderland,0,3
284,E1,03/01/11,Barnsley,Coventry,2,1,0.4347826086956522,0.3125,0.3125,1011,Barnsley1011,Coventry1011,E11011,0.05978260869565233,0.41025641025641024,0.2948717948717948,0.2948717948717948,Chelsea,West Ham,3,0
308,E1,22/01/11,Barnsley,Swansea,1,1,0.26666666666666666,0.30303030303030304,0.5,1011,Barnsley1011,Swansea1011,E11011,0.06969696969696981,0.24929178470254953,0.28328611898017,0.4674220963172804,Man United,Bolton,1,1
326,E1,01/02/11,Barnsley,Preston,2,0,0.5235602094240838,0.29411764705882354,0.25,1011,Barnsley1011,Preston1011,E11011,0.06767785648290725,0.4903728275762602,0.2754741472560756,0.23415302516766426,Fulham,Wigan,3,0
350,E1,12/02/11,Barnsley,Ipswich,1,1,0.4,0.30303030303030304,0.36363636363636365,1011,Barnsley1011,Ipswich1011,E11011,0.06666666666666687,0.37499999999999994,0.28409090909090906,0.34090909090909083,Hull,Sunderland,1,1
389,E1,26/02/11,Barnsley,Norwich,0,2,0.3448275862068966,0.30303030303030304,0.4166666666666667,1011,Barnsley1011,Norwich1011,E11011,0.0645245559038663,0.3239263803680982,0.2846625766871166,0.3914110429447853,Watford,Doncaster,0,3
416,E1,08/03/11,Barnsley,Scunthorpe,2,1,0.5555555555555556,0.2857142857142857,0.2222222222222222,1011,Barnsley1011,Scunthorpe1011,E11011,0.06349206349206349,0.5223880597014926,0.26865671641791045,0.208955223880597,Coventry,Swansea,3,0
442,E1,19/03/11,Barnsley,Reading,0,1,0.3472222222222222,0.30303030303030304,0.4166666666666667,1011,Barnsley1011,Reading1011,E11011,0.06691919191919204,0.32544378698224846,0.2840236686390532,0.3905325443786982,Sheffield United,Derby,0,3
467,E1,09/04/11,Barnsley,Bristol City,4,2,0.42016806722689076,0.3076923076923077,0.3333333333333333,1011,Barnsley1011,Bristol City1011,E11011,0.06119370825253179,0.39593908629441626,0.2899492385786802,0.3141116751269035,Crystal Palace,Derby,3,0
479,E1,12/04/11,Barnsley,QPR,0,1,0.2857142857142857,0.30303030303030304,0.47619047619047616,1011,Barnsley1011,QPR1011,E11011,0.06493506493506507,0.26829268292682923,0.2845528455284553,0.4471544715447154,Leicester,Preston,0,3
516,E1,25/04/11,Barnsley,Doncaster,2,2,0.4347826086956522,0.3076923076923077,0.3225806451612903,1011,Barnsley1011,Doncaster1011,E11011,0.0650555615492503,0.40822528363047,0.28889789303079416,0.3028768233387358,Leicester,Derby,1,1
540,E1,07/05/11,Barnsley,Millwall,1,0,0.3846153846153846,0.3076923076923077,0.37037037037037035,1011,Barnsley1011,Millwall1011,E11011,0.06267806267806275,0.3619302949061662,0.28954423592493295,0.34852546916890076,Newcastle,Doncaster,3,0
9,E1,07/08/10,QPR,Barnsley,4,0,0.5988023952095809,0.2777777777777778,0.19047619047619047,1011,QPR1011,Barnsley1011,E11011,0.06705636346354904,0.5611722264285397,0.26032156059323924,0.17850621297822117,Liverpool,Tottenham,3,0
24,E1,21/08/10,Bristol City,Barnsley,3,3,0.5,0.30303030303030304,0.2631578947368421,1011,Bristol City1011,Barnsley1011,E11011,0.06618819776714502,0.4689603590127151,0.2842183994016455,0.2468212415856395,Tottenham,West Ham,1,1
53,E1,11/09/10,Norwich,Barnsley,2,1,0.5235602094240838,0.29411764705882354,0.25,1011,Norwich1011,Barnsley1011,E11011,0.06767785648290725,0.4903728275762602,0.2754741472560756,0.23415302516766426,Everton,Blackburn,3,0
93,E1,25/09/10,Reading,Barnsley,3,0,0.5780346820809249,0.2777777777777778,0.21052631578947367,1011,Reading1011,Barnsley1011,E11011,0.06633877564817636,0.5420741468672235,0.26049674280008245,0.19742911033269403,Man United,Liverpool,3,0
106,E1,28/09/10,Scunthorpe,Barnsley,0,0,0.4444444444444444,0.29411764705882354,0.3225806451612903,1011,Scunthorpe1011,Barnsley1011,E11011,0.06114273666455827,0.41883568448241604,0.27717067355454006,0.3039936419630439,Aston Villa,West Ham,1,1
133,E1,19/10/10,Burnley,Barnsley,3,0,0.5988023952095809,0.26666666666666666,0.2,1011,Burnley1011,Barnsley1011,E11011,0.06546906187624746,0.562008242787561,0.2502810041213938,0.18771075309104535,Man United,Portsmouth,3,0
146,E1,23/10/10,Coventry,Barnsley,3,0,0.5235602094240838,0.29411764705882354,0.25,1011,Coventry1011,Barnsley1011,E11011,0.06767785648290725,0.4903728275762602,0.2754741472560756,0.23415302516766426,Wolves,Bolton,3,0
187,E1,09/11/10,Preston,Barnsley,1,2,0.5,0.2857142857142857,0.2777777777777778,1011,Preston1011,Barnsley1011,E11011,0.06349206349206349,0.4701492537313433,0.26865671641791045,0.2611940298507463,Chelsea,Fulham,0,3
195,E1,13/11/10,Ipswich,Barnsley,1,3,0.5882352941176471,0.2777777777777778,0.2,1011,Ipswich1011,Barnsley1011,E11011,0.06601307189542482,0.5518087063151441,0.26057633353770693,0.187614960147149,Arsenal,Portsmouth,0,3
269,E1,28/12/10,Swansea,Barnsley,1,0,0.6172839506172839,0.2631578947368421,0.18181818181818182,1011,Swansea1011,Barnsley1011,E11011,0.06226002717230794,0.5811043763554468,0.24773397097258518,0.17116165267196795,Arsenal,Stoke,3,0
280,E1,01/01/11,Nott'm Forest,Barnsley,2,2,0.6172839506172839,0.2777777777777778,0.16666666666666666,1011,Nott'm Forest1011,Barnsley1011,E11011,0.06172839506172845,0.5813953488372092,0.2616279069767442,0.15697674418604649,Burnley,Stoke,1,1
300,E1,15/01/11,Hull,Barnsley,2,0,0.5235602094240838,0.29411764705882354,0.25,1011,Hull1011,Barnsley1011,E11011,0.06767785648290725,0.4903728275762602,0.2754741472560756,0.23415302516766426,Man City,Fulham,3,0
320,E1,25/01/11,Doncaster,Barnsley,0,2,0.5128205128205129,0.29411764705882354,0.2631578947368421,1011,Doncaster1011,Barnsley1011,E11011,0.0700960546161784,0.47922848664688433,0.27485163204747776,0.245919881305638,Man United,Chelsea,0,3
323,E1,28/01/11,Millwall,Barnsley,2,0,0.5780346820809249,0.2777777777777778,0.21052631578947367,1011,Millwall1011,Barnsley1011,E11011,0.06633877564817636,0.5420741468672235,0.26049674280008245,0.19742911033269403,Tottenham,Sunderland,3,0
343,E1,05/02/11,Leicester,Barnsley,4,1,0.6666666666666666,0.23809523809523808,0.15384615384615385,1011,Leicester1011,Barnsley1011,E11011,0.0586080586080584,0.6297577854671281,0.2249134948096886,0.14532871972318342,Chelsea,Tottenham,3,0
373,E1,19/02/11,Portsmouth,Barnsley,1,0,0.5235602094240838,0.29411764705882354,0.25,1011,Portsmouth1011,Barnsley1011,E11011,0.06767785648290725,0.4903728275762602,0.2754741472560756,0.23415302516766426,Tottenham,Burnley,3,0
381,E1,22/02/11,Leeds,Barnsley,3,3,0.6172839506172839,0.26666666666666666,0.18181818181818182,1011,Leeds1011,Barnsley1011,E11011,0.06576879910213251,0.5791912384161751,0.2502106149957877,0.17059814658803707,Cardiff,Scunthorpe,1,1
407,E1,05/03/11,Derby,Barnsley,0,0,0.5,0.29411764705882354,0.26666666666666666,1011,Derby1011,Barnsley1011,E11011,0.0607843137254902,0.47134935304990755,0.27726432532347506,0.2513863216266174,Doncaster,Coventry,1,1
437,E1,13/03/11,Cardiff,Barnsley,2,2,0.6369426751592356,0.26666666666666666,0.16666666666666666,1011,Cardiff1011,Barnsley1011,E11011,0.0702760084925691,0.595120015869867,0.249156913310851,0.15572307081928186,Swansea,Watford,1,1
458,E1,02/04/11,Crystal Palace,Barnsley,2,1,0.47619047619047616,0.30303030303030304,0.2857142857142857,1011,Crystal Palace1011,Barnsley1011,E11011,0.06493506493506507,0.4471544715447154,0.2845528455284553,0.26829268292682923,Middlesbrough,Sheffield Weds,3,0
499,E1,16/04/11,Middlesbrough,Barnsley,1,1,0.5464480874316939,0.2857142857142857,0.23094688221709006,1011,Middlesbrough1011,Barnsley1011,E11011,0.06310925536306966,0.5140093406910212,0.2687534552755911,0.21723720403338773,Barnsley,Ipswich,1,1
515,E1,23/04/11,Watford,Barnsley,1,0,0.5464480874316939,0.26666666666666666,0.25,1011,Watford1011,Barnsley1011,E11011,0.06311475409836054,0.5140066820868672,0.2508352608583912,0.23515805705474174,Ipswich,Swansea,3,0
536,E1,30/04/11,Sheffield United,Barnsley,2,2,0.5,0.29411764705882354,0.2777777777777778,1011,Sheffield United1011,Barnsley1011,E11011,0.0718954248366015,0.46646341463414626,0.274390243902439,0.2591463414634146,Barnsley,Bristol City,1,1
