,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,Year,HomeYear,AwayYear,LeagueYear,B365J,B365HNorm,B365DNorm,B365ANorm,Favored,Unfavored,Homepts,Awaypts
11,E0,21/08/10,Birmingham,Blackburn,2,1,0.45454545454545453,0.3076923076923077,0.29411764705882354,1011,Birmingham1011,Blackburn1011,E01011,0.05635540929658589,0.43029595015576316,0.29127725856697817,0.27842679127725856,Wigan,Wolves,3,0
38,E0,12/09/10,Birmingham,Liverpool,0,0,0.3225806451612903,0.3125,0.4166666666666667,1011,Birmingham1011,Liverpool1011,E01011,0.051747311827957,0.30670926517571884,0.2971246006389776,0.39616613418530355,Arsenal,Man City,1,1
51,E0,25/09/10,Birmingham,Wigan,0,0,0.5464480874316939,0.2857142857142857,0.2222222222222222,1011,Birmingham1011,Wigan1011,E01011,0.05438459536820184,0.5182625863770978,0.27097729516288255,0.21076011846001974,Liverpool,West Ham,1,1
60,E0,02/10/10,Birmingham,Everton,0,2,0.3472222222222222,0.3225806451612903,0.3802281368821293,1011,Birmingham1011,Everton1011,E01011,0.050031004265641776,0.33067806646819764,0.30721059078335783,0.3621113427484446,Everton,Portsmouth,0,3
80,E0,23/10/10,Birmingham,Blackpool,2,0,0.5464480874316939,0.2777777777777778,0.23094688221709006,1011,Birmingham1011,Blackpool1011,E01011,0.05517274742656175,0.517875474669351,0.2632533662902535,0.2188711590403955,Tottenham,Portsmouth,3,0
100,E0,06/11/10,Birmingham,West Ham,2,2,0.5235602094240838,0.29411764705882354,0.23809523809523808,1011,Birmingham1011,West Ham1011,E01011,0.05577309457814539,0.4959022086400889,0.2785803583831088,0.22551743297680232,Liverpool,Fulham,1,1
131,E0,20/11/10,Birmingham,Chelsea,1,0,0.2,0.2777777777777778,0.5780346820809249,1011,Birmingham1011,Chelsea1011,E01011,0.055812459858702645,0.1894275807530872,0.26309386215706554,0.5474785570898474,Fulham,Bolton,3,0
151,E0,04/12/10,Birmingham,Tottenham,1,1,0.2857142857142857,0.29411764705882354,0.47619047619047616,1011,Birmingham1011,Tottenham1011,E01011,0.056022408963585235,0.27055702917771884,0.2785145888594165,0.4509283819628648,Burnley,Fulham,1,1
180,E0,28/12/10,Birmingham,Man United,1,1,0.15384615384615385,0.23094688221709006,0.6666666666666666,1011,Birmingham1011,Man United1011,E01011,0.05145970272991063,0.14631673800405498,0.2196440639783735,0.6340391980175715,Man City,Stoke,1,1
190,E0,01/01/11,Birmingham,Arsenal,0,3,0.18181818181818182,0.2777777777777778,0.5988023952095809,1011,Birmingham1011,Arsenal1011,E01011,0.05839835480554045,0.17178615309883705,0.26245106723433437,0.5657627796668286,Tottenham,West Ham,0,3
