,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,Year,HomeYear,AwayYear,LeagueYear,B365J,B365HNorm,B365DNorm,B365ANorm,Favored,Unfavored,Homepts,Awaypts
1,E0,15/08/09,Blackburn,Man City,0,2,0.2777777777777778,0.3076923076923077,0.47619047619047616,0910,Blackburn0910,Man City0910,E00910,0.061660561660561664,0.26164462334675104,0.2898217366302473,0.4485336400230017,Man City,Blackburn,0,3
26,E0,29/08/09,Blackburn,West Ham,0,0,0.45454545454545453,0.30303030303030304,0.2857142857142857,0910,Blackburn0910,West Ham0910,E00910,0.04329004329004338,0.4356846473029045,0.2904564315352697,0.2738589211618257,Blackburn,West Ham,1,1
36,E0,12/09/09,Blackburn,Wolves,3,1,0.5464480874316939,0.2857142857142857,0.2222222222222222,0910,Blackburn0910,Wolves0910,E00910,0.05438459536820184,0.5182625863770978,0.27097729516288255,0.21076011846001974,Blackburn,Wolves,3,0
57,E0,26/09/09,Blackburn,Aston Villa,2,1,0.3225806451612903,0.3076923076923077,0.42016806722689076,0910,Blackburn0910,Aston Villa0910,E00910,0.050441020080488785,0.30709067810068286,0.2929172621883437,0.39999205971097346,Aston Villa,Blackburn,3,0
83,E0,18/10/09,Blackburn,Burnley,3,2,0.5780346820809249,0.2777777777777778,0.2,0910,Blackburn0910,Burnley0910,E00910,0.055812459858702645,0.5474785570898474,0.26309386215706554,0.1894275807530872,Blackburn,Burnley,3,0
108,E0,07/11/09,Blackburn,Portsmouth,3,1,0.47619047619047616,0.29411764705882354,0.2777777777777778,0910,Blackburn0910,Portsmouth0910,E00910,0.04808590102707733,0.4543429844097996,0.28062360801781744,0.26503340757238314,Blackburn,Portsmouth,3,0
130,E0,28/11/09,Blackburn,Stoke,0,0,0.5235602094240838,0.29411764705882354,0.23809523809523808,0910,Blackburn0910,Stoke0910,E00910,0.05577309457814539,0.4959022086400889,0.2785803583831088,0.22551743297680232,Blackburn,Stoke,1,1
141,E0,05/12/09,Blackburn,Liverpool,0,0,0.19047619047619047,0.2631578947368421,0.5988023952095809,0910,Blackburn0910,Liverpool0910,E00910,0.052436480422613396,0.1809859255351006,0.2500463444892837,0.5689677299756157,Liverpool,Blackburn,1,1
169,E0,19/12/09,Blackburn,Tottenham,0,2,0.30303030303030304,0.29411764705882354,0.45454545454545453,0910,Blackburn0910,Tottenham0910,E00910,0.051693404634581164,0.288135593220339,0.2796610169491525,0.43220338983050843,Tottenham,Blackburn,0,3
186,E0,28/12/09,Blackburn,Sunderland,2,2,0.47619047619047616,0.30303030303030304,0.2777777777777778,0910,Blackburn0910,Sunderland0910,E00910,0.05699855699855716,0.4505119453924914,0.28668941979522183,0.26279863481228666,Blackburn,Sunderland,1,1
207,E0,17/01/10,Blackburn,Fulham,2,0,0.4166666666666667,0.3076923076923077,0.3333333333333333,0910,Blackburn0910,Fulham0910,E00910,0.05769230769230771,0.393939393939394,0.2909090909090909,0.3151515151515151,Blackburn,Fulham,3,0
217,E0,27/01/10,Blackburn,Wigan,2,1,0.5128205128205129,0.29411764705882354,0.25,0910,Blackburn0910,Wigan0910,E00910,0.05693815987933637,0.48519443453442745,0.27827327863003926,0.23653228683553335,Blackburn,Wigan,3,0
248,E0,10/02/10,Blackburn,Hull,1,0,0.5464480874316939,0.2857142857142857,0.2222222222222222,0910,Blackburn0910,Hull0910,E00910,0.05438459536820184,0.5182625863770978,0.27097729516288255,0.21076011846001974,Blackburn,Hull,3,0
260,E0,21/02/10,Blackburn,Bolton,3,0,0.5128205128205129,0.3076923076923077,0.23094688221709006,0910,Blackburn0910,Bolton0910,E00910,0.05145970272991063,0.4877224600135166,0.29263347600810996,0.2196440639783735,Blackburn,Bolton,3,0
299,E0,21/03/10,Blackburn,Chelsea,1,1,0.13333333333333333,0.23094688221709006,0.6944444444444444,0910,Blackburn0910,Chelsea0910,E00910,0.05872465999486787,0.1259376855678224,0.21813686876643598,0.6559254456657416,Chelsea,Blackburn,1,1
304,E0,24/03/10,Blackburn,Birmingham,2,1,0.5,0.3076923076923077,0.25,0910,Blackburn0910,Birmingham0910,E00910,0.05769230769230771,0.4727272727272727,0.2909090909090909,0.23636363636363636,Blackburn,Birmingham,3,0
329,E0,11/04/10,Blackburn,Man United,0,0,0.15384615384615385,0.25,0.6535947712418301,0910,Blackburn0910,Man United0910,E00910,0.05744092508798393,0.1454891239748009,0.23641982645905146,0.6180910495661476,Man United,Blackburn,1,1
338,E0,17/04/10,Blackburn,Everton,2,3,0.35714285714285715,0.3076923076923077,0.3846153846153846,0910,Blackburn0910,Everton0910,E00910,0.0494505494505495,0.3403141361256544,0.2931937172774869,0.3664921465968586,Everton,Blackburn,0,3
366,E0,03/05/10,Blackburn,Arsenal,2,1,0.2857142857142857,0.29411764705882354,0.47619047619047616,0910,Blackburn0910,Arsenal0910,E00910,0.056022408963585235,0.27055702917771884,0.2785145888594165,0.4509283819628648,Arsenal,Blackburn,3,0
20,E0,22/08/09,Sunderland,Blackburn,2,1,0.47619047619047616,0.3076923076923077,0.26666666666666666,0910,Sunderland0910,Blackburn0910,E00910,0.05054945054945059,0.4532775453277545,0.2928870292887029,0.25383542538354253,Sunderland,Blackburn,3,0
53,E0,20/09/09,Everton,Blackburn,3,0,0.5555555555555556,0.30303030303030304,0.2,0910,Everton0910,Blackburn0910,E00910,0.05858585858585852,0.5248091603053435,0.28625954198473286,0.18893129770992367,Everton,Blackburn,3,0
71,E0,04/10/09,Arsenal,Blackburn,6,2,0.8333333333333334,0.15384615384615385,0.06666666666666667,0910,Arsenal0910,Blackburn0910,E00910,0.05384615384615388,0.7907542579075426,0.14598540145985403,0.0632603406326034,Arsenal,Blackburn,3,0
88,E0,24/10/09,Chelsea,Blackburn,5,0,0.8333333333333334,0.15384615384615385,0.06666666666666667,0910,Chelsea0910,Blackburn0910,E00910,0.05384615384615388,0.7907542579075426,0.14598540145985403,0.0632603406326034,Chelsea,Blackburn,3,0
101,E0,31/10/09,Man United,Blackburn,2,0,0.8547008547008548,0.14285714285714285,0.05263157894736842,0910,Man United0910,Blackburn0910,E00910,0.05018957650536593,0.8138538734549016,0.13602986170603354,0.050116264839064985,Man United,Blackburn,3,0
124,E0,22/11/09,Bolton,Blackburn,0,2,0.4444444444444444,0.3125,0.29411764705882354,0910,Bolton0910,Blackburn0910,E00910,0.051062091503268014,0.42285270112708895,0.29731830547998445,0.27982899339292655,Bolton,Blackburn,0,3
127,E0,25/11/09,Fulham,Blackburn,3,0,0.47619047619047616,0.30303030303030304,0.2777777777777778,0910,Fulham0910,Blackburn0910,E00910,0.05699855699855716,0.4505119453924914,0.28668941979522183,0.26279863481228666,Fulham,Blackburn,3,0
153,E0,12/12/09,Hull,Blackburn,0,0,0.35714285714285715,0.3076923076923077,0.3846153846153846,0910,Hull0910,Blackburn0910,E00910,0.0494505494505495,0.3403141361256544,0.2931937172774869,0.3664921465968586,Blackburn,Hull,1,1
159,E0,15/12/09,Birmingham,Blackburn,2,1,0.45454545454545453,0.3076923076923077,0.29411764705882354,0910,Birmingham0910,Blackburn0910,E00910,0.05635540929658589,0.43029595015576316,0.29127725856697817,0.27842679127725856,Birmingham,Blackburn,3,0
183,E0,26/12/09,Wigan,Blackburn,1,1,0.4347826086956522,0.3076923076923077,0.3125,0910,Wigan0910,Blackburn0910,E00910,0.054974916387959816,0.41212601545472566,0.2916584109371904,0.29621557360808404,Wigan,Blackburn,1,1
199,E0,11/01/10,Man City,Blackburn,4,1,0.6944444444444444,0.23094688221709006,0.125,0910,Man City0910,Blackburn0910,E00910,0.05039132666153456,0.661129263749351,0.2198674687757657,0.11900326747488318,Man City,Blackburn,3,0
225,E0,30/01/10,West Ham,Blackburn,0,0,0.47619047619047616,0.30303030303030304,0.2777777777777778,0910,West Ham0910,Blackburn0910,E00910,0.05699855699855716,0.4505119453924914,0.28668941979522183,0.26279863481228666,West Ham,Blackburn,1,1
237,E0,06/02/10,Stoke,Blackburn,3,0,0.4347826086956522,0.3225806451612903,0.29411764705882354,0910,Stoke0910,Blackburn0910,E00910,0.05148090091576618,0.41349548842683403,0.3067869752844252,0.27971753628874063,Stoke,Blackburn,3,0
270,E0,28/02/10,Liverpool,Blackburn,2,1,0.7352941176470588,0.21052631578947367,0.1111111111111111,0910,Liverpool0910,Blackburn0910,E00910,0.05693154454764349,0.6956875508543532,0.19918633034987795,0.10512611879576893,Liverpool,Blackburn,3,0
287,E0,13/03/10,Tottenham,Blackburn,3,1,0.6944444444444444,0.23094688221709006,0.13333333333333333,0910,Tottenham0910,Blackburn0910,E00910,0.05872465999486787,0.6559254456657416,0.21813686876643598,0.1259376855678224,Tottenham,Blackburn,3,0
314,E0,28/03/10,Burnley,Blackburn,0,1,0.4,0.3076923076923077,0.3472222222222222,0910,Burnley0910,Blackburn0910,E00910,0.05491452991452994,0.3791776382418473,0.29167510633988253,0.32914725541827017,Burnley,Blackburn,0,3
321,E0,03/04/10,Portsmouth,Blackburn,0,0,0.30303030303030304,0.30303030303030304,0.4444444444444444,0910,Portsmouth0910,Blackburn0910,E00910,0.05050505050505061,0.28846153846153844,0.28846153846153844,0.423076923076923,Blackburn,Portsmouth,1,1
353,E0,24/04/10,Wolves,Blackburn,1,1,0.45454545454545453,0.3076923076923077,0.29411764705882354,0910,Wolves0910,Blackburn0910,E00910,0.05635540929658589,0.43029595015576316,0.29127725856697817,0.27842679127725856,Wolves,Blackburn,1,1
371,E0,09/05/10,Aston Villa,Blackburn,0,1,0.6369426751592356,0.25,0.16666666666666666,0910,Aston Villa0910,Blackburn0910,E00910,0.05360934182590227,0.6045340050377834,0.23727959697732998,0.15818639798488665,Aston Villa,Blackburn,0,3
