,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,Year,HomeYear,AwayYear,LeagueYear,B365J,B365HNorm,B365DNorm,B365ANorm,Favored,Unfavored,Homepts,Awaypts
13,E1,15/08/09,Blackpool,Cardiff,1,1,0.35714285714285715,0.3076923076923077,0.4,0910,Blackpool0910,Cardiff0910,E10910,0.06483516483516505,0.33539731682146534,0.2889576883384932,0.3756449948400412,Man United,Burnley,1,1
25,E1,18/08/09,Blackpool,Derby,0,0,0.4,0.3076923076923077,0.35714285714285715,0910,Blackpool0910,Derby0910,E10910,0.06483516483516483,0.3756449948400413,0.28895768833849333,0.33539731682146545,Liverpool,Aston Villa,1,1
49,E1,29/08/09,Blackpool,Coventry,3,0,0.4166666666666667,0.3125,0.3333333333333333,0910,Blackpool0910,Coventry0910,E10910,0.0625,0.39215686274509803,0.29411764705882354,0.3137254901960784,Sunderland,Burnley,3,0
81,E1,16/09/09,Blackpool,Newcastle,2,1,0.2857142857142857,0.30303030303030304,0.47619047619047616,0910,Blackpool0910,Newcastle0910,E10910,0.06493506493506507,0.26829268292682923,0.2845528455284553,0.4471544715447154,Stoke,West Ham,3,0
95,E1,26/09/09,Blackpool,Peterboro,2,0,0.5,0.29411764705882354,0.26666666666666666,0910,Blackpool0910,Peterboro0910,E10910,0.0607843137254902,0.47134935304990755,0.27726432532347506,0.2513863216266174,Arsenal,West Ham,3,0
131,E1,17/10/09,Blackpool,Plymouth,2,0,0.5555555555555556,0.2857142857142857,0.2222222222222222,0910,Blackpool0910,Plymouth0910,E10910,0.06349206349206349,0.5223880597014926,0.26865671641791045,0.208955223880597,Fulham,Bolton,3,0
143,E1,20/10/09,Blackpool,Sheffield United,3,0,0.4,0.3076923076923077,0.35714285714285715,0910,Blackpool0910,Sheffield United0910,E10910,0.06483516483516483,0.3756449948400413,0.28895768833849333,0.33539731682146545,Portsmouth,Burnley,3,0
181,E1,07/11/09,Blackpool,Scunthorpe,4,1,0.5780346820809249,0.2857142857142857,0.2,0910,Blackpool0910,Scunthorpe0910,E10910,0.06374896779521055,0.5433938829374321,0.2685918335662164,0.18801428349635152,Sunderland,Everton,3,0
214,E1,30/11/09,Blackpool,Preston,1,1,0.47619047619047616,0.30303030303030304,0.2857142857142857,0910,Blackpool0910,Preston0910,E10910,0.06493506493506507,0.4471544715447154,0.2845528455284553,0.26829268292682923,Tottenham,Fulham,1,1
215,E1,05/12/09,Blackpool,Barnsley,1,2,0.5235602094240838,0.29411764705882354,0.25,0910,Blackpool0910,Barnsley0910,E10910,0.06767785648290725,0.4903728275762602,0.2754741472560756,0.23415302516766426,Liverpool,Wolves,0,3
287,E1,16/01/10,Blackpool,QPR,2,2,0.45454545454545453,0.3076923076923077,0.30303030303030304,0910,Blackpool0910,QPR0910,E10910,0.06526806526806528,0.42669584245076586,0.2888402625820569,0.2844638949671772,Tottenham,Blackburn,1,1
298,E1,19/01/10,Blackpool,Sheffield Weds,1,2,0.5235602094240838,0.29411764705882354,0.25,0910,Blackpool0910,Sheffield Weds0910,E10910,0.06767785648290725,0.4903728275762602,0.2754741472560756,0.23415302516766426,Wigan,Burnley,0,3
299,E1,23/01/10,Blackpool,Watford,3,2,0.5235602094240838,0.29411764705882354,0.25,0910,Blackpool0910,Watford0910,E10910,0.06767785648290725,0.4903728275762602,0.2754741472560756,0.23415302516766426,Chelsea,Blackburn,3,0
326,E1,03/02/10,Blackpool,West Brom,2,3,0.3333333333333333,0.29411764705882354,0.4347826086956522,0910,Blackpool0910,West Brom0910,E10910,0.06223358908780918,0.3138041733547351,0.2768860353130016,0.40930979133226325,Fulham,Wigan,0,3
329,E1,06/02/10,Blackpool,Leicester,1,2,0.4444444444444444,0.30303030303030304,0.3333333333333333,0910,Blackpool0910,Leicester0910,E10910,0.08080808080808066,0.4112149532710281,0.28037383177570097,0.30841121495327106,Man United,Blackburn,0,3
359,E1,16/02/10,Blackpool,Middlesbrough,2,0,0.4166666666666667,0.30303030303030304,0.3448275862068966,0910,Blackpool0910,Middlesbrough0910,E10910,0.0645245559038663,0.3914110429447853,0.2846625766871166,0.3239263803680982,Man City,Aston Villa,3,0
370,E1,20/02/10,Blackpool,Reading,2,0,0.45454545454545453,0.30303030303030304,0.30303030303030304,0910,Blackpool0910,Reading0910,E10910,0.06060606060606055,0.4285714285714286,0.28571428571428575,0.28571428571428575,Arsenal,Fulham,3,0
395,E1,06/03/10,Blackpool,Ipswich,1,0,0.4444444444444444,0.3076923076923077,0.3125,0910,Blackpool0910,Ipswich0910,E10910,0.06463675213675213,0.41746111389864526,0.28901154039136984,0.29352734570998495,Doncaster,Preston,3,0
438,E1,20/03/10,Blackpool,Crystal Palace,2,2,0.5235602094240838,0.29411764705882354,0.25,0910,Blackpool0910,Crystal Palace0910,E10910,0.06767785648290725,0.4903728275762602,0.2754741472560756,0.23415302516766426,Newcastle,Leicester,1,1
450,E1,23/03/10,Blackpool,Swansea,5,1,0.4166666666666667,0.30303030303030304,0.3472222222222222,0910,Blackpool0910,Swansea0910,E10910,0.06691919191919204,0.3905325443786982,0.2840236686390532,0.32544378698224846,West Brom,Plymouth,3,0
490,E1,05/04/10,Blackpool,Doncaster,2,0,0.5235602094240838,0.29411764705882354,0.25,0910,Blackpool0910,Doncaster0910,E10910,0.06767785648290725,0.4903728275762602,0.2754741472560756,0.23415302516766426,Crystal Palace,Sheffield Weds,3,0
514,E1,17/04/10,Blackpool,Nott'm Forest,3,1,0.47619047619047616,0.3076923076923077,0.2777777777777778,0910,Blackpool0910,Nott'm Forest0910,E10910,0.061660561660561664,0.4485336400230017,0.2898217366302473,0.26164462334675104,Doncaster,Barnsley,3,0
540,E1,02/05/10,Blackpool,Bristol City,1,1,0.6944444444444444,0.23094688221709006,0.14285714285714285,0910,Blackpool0910,Bristol City0910,E10910,0.06824846951867736,0.6500776404176282,0.2161921021250311,0.13373025745734066,Newcastle,Doncaster,1,1
6,E1,08/08/09,QPR,Blackpool,1,1,0.5780346820809249,0.2857142857142857,0.2,0910,QPR0910,Blackpool0910,E10910,0.06374896779521055,0.5433938829374321,0.2685918335662164,0.18801428349635152,Stoke,Burnley,1,1
45,E1,22/08/09,Watford,Blackpool,2,2,0.47619047619047616,0.3076923076923077,0.2777777777777778,0910,Watford0910,Blackpool0910,E10910,0.061660561660561664,0.4485336400230017,0.2898217366302473,0.26164462334675104,Fulham,Everton,1,1
63,E1,12/09/09,Leicester,Blackpool,2,1,0.5464480874316939,0.29411764705882354,0.2222222222222222,0910,Leicester0910,Blackpool0910,E10910,0.06278795671273985,0.5141647343482205,0.27674160701683637,0.209093658634943,Chelsea,Wigan,3,0
