,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,Year,HomeYear,AwayYear,LeagueYear,B365J,B365HNorm,B365DNorm,B365ANorm,Favored,Unfavored,Homepts,Awaypts
2,E0,14/08/10,Bolton,Fulham,0,0,0.45454545454545453,0.30303030303030304,0.29411764705882354,1011,Bolton1011,Fulham1011,E01011,0.051693404634581164,0.43220338983050843,0.288135593220339,0.2796610169491525,Bolton,Sunderland,1,1
27,E0,29/08/10,Bolton,Birmingham,2,2,0.47619047619047616,0.30303030303030304,0.2777777777777778,1011,Bolton1011,Birmingham1011,E01011,0.05699855699855716,0.4505119453924914,0.28668941979522183,0.26279863481228666,Liverpool,Bolton,1,1
57,E0,26/09/10,Bolton,Man United,2,2,0.13333333333333333,0.25,0.6666666666666666,1011,Bolton1011,Man United1011,E01011,0.04999999999999982,0.126984126984127,0.23809523809523814,0.634920634920635,Aston Villa,Blackburn,1,1
72,E0,16/10/10,Bolton,Stoke,2,1,0.45454545454545453,0.3125,0.2857142857142857,1011,Bolton1011,Stoke1011,E01011,0.05275974025974017,0.4317656129529684,0.2968388589051658,0.27139552814186585,Chelsea,Liverpool,3,0
97,E0,31/10/10,Bolton,Liverpool,0,1,0.29411764705882354,0.3076923076923077,0.45454545454545453,1011,Bolton1011,Liverpool1011,E01011,0.05635540929658589,0.27842679127725856,0.29127725856697817,0.43029595015576316,Chelsea,Bolton,0,3
103,E0,06/11/10,Bolton,Tottenham,4,2,0.3333333333333333,0.30303030303030304,0.4166666666666667,1011,Bolton1011,Tottenham1011,E01011,0.05303030303030298,0.31654676258992803,0.2877697841726619,0.3956834532374101,Stoke,Wolves,3,0
133,E0,20/11/10,Bolton,Newcastle,5,1,0.47619047619047616,0.30303030303030304,0.2777777777777778,1011,Bolton1011,Newcastle1011,E01011,0.05699855699855716,0.4505119453924914,0.28668941979522183,0.26279863481228666,Man United,Portsmouth,3,0
141,E0,27/11/10,Bolton,Blackpool,2,2,0.6369426751592356,0.23809523809523808,0.18181818181818182,1011,Bolton1011,Blackpool1011,E01011,0.056856095072655544,0.6026768243366641,0.22528633671632445,0.1720368389470114,Liverpool,Blackburn,1,1
165,E0,12/12/10,Bolton,Blackburn,2,1,0.5,0.30303030303030304,0.25,1011,Bolton1011,Blackburn1011,E01011,0.05303030303030298,0.47482014388489213,0.2877697841726619,0.23741007194244607,Liverpool,Wigan,3,0
174,E0,26/12/10,Bolton,West Brom,2,0,0.47619047619047616,0.3076923076923077,0.26666666666666666,1011,Bolton1011,West Brom1011,E01011,0.05054945054945059,0.4532775453277545,0.2928870292887029,0.25383542538354253,Chelsea,West Ham,3,0
206,E0,05/01/11,Bolton,Wigan,1,1,0.5780346820809249,0.2777777777777778,0.2,1011,Bolton1011,Wigan1011,E01011,0.055812459858702645,0.5474785570898474,0.26309386215706554,0.1894275807530872,Aston Villa,West Ham,1,1
230,E0,24/01/11,Bolton,Chelsea,0,4,0.16666666666666666,0.26666666666666666,0.6172839506172839,1011,Bolton1011,Chelsea1011,E01011,0.05061728395061715,0.15863689776733256,0.2538190364277321,0.5875440658049355,Chelsea,Hull,0,3
241,E0,02/02/11,Bolton,Wolves,1,0,0.5464480874316939,0.2857142857142857,0.2222222222222222,1011,Bolton1011,Wolves1011,E01011,0.05438459536820184,0.5182625863770978,0.27097729516288255,0.21076011846001974,Chelsea,Arsenal,3,0
