,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,Year,HomeYear,AwayYear,LeagueYear,B365J,B365HNorm,B365DNorm,B365ANorm,Favored,Unfavored,Homepts,Awaypts
13,E2,14/08/10,Bournemouth,Peterboro,5,1,0.3125,0.3076923076923077,0.4444444444444444,1011,Bournemouth1011,Peterboro1011,E21011,0.06463675213675213,0.29352734570998495,0.28901154039136984,0.41746111389864526,Man United,Burnley,3,0
35,E2,28/08/10,Bournemouth,Notts County,3,3,0.4444444444444444,0.3076923076923077,0.3125,1011,Bournemouth1011,Notts County1011,E21011,0.06463675213675213,0.41746111389864526,0.28901154039136984,0.29352734570998495,Man City,Portsmouth,1,1
57,E2,11/09/10,Bournemouth,Dag and Red,3,0,0.5555555555555556,0.2857142857142857,0.2222222222222222,1011,Bournemouth1011,Dag and Red1011,E21011,0.06349206349206349,0.5223880597014926,0.26865671641791045,0.208955223880597,Aston Villa,Blackburn,3,0
85,E2,25/09/10,Bournemouth,Carlisle,2,0,0.4444444444444444,0.29411764705882354,0.3225806451612903,1011,Bournemouth1011,Carlisle1011,E21011,0.06114273666455827,0.41883568448241604,0.27717067355454006,0.3039936419630439,Fulham,Hull,3,0
96,E2,28/09/10,Bournemouth,Exeter,3,0,0.5235602094240838,0.29411764705882354,0.25,1011,Bournemouth1011,Exeter1011,E21011,0.06767785648290725,0.4903728275762602,0.2754741472560756,0.23415302516766426,Arsenal,Tottenham,3,0
132,E2,16/10/10,Bournemouth,Milton Keynes Dons,3,2,0.45454545454545453,0.30303030303030304,0.3076923076923077,1011,Bournemouth1011,Milton Keynes Dons1011,E21011,0.06526806526806528,0.42669584245076586,0.2844638949671772,0.2888402625820569,Man City,Hull,3,0
156,E2,30/10/10,Bournemouth,Colchester,1,2,0.47619047619047616,0.3076923076923077,0.2777777777777778,1011,Bournemouth1011,Colchester1011,E21011,0.061660561660561664,0.4485336400230017,0.2898217366302473,0.26164462334675104,Sunderland,Portsmouth,0,3
178,E2,13/11/10,Bournemouth,Walsall,3,0,0.6172839506172839,0.26666666666666666,0.18181818181818182,1011,Bournemouth1011,Walsall1011,E21011,0.06576879910213251,0.5791912384161751,0.2502106149957877,0.17059814658803707,Tottenham,Fulham,3,0
202,E2,23/11/10,Bournemouth,Yeovil,2,0,0.5780346820809249,0.2777777777777778,0.21052631578947367,1011,Bournemouth1011,Yeovil1011,E21011,0.06633877564817636,0.5420741468672235,0.26049674280008245,0.19742911033269403,Man United,Burnley,3,0
217,E2,11/12/10,Bournemouth,Hartlepool,0,1,0.5555555555555556,0.2857142857142857,0.2222222222222222,1011,Bournemouth1011,Hartlepool1011,E21011,0.06349206349206349,0.5223880597014926,0.26865671641791045,0.208955223880597,Blackburn,Wigan,0,3
245,E2,03/01/11,Bournemouth,Brentford,3,1,0.47619047619047616,0.29411764705882354,0.29411764705882354,1011,Bournemouth1011,Brentford1011,E21011,0.06442577030812324,0.4473684210526316,0.27631578947368424,0.27631578947368424,Wigan,Stoke,3,0
257,E2,08/01/11,Bournemouth,Plymouth,3,0,0.5464480874316939,0.2857142857142857,0.23094688221709006,1011,Bournemouth1011,Plymouth1011,E21011,0.06310925536306966,0.5140093406910212,0.2687534552755911,0.21723720403338773,West Ham,Hull,3,0
282,E2,22/01/11,Bournemouth,Brighton,1,0,0.4,0.29411764705882354,0.37037037037037035,1011,Bournemouth1011,Brighton1011,E21011,0.06448801742919397,0.375767498976668,0.2762996316004912,0.34793286942284074,Bolton,Wigan,3,0
306,E2,01/02/11,Bournemouth,Swindon,3,2,0.5555555555555556,0.2857142857142857,0.2222222222222222,1011,Bournemouth1011,Swindon1011,E21011,0.06349206349206349,0.5223880597014926,0.26865671641791045,0.208955223880597,Chelsea,Portsmouth,3,0
318,E2,05/02/11,Bournemouth,Leyton Orient,1,1,0.5464480874316939,0.2857142857142857,0.23094688221709006,1011,Bournemouth1011,Leyton Orient1011,E21011,0.06310925536306966,0.5140093406910212,0.2687534552755911,0.21723720403338773,Aston Villa,Bolton,1,1
350,E2,19/02/11,Bournemouth,Huddersfield,1,1,0.4347826086956522,0.29411764705882354,0.3333333333333333,1011,Bournemouth1011,Huddersfield1011,E21011,0.06223358908780896,0.4093097913322633,0.27688603531300165,0.31380417335473515,Hull,Sunderland,1,1
357,E2,22/02/11,Bournemouth,Sheffield Weds,0,0,0.5555555555555556,0.2857142857142857,0.2222222222222222,1011,Bournemouth1011,Sheffield Weds1011,E21011,0.06349206349206349,0.5223880597014926,0.26865671641791045,0.208955223880597,Everton,Fulham,1,1
384,E2,05/03/11,Bournemouth,Oldham,3,0,0.5464480874316939,0.2857142857142857,0.23094688221709006,1011,Bournemouth1011,Oldham1011,E21011,0.06310925536306966,0.5140093406910212,0.2687534552755911,0.21723720403338773,Leicester,Swansea,3,0
408,E2,12/03/11,Bournemouth,Southampton,1,3,0.3472222222222222,0.29411764705882354,0.42016806722689076,1011,Bournemouth1011,Southampton1011,E21011,0.06150793650793651,0.32710280373831774,0.27707531610775155,0.3958218801539307,Ipswich,Crystal Palace,0,3
445,E2,26/03/11,Bournemouth,Charlton,2,2,0.5464480874316939,0.2857142857142857,0.23094688221709006,1011,Bournemouth1011,Charlton1011,E21011,0.06310925536306966,0.5140093406910212,0.2687534552755911,0.21723720403338773,Preston,Swansea,1,1
473,E2,09/04/11,Bournemouth,Tranmere,1,2,0.5988023952095809,0.2777777777777778,0.19047619047619047,1011,Bournemouth1011,Tranmere1011,E21011,0.06705636346354904,0.5611722264285397,0.26032156059323924,0.17850621297822117,Preston,Coventry,0,3
515,E2,25/04/11,Bournemouth,Bristol Rvs,2,1,0.625,0.2631578947368421,0.18181818181818182,1011,Bournemouth1011,Bristol Rvs1011,E21011,0.06997607655502391,0.5841252096143097,0.24594745667970933,0.169927333705981,Ipswich,Swansea,3,0
540,E2,07/05/11,Bournemouth,Rochdale,1,2,0.5235602094240838,0.2857142857142857,0.25,1011,Bournemouth1011,Rochdale1011,E21011,0.059274495138369465,0.4942630185348632,0.26972639011473964,0.23601059135039718,Newcastle,Doncaster,0,3
1,E2,07/08/10,Charlton,Bournemouth,1,0,0.6172839506172839,0.26666666666666666,0.18181818181818182,1011,Charlton1011,Bournemouth1011,E21011,0.06576879910213251,0.5791912384161751,0.2502106149957877,0.17059814658803707,Man City,Blackburn,3,0
31,E2,21/08/10,Tranmere,Bournemouth,0,3,0.42016806722689076,0.3076923076923077,0.3333333333333333,1011,Tranmere1011,Bournemouth1011,E21011,0.06119370825253179,0.39593908629441626,0.2899492385786802,0.3141116751269035,Tottenham,Birmingham,0,3
49,E2,04/09/10,Huddersfield,Bournemouth,2,2,0.5988023952095809,0.26666666666666666,0.2,1011,Huddersfield1011,Bournemouth1011,E21011,0.06546906187624746,0.562008242787561,0.2502810041213938,0.18771075309104535,Sunderland,Burnley,1,1
77,E2,18/09/10,Oldham,Bournemouth,2,1,0.4347826086956522,0.29411764705882354,0.3333333333333333,1011,Oldham1011,Bournemouth1011,E21011,0.06223358908780896,0.4093097913322633,0.27688603531300165,0.31380417335473515,Chelsea,Aston Villa,3,0
117,E2,02/10/10,Southampton,Bournemouth,2,0,0.5988023952095809,0.26666666666666666,0.2,1011,Southampton1011,Bournemouth1011,E21011,0.06546906187624746,0.562008242787561,0.2502810041213938,0.18771075309104535,Birmingham,Fulham,3,0
121,E2,09/10/10,Brighton,Bournemouth,1,1,0.5555555555555556,0.2857142857142857,0.2222222222222222,1011,Brighton1011,Bournemouth1011,E21011,0.06349206349206349,0.5223880597014926,0.26865671641791045,0.208955223880597,Liverpool,Man City,1,1
