,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,Year,HomeYear,AwayYear,LeagueYear,B365J,B365HNorm,B365DNorm,B365ANorm,Favored,Unfavored,Homepts,Awaypts
14,E2,14/08/10,Brentford,Walsall,1,2,0.5235602094240838,0.29411764705882354,0.25,1011,Brentford1011,Walsall1011,E21011,0.06767785648290725,0.4903728275762602,0.2754741472560756,0.23415302516766426,Tottenham,Hull,0,3
36,E2,28/08/10,Brentford,Rochdale,1,3,0.5714285714285714,0.2857142857142857,0.21052631578947367,1011,Brentford1011,Rochdale1011,E21011,0.06766917293233066,0.5352112676056339,0.26760563380281693,0.1971830985915493,Blackburn,Wolves,0,3
56,E2,05/09/10,Brentford,Sheffield Weds,1,0,0.3125,0.3076923076923077,0.4444444444444444,1011,Brentford1011,Sheffield Weds1011,E21011,0.06463675213675213,0.29352734570998495,0.28901154039136984,0.41746111389864526,Birmingham,Bolton,3,0
70,E2,18/09/10,Brentford,Hartlepool,0,0,0.5464480874316939,0.2857142857142857,0.23094688221709006,1011,Brentford1011,Hartlepool1011,E21011,0.06310925536306966,0.5140093406910212,0.2687534552755911,0.21723720403338773,Wolves,Portsmouth,1,1
108,E2,02/10/10,Brentford,Charlton,2,1,0.4,0.30303030303030304,0.36363636363636365,1011,Brentford1011,Charlton1011,E21011,0.06666666666666687,0.37499999999999994,0.28409090909090906,0.34090909090909083,Blackburn,Portsmouth,3,0
120,E2,09/10/10,Brentford,Oldham,1,3,0.45454545454545453,0.30303030303030304,0.3076923076923077,1011,Brentford1011,Oldham1011,E21011,0.06526806526806528,0.42669584245076586,0.2844638949671772,0.2888402625820569,West Ham,Hull,0,3
144,E2,23/10/10,Brentford,Peterboro,2,1,0.36363636363636365,0.30303030303030304,0.4,1011,Brentford1011,Peterboro1011,E21011,0.06666666666666687,0.34090909090909083,0.28409090909090906,0.37499999999999994,Man United,West Ham,3,0
168,E2,02/11/10,Brentford,Bournemouth,1,1,0.45454545454545453,0.30303030303030304,0.3076923076923077,1011,Brentford1011,Bournemouth1011,E21011,0.06526806526806528,0.42669584245076586,0.2844638949671772,0.2888402625820569,Aston Villa,Stoke,1,1
179,E2,13/11/10,Brentford,Milton Keynes Dons,0,2,0.4444444444444444,0.3076923076923077,0.3125,1011,Brentford1011,Milton Keynes Dons1011,E21011,0.06463675213675213,0.41746111389864526,0.28901154039136984,0.29352734570998495,Liverpool,Wolves,0,3
234,E2,01/01/11,Brentford,Dag and Red,2,1,0.5780346820809249,0.2777777777777778,0.21052631578947367,1011,Brentford1011,Dag and Red1011,E21011,0.06633877564817636,0.5420741468672235,0.26049674280008245,0.19742911033269403,Man City,Hull,3,0
