,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,Year,HomeYear,AwayYear,LeagueYear,B365J,B365HNorm,B365DNorm,B365ANorm,Favored,Unfavored,Homepts,Awaypts
1,E1,07/08/10,Bristol City,Millwall,0,3,0.5235602094240838,0.29411764705882354,0.25,1011,Bristol City1011,Millwall1011,E11011,0.06767785648290725,0.4903728275762602,0.2754741472560756,0.23415302516766426,Man City,Blackburn,0,3
24,E1,21/08/10,Bristol City,Barnsley,3,3,0.5,0.30303030303030304,0.2631578947368421,1011,Bristol City1011,Barnsley1011,E11011,0.06618819776714502,0.4689603590127151,0.2842183994016455,0.2468212415856395,Tottenham,West Ham,1,1
61,E1,14/09/10,Bristol City,Watford,0,2,0.47619047619047616,0.30303030303030304,0.2857142857142857,1011,Bristol City1011,Watford1011,E11011,0.06493506493506507,0.4471544715447154,0.2845528455284553,0.26829268292682923,Man United,Stoke,0,3
74,E1,18/09/10,Bristol City,Coventry,1,2,0.47619047619047616,0.30303030303030304,0.2857142857142857,1011,Bristol City1011,Coventry1011,E11011,0.06493506493506507,0.4471544715447154,0.2845528455284553,0.26829268292682923,West Ham,Fulham,0,3
109,E1,02/10/10,Bristol City,Norwich,0,3,0.4,0.30303030303030304,0.36363636363636365,1011,Bristol City1011,Norwich1011,E11011,0.06666666666666687,0.37499999999999994,0.28409090909090906,0.34090909090909083,Man City,Burnley,0,3
132,E1,19/10/10,Bristol City,Reading,1,0,0.36363636363636365,0.30303030303030304,0.4,1011,Bristol City1011,Reading1011,E11011,0.06666666666666687,0.34090909090909083,0.28409090909090906,0.37499999999999994,Man City,Hull,3,0
144,E1,22/10/10,Bristol City,QPR,1,1,0.2631578947368421,0.2777777777777778,0.5235602094240838,1011,Bristol City1011,QPR1011,E11011,0.06449588193870381,0.24721363342201763,0.2609477241676853,0.4918386424102969,Man United,West Ham,1,1
169,E1,06/11/10,Bristol City,Preston,1,1,0.47619047619047616,0.29411764705882354,0.29411764705882354,1011,Bristol City1011,Preston1011,E11011,0.06442577030812324,0.4473684210526316,0.27631578947368424,0.27631578947368424,Tottenham,Blackburn,1,1
205,E1,20/11/10,Bristol City,Leicester,2,0,0.3225806451612903,0.29411764705882354,0.4444444444444444,1011,Bristol City1011,Leicester1011,E11011,0.06114273666455827,0.3039936419630439,0.27717067355454006,0.41883568448241604,Wolves,Wigan,3,0
218,E1,27/11/10,Bristol City,Sheffield United,3,0,0.4,0.30303030303030304,0.36363636363636365,1011,Bristol City1011,Sheffield United1011,E11011,0.06666666666666687,0.37499999999999994,0.28409090909090906,0.34090909090909083,Chelsea,Birmingham,3,0
238,E1,11/12/10,Bristol City,Derby,2,0,0.4,0.3076923076923077,0.35714285714285715,1011,Bristol City1011,Derby1011,E11011,0.06483516483516483,0.3756449948400413,0.28895768833849333,0.33539731682146545,Sunderland,Wigan,3,0
261,E1,28/12/10,Bristol City,Crystal Palace,1,1,0.5235602094240838,0.29411764705882354,0.25,1011,Bristol City1011,Crystal Palace1011,E11011,0.06767785648290725,0.4903728275762602,0.2754741472560756,0.23415302516766426,Fulham,Birmingham,1,1
272,E1,01/01/11,Bristol City,Cardiff,3,0,0.3448275862068966,0.30303030303030304,0.4166666666666667,1011,Bristol City1011,Cardiff1011,E11011,0.0645245559038663,0.3239263803680982,0.2846625766871166,0.3914110429447853,Tottenham,Everton,3,0
296,E1,15/01/11,Bristol City,Middlesbrough,0,4,0.3802281368821293,0.30303030303030304,0.3802281368821293,1011,Bristol City1011,Middlesbrough1011,E11011,0.0634865767945616,0.35752979414951247,0.28494041170097506,0.35752979414951247,Tottenham,Stoke,0,3
327,E1,01/02/11,Bristol City,Swansea,0,2,0.29411764705882354,0.29411764705882354,0.47619047619047616,1011,Bristol City1011,Swansea1011,E11011,0.06442577030812324,0.27631578947368424,0.27631578947368424,0.4473684210526316,Hull,Burnley,0,3
351,E1,12/02/11,Bristol City,Leeds,0,2,0.3333333333333333,0.29411764705882354,0.4347826086956522,1011,Bristol City1011,Leeds1011,E11011,0.06223358908780918,0.3138041733547351,0.2768860353130016,0.40930979133226325,Man United,Tottenham,0,3
390,E1,26/02/11,Bristol City,Scunthorpe,2,0,0.5464480874316939,0.2857142857142857,0.23094688221709006,1011,Bristol City1011,Scunthorpe1011,E11011,0.06310925536306966,0.5140093406910212,0.2687534552755911,0.21723720403338773,West Brom,Newcastle,3,0
417,E1,08/03/11,Bristol City,Portsmouth,2,1,0.4,0.3076923076923077,0.35714285714285715,1011,Bristol City1011,Portsmouth1011,E11011,0.06483516483516483,0.3756449948400413,0.28895768833849333,0.33539731682146545,Newcastle,Crystal Palace,3,0
443,E1,19/03/11,Bristol City,Burnley,2,0,0.35714285714285715,0.3076923076923077,0.4,1011,Bristol City1011,Burnley1011,E11011,0.06483516483516505,0.33539731682146534,0.2889576883384932,0.3756449948400412,Leicester,Blackpool,3,0
454,E1,02/04/11,Bristol City,Doncaster,1,0,0.5235602094240838,0.29411764705882354,0.25,1011,Bristol City1011,Doncaster1011,E11011,0.06767785648290725,0.4903728275762602,0.2754741472560756,0.23415302516766426,Ipswich,Nott'm Forest,3,0
492,E1,16/04/11,Bristol City,Ipswich,0,1,0.4166666666666667,0.30303030303030304,0.3472222222222222,1011,Bristol City1011,Ipswich1011,E11011,0.06691919191919204,0.3905325443786982,0.2840236686390532,0.32544378698224846,Middlesbrough,Leicester,0,3
517,E1,25/04/11,Bristol City,Nott'm Forest,2,3,0.30303030303030304,0.3076923076923077,0.45454545454545453,1011,Bristol City1011,Nott'm Forest1011,E11011,0.06526806526806528,0.2844638949671772,0.2888402625820569,0.42669584245076586,Middlesbrough,Watford,0,3
541,E1,07/05/11,Bristol City,Hull,3,0,0.42016806722689076,0.29411764705882354,0.3472222222222222,1011,Bristol City1011,Hull1011,E11011,0.06150793650793651,0.3958218801539307,0.27707531610775155,0.32710280373831774,Peterboro,Scunthorpe,3,0
14,E1,14/08/10,Doncaster,Bristol City,1,1,0.5235602094240838,0.29411764705882354,0.25,1011,Doncaster1011,Bristol City1011,E11011,0.06767785648290725,0.4903728275762602,0.2754741472560756,0.23415302516766426,Tottenham,Hull,1,1
39,E1,28/08/10,Ipswich,Bristol City,2,0,0.5555555555555556,0.2857142857142857,0.2222222222222222,1011,Ipswich1011,Bristol City1011,E11011,0.06349206349206349,0.5223880597014926,0.26865671641791045,0.208955223880597,Portsmouth,Bolton,3,0
58,E1,11/09/10,Scunthorpe,Bristol City,0,2,0.4,0.3076923076923077,0.35714285714285715,1011,Scunthorpe1011,Bristol City1011,E11011,0.06483516483516483,0.3756449948400413,0.28895768833849333,0.33539731682146545,Arsenal,Fulham,0,3
85,E1,25/09/10,Burnley,Bristol City,0,0,0.5988023952095809,0.26666666666666666,0.2,1011,Burnley1011,Bristol City1011,E11011,0.06546906187624746,0.562008242787561,0.2502810041213938,0.18771075309104535,Fulham,Hull,1,1
103,E1,28/09/10,Portsmouth,Bristol City,3,1,0.5128205128205129,0.29411764705882354,0.2631578947368421,1011,Portsmouth1011,Bristol City1011,E11011,0.0700960546161784,0.47922848664688433,0.27485163204747776,0.245919881305638,Stoke,Wolves,3,0
121,E1,16/10/10,Cardiff,Bristol City,3,2,0.6535947712418301,0.25,0.16666666666666666,1011,Cardiff1011,Bristol City1011,E11011,0.0702614379084967,0.6106870229007634,0.233587786259542,0.15572519083969466,Liverpool,Man City,3,0
162,E1,30/10/10,Middlesbrough,Bristol City,1,2,0.5464480874316939,0.2857142857142857,0.23094688221709006,1011,Middlesbrough1011,Bristol City1011,E11011,0.06310925536306966,0.5140093406910212,0.2687534552755911,0.21723720403338773,Aston Villa,Sunderland,0,3
191,E1,10/11/10,Swansea,Bristol City,0,1,0.6172839506172839,0.2777777777777778,0.16666666666666666,1011,Swansea1011,Bristol City1011,E11011,0.06172839506172845,0.5813953488372092,0.2616279069767442,0.15697674418604649,Man City,Wolves,0,3
196,E1,13/11/10,Leeds,Bristol City,3,1,0.5555555555555556,0.2857142857142857,0.2222222222222222,1011,Leeds1011,Bristol City1011,E11011,0.06349206349206349,0.5223880597014926,0.26865671641791045,0.208955223880597,Stoke,Fulham,3,0
249,E1,18/12/10,Hull,Bristol City,2,0,0.45454545454545453,0.3125,0.29411764705882354,1011,Hull1011,Bristol City1011,E11011,0.06116310160427818,0.4283464566929133,0.2944881889763779,0.27716535433070866,Chelsea,Everton,3,0
259,E1,26/12/10,Reading,Bristol City,4,1,0.5780346820809249,0.2777777777777778,0.21052631578947367,1011,Reading1011,Bristol City1011,E11011,0.06633877564817636,0.5420741468672235,0.26049674280008245,0.19742911033269403,Aston Villa,Burnley,3,0
291,E1,03/01/11,QPR,Bristol City,2,2,0.6666666666666666,0.25,0.14285714285714285,1011,QPR1011,Bristol City1011,E11011,0.059523809523809534,0.6292134831460674,0.23595505617977527,0.1348314606741573,Aston Villa,Wigan,1,1
310,E1,22/01/11,Crystal Palace,Bristol City,0,0,0.5,0.30303030303030304,0.2631578947368421,1011,Crystal Palace1011,Bristol City1011,E11011,0.06618819776714502,0.4689603590127151,0.2842183994016455,0.2468212415856395,Hull,Fulham,1,1
321,E1,25/01/11,Nott'm Forest,Bristol City,1,0,0.6535947712418301,0.2631578947368421,0.15384615384615385,1011,Nott'm Forest1011,Bristol City1011,E11011,0.07059881982482619,0.6104945747546898,0.245804394572283,0.143701030673027,Blackburn,Portsmouth,3,0
347,E1,05/02/11,Preston,Bristol City,0,4,0.4347826086956522,0.30303030303030304,0.3225806451612903,1011,Preston1011,Bristol City1011,E11011,0.06039355688724557,0.41002004008016035,0.28577154308617236,0.30420841683366734,Aston Villa,Hull,0,3
367,E1,18/02/11,Leicester,Bristol City,2,1,0.6944444444444444,0.23094688221709006,0.14285714285714285,1011,Leicester1011,Bristol City1011,E11011,0.06824846951867736,0.6500776404176282,0.2161921021250311,0.13373025745734066,Wigan,Hull,3,0
388,E1,22/02/11,Watford,Bristol City,1,3,0.5555555555555556,0.2857142857142857,0.2222222222222222,1011,Watford1011,Bristol City1011,E11011,0.06349206349206349,0.5223880597014926,0.26865671641791045,0.208955223880597,Sheffield Weds,Barnsley,0,3
406,E1,05/03/11,Coventry,Bristol City,1,4,0.47619047619047616,0.29411764705882354,0.29411764705882354,1011,Coventry1011,Bristol City1011,E11011,0.06442577030812324,0.4473684210526316,0.27631578947368424,0.27631578947368424,Bristol City,QPR,0,3
438,E1,14/03/11,Norwich,Bristol City,3,1,0.5780346820809249,0.2857142857142857,0.2,1011,Norwich1011,Bristol City1011,E11011,0.06374896779521055,0.5433938829374321,0.2685918335662164,0.18801428349635152,Newcastle,Leicester,3,0
467,E1,09/04/11,Barnsley,Bristol City,4,2,0.42016806722689076,0.3076923076923077,0.3333333333333333,1011,Barnsley1011,Bristol City1011,E11011,0.06119370825253179,0.39593908629441626,0.2899492385786802,0.3141116751269035,Crystal Palace,Derby,3,0
