,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,Year,HomeYear,AwayYear,LeagueYear,B365J,B365HNorm,B365DNorm,B365ANorm,Favored,Unfavored,Homepts,Awaypts
1,E2,08/08/09,Bristol Rvs,Leyton Orient,1,2,0.5235602094240838,0.29411764705882354,0.25,0910,Bristol Rvs0910,Leyton Orient0910,E20910,0.06767785648290725,0.4903728275762602,0.2754741472560756,0.23415302516766426,Man City,Blackburn,0,3
38,E2,22/08/09,Bristol Rvs,Huddersfield,1,0,0.35714285714285715,0.3076923076923077,0.4,0910,Bristol Rvs0910,Huddersfield0910,E20910,0.06483516483516505,0.33539731682146534,0.2889576883384932,0.3756449948400412,Arsenal,Man City,3,0
63,E2,05/09/09,Bristol Rvs,Millwall,2,0,0.4166666666666667,0.30303030303030304,0.3448275862068966,0910,Bristol Rvs0910,Millwall0910,E20910,0.0645245559038663,0.3914110429447853,0.2846625766871166,0.3239263803680982,Chelsea,Wigan,3,0
73,E2,12/09/09,Bristol Rvs,Oldham,1,0,0.5464480874316939,0.29411764705882354,0.2222222222222222,0910,Bristol Rvs0910,Oldham0910,E20910,0.06278795671273985,0.5141647343482205,0.27674160701683637,0.209093658634943,Everton,Stoke,3,0
96,E2,26/09/09,Bristol Rvs,Brighton,1,1,0.5555555555555556,0.2857142857142857,0.2222222222222222,0910,Bristol Rvs0910,Brighton0910,E20910,0.06349206349206349,0.5223880597014926,0.26865671641791045,0.208955223880597,Arsenal,Tottenham,1,1
157,E2,24/10/09,Bristol Rvs,Yeovil,1,2,0.5555555555555556,0.2857142857142857,0.2222222222222222,0910,Bristol Rvs0910,Yeovil0910,E20910,0.06349206349206349,0.5223880597014926,0.26865671641791045,0.208955223880597,Tottenham,Wolves,0,3
167,E2,27/10/09,Bristol Rvs,Leeds,0,4,0.3225806451612903,0.3076923076923077,0.4347826086956522,0910,Bristol Rvs0910,Leeds0910,E20910,0.0650555615492503,0.3028768233387358,0.28889789303079416,0.40822528363047,Arsenal,Hull,0,3
181,E2,14/11/09,Bristol Rvs,Carlisle,3,2,0.5,0.29411764705882354,0.26666666666666666,0910,Bristol Rvs0910,Carlisle0910,E20910,0.0607843137254902,0.47134935304990755,0.27726432532347506,0.2513863216266174,Sunderland,Everton,3,0
194,E2,21/11/09,Bristol Rvs,Gillingham,2,1,0.5235602094240838,0.29411764705882354,0.25,0910,Bristol Rvs0910,Gillingham0910,E20910,0.06767785648290725,0.4903728275762602,0.2754741472560756,0.23415302516766426,Man United,Wigan,3,0
217,E2,01/12/09,Bristol Rvs,Exeter,1,0,0.5464480874316939,0.2857142857142857,0.23094688221709006,0910,Bristol Rvs0910,Exeter0910,E20910,0.06310925536306966,0.5140093406910212,0.2687534552755911,0.21723720403338773,Blackburn,Wigan,3,0
