,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,Year,HomeYear,AwayYear,LeagueYear,B365J,B365HNorm,B365DNorm,B365ANorm,Favored,Unfavored,Homepts,Awaypts
2,E1,07/08/10,Burnley,Nott'm Forest,1,0,0.4444444444444444,0.3076923076923077,0.3125,1011,Burnley1011,Nott'm Forest1011,E11011,0.06463675213675213,0.41746111389864526,0.28901154039136984,0.29352734570998495,Bolton,Sunderland,3,0
25,E1,21/08/10,Burnley,Leicester,3,0,0.47619047619047616,0.30303030303030304,0.2857142857142857,1011,Burnley1011,Leicester1011,E11011,0.06493506493506507,0.4471544715447154,0.2845528455284553,0.26829268292682923,Liverpool,Aston Villa,3,0
48,E1,11/09/10,Burnley,Preston,4,3,0.5988023952095809,0.2777777777777778,0.19047619047619047,1011,Burnley1011,Preston1011,E11011,0.06705636346354904,0.5611722264285397,0.26032156059323924,0.17850621297822117,Bolton,Stoke,3,0
85,E1,25/09/10,Burnley,Bristol City,0,0,0.5988023952095809,0.26666666666666666,0.2,1011,Burnley1011,Bristol City1011,E11011,0.06546906187624746,0.562008242787561,0.2502810041213938,0.18771075309104535,Fulham,Hull,1,1
96,E1,28/09/10,Burnley,Hull,4,0,0.5555555555555556,0.2857142857142857,0.2222222222222222,1011,Burnley1011,Hull1011,E11011,0.06349206349206349,0.5223880597014926,0.26865671641791045,0.208955223880597,Arsenal,Tottenham,3,0
133,E1,19/10/10,Burnley,Barnsley,3,0,0.5988023952095809,0.26666666666666666,0.2,1011,Burnley1011,Barnsley1011,E11011,0.06546906187624746,0.562008242787561,0.2502810041213938,0.18771075309104535,Man United,Portsmouth,3,0
145,E1,23/10/10,Burnley,Reading,0,4,0.5,0.29411764705882354,0.26666666666666666,1011,Burnley1011,Reading1011,E11011,0.0607843137254902,0.47134935304990755,0.27726432532347506,0.2513863216266174,Wigan,Birmingham,0,3
180,E1,09/11/10,Burnley,Doncaster,1,1,0.5235602094240838,0.29411764705882354,0.25,1011,Burnley1011,Doncaster1011,E11011,0.06767785648290725,0.4903728275762602,0.2754741472560756,0.23415302516766426,Man City,Stoke,1,1
193,E1,13/11/10,Burnley,Watford,3,2,0.5464480874316939,0.2857142857142857,0.23094688221709006,1011,Burnley1011,Watford1011,E11011,0.06310925536306966,0.5140093406910212,0.2687534552755911,0.21723720403338773,Bolton,Hull,3,0
219,E1,27/11/10,Burnley,Derby,2,1,0.47619047619047616,0.30303030303030304,0.2857142857142857,1011,Burnley1011,Derby1011,E11011,0.06493506493506507,0.4471544715447154,0.2845528455284553,0.26829268292682923,Everton,Sunderland,3,0
239,E1,11/12/10,Burnley,Leeds,2,3,0.5235602094240838,0.2777777777777778,0.26666666666666666,1011,Burnley1011,Leeds1011,E11011,0.06800465386852816,0.49022277901846506,0.2600904188681301,0.24968680211340488,Tottenham,Aston Villa,0,3
262,E1,28/12/10,Burnley,Scunthorpe,0,2,0.6369426751592356,0.25,0.18181818181818182,1011,Burnley1011,Scunthorpe1011,E11011,0.0687608569774174,0.5959637003927942,0.23391575240417176,0.17012054720303402,Man City,Liverpool,0,3
273,E1,01/01/11,Burnley,Sheffield United,4,2,0.5780346820809249,0.2857142857142857,0.2,1011,Burnley1011,Sheffield United1011,E11011,0.06374896779521055,0.5433938829374321,0.2685918335662164,0.18801428349635152,Arsenal,Burnley,3,0
297,E1,15/01/11,Burnley,QPR,0,0,0.4347826086956522,0.30303030303030304,0.3225806451612903,1011,Burnley1011,QPR1011,E11011,0.06039355688724557,0.41002004008016035,0.28577154308617236,0.30420841683366734,Sunderland,Birmingham,1,1
339,E1,05/02/11,Burnley,Norwich,2,1,0.47619047619047616,0.29411764705882354,0.29411764705882354,1011,Burnley1011,Norwich1011,E11011,0.06442577030812324,0.4473684210526316,0.27631578947368424,0.27631578947368424,Fulham,Wolves,3,0
404,E1,05/03/11,Burnley,Crystal Palace,1,0,0.6172839506172839,0.26666666666666666,0.18181818181818182,1011,Burnley1011,Crystal Palace1011,E11011,0.06576879910213251,0.5791912384161751,0.2502106149957877,0.17059814658803707,Barnsley,Preston,3,0
428,E1,12/03/11,Burnley,Millwall,0,3,0.5235602094240838,0.29411764705882354,0.25,1011,Burnley1011,Millwall1011,E11011,0.06767785648290725,0.4903728275762602,0.2754741472560756,0.23415302516766426,Reading,Barnsley,0,3
439,E1,15/03/11,Burnley,Coventry,2,2,0.5988023952095809,0.2777777777777778,0.19047619047619047,1011,Burnley1011,Coventry1011,E11011,0.06705636346354904,0.5611722264285397,0.26032156059323924,0.17850621297822117,Peterboro,Crystal Palace,1,1
455,E1,02/04/11,Burnley,Ipswich,1,2,0.5235602094240838,0.29411764705882354,0.25,1011,Burnley1011,Ipswich1011,E11011,0.06767785648290725,0.4903728275762602,0.2754741472560756,0.23415302516766426,Leicester,Peterboro,0,3
493,E1,16/04/11,Burnley,Swansea,2,1,0.35714285714285715,0.30303030303030304,0.4,1011,Burnley1011,Swansea1011,E11011,0.06017316017316032,0.3368721927317272,0.2858309514087382,0.3772968558595345,Peterboro,Plymouth,3,0
503,E1,19/04/11,Burnley,Middlesbrough,3,1,0.5235602094240838,0.2777777777777778,0.26666666666666666,1011,Burnley1011,Middlesbrough1011,E11011,0.06800465386852816,0.49022277901846506,0.2600904188681301,0.24968680211340488,Newcastle,Bristol City,3,0
518,E1,25/04/11,Burnley,Portsmouth,1,1,0.5988023952095809,0.26666666666666666,0.2,1011,Burnley1011,Portsmouth1011,E11011,0.06546906187624746,0.562008242787561,0.2502810041213938,0.18771075309104535,Newcastle,Nott'm Forest,1,1
542,E1,07/05/11,Burnley,Cardiff,1,1,0.4,0.29411764705882354,0.37037037037037035,1011,Burnley1011,Cardiff1011,E11011,0.06448801742919397,0.375767498976668,0.2762996316004912,0.34793286942284074,Plymouth,Ipswich,1,1
15,E1,14/08/10,Ipswich,Burnley,1,1,0.4166666666666667,0.3125,0.3333333333333333,1011,Ipswich1011,Burnley1011,E11011,0.0625,0.39215686274509803,0.29411764705882354,0.3137254901960784,Liverpool,Stoke,1,1
46,E1,28/08/10,Swansea,Burnley,1,0,0.4347826086956522,0.30303030303030304,0.3225806451612903,1011,Swansea1011,Burnley1011,E11011,0.06039355688724557,0.41002004008016035,0.28577154308617236,0.30420841683366734,Arsenal,Wigan,3,0
67,E1,14/09/10,Middlesbrough,Burnley,2,1,0.45454545454545453,0.3076923076923077,0.3076923076923077,1011,Middlesbrough1011,Burnley1011,E11011,0.06993006993007,0.4248366013071895,0.2875816993464052,0.2875816993464052,Burnley,Birmingham,3,0
75,E1,18/09/10,Crystal Palace,Burnley,0,0,0.37037037037037035,0.3125,0.3846153846153846,1011,Crystal Palace1011,Burnley1011,E11011,0.06748575498575482,0.3469557964970809,0.29274395329441205,0.3603002502085071,Man City,Aston Villa,1,1
116,E1,02/10/10,Millwall,Burnley,1,1,0.4,0.30303030303030304,0.36363636363636365,1011,Millwall1011,Burnley1011,E11011,0.06666666666666687,0.37499999999999994,0.28409090909090906,0.34090909090909083,Liverpool,Birmingham,1,1
131,E1,16/10/10,Sheffield United,Burnley,3,3,0.3846153846153846,0.3125,0.37037037037037035,1011,Sheffield United1011,Burnley1011,E11011,0.06748575498575482,0.3603002502085071,0.29274395329441205,0.3469557964970809,Fulham,Bolton,1,1
164,E1,30/10/10,QPR,Burnley,1,1,0.5464480874316939,0.2857142857142857,0.23094688221709006,1011,QPR1011,Burnley1011,E11011,0.06310925536306966,0.5140093406910212,0.2687534552755911,0.21723720403338773,Chelsea,Portsmouth,1,1
175,E1,06/11/10,Norwich,Burnley,2,2,0.42016806722689076,0.3076923076923077,0.3333333333333333,1011,Norwich1011,Burnley1011,E11011,0.06119370825253179,0.39593908629441626,0.2899492385786802,0.3141116751269035,Wolves,Burnley,1,1
207,E1,20/11/10,Coventry,Burnley,1,0,0.3846153846153846,0.3125,0.36363636363636365,1011,Coventry1011,Burnley1011,E11011,0.06075174825174834,0.36258755665430564,0.2946023897816234,0.34281005356407085,Blackburn,Fulham,3,0
254,E1,26/12/10,Barnsley,Burnley,1,2,0.3802281368821293,0.3076923076923077,0.3802281368821293,1011,Barnsley1011,Burnley1011,E11011,0.06814858145656633,0.3559693318729463,0.28806133625410735,0.3559693318729463,Arsenal,Sunderland,0,3
292,E1,03/01/11,Reading,Burnley,2,1,0.48780487804878053,0.29411764705882354,0.2777777777777778,1011,Reading1011,Burnley1011,E11011,0.05970030288538197,0.4603234298608499,0.27754795035727714,0.26212861978187285,Arsenal,West Ham,3,0
317,E1,22/01/11,Scunthorpe,Burnley,0,0,0.26666666666666666,0.29411764705882354,0.5,1011,Scunthorpe1011,Burnley1011,E11011,0.0607843137254902,0.2513863216266174,0.27726432532347506,0.47134935304990755,Arsenal,Wolves,1,1
