,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,Year,HomeYear,AwayYear,LeagueYear,B365J,B365HNorm,B365DNorm,B365ANorm,Favored,Unfavored,Homepts,Awaypts
0,E2,07/08/10,Carlisle,Brentford,2,0,0.4444444444444444,0.3076923076923077,0.3125,1011,Carlisle1011,Brentford1011,E21011,0.06463675213675213,0.41746111389864526,0.28901154039136984,0.29352734570998495,Aston Villa,Wigan,3,0
22,E2,21/08/10,Carlisle,Milton Keynes Dons,4,1,0.42016806722689076,0.3076923076923077,0.3333333333333333,1011,Carlisle1011,Milton Keynes Dons1011,E21011,0.06119370825253179,0.39593908629441626,0.2899492385786802,0.3141116751269035,Everton,Burnley,3,0
46,E2,04/09/10,Carlisle,Swindon,0,0,0.47619047619047616,0.29411764705882354,0.29411764705882354,1011,Carlisle1011,Swindon1011,E21011,0.06442577030812324,0.4473684210526316,0.27631578947368424,0.27631578947368424,Arsenal,Wigan,1,1
71,E2,18/09/10,Carlisle,Brighton,0,0,0.4347826086956522,0.29411764705882354,0.3333333333333333,1011,Carlisle1011,Brighton1011,E21011,0.06223358908780896,0.4093097913322633,0.27688603531300165,0.31380417335473515,Arsenal,Blackburn,1,1
109,E2,02/10/10,Carlisle,Peterboro,0,1,0.4166666666666667,0.29411764705882354,0.35714285714285715,1011,Carlisle1011,Peterboro1011,E21011,0.06792717086834732,0.39016393442622954,0.2754098360655738,0.3344262295081967,Man City,Burnley,0,3
122,E2,09/10/10,Carlisle,Notts County,1,0,0.5,0.29411764705882354,0.26666666666666666,1011,Carlisle1011,Notts County1011,E21011,0.0607843137254902,0.47134935304990755,0.27726432532347506,0.2513863216266174,Man United,Everton,3,0
146,E2,23/10/10,Carlisle,Charlton,3,4,0.45454545454545453,0.29411764705882354,0.3125,1011,Carlisle1011,Charlton1011,E21011,0.06116310160427796,0.42834645669291344,0.2771653543307087,0.29448818897637796,Wolves,Bolton,0,3
170,E2,02/11/10,Carlisle,Tranmere,2,0,0.5780346820809249,0.2777777777777778,0.21052631578947367,1011,Carlisle1011,Tranmere1011,E21011,0.06633877564817636,0.5420741468672235,0.26049674280008245,0.19742911033269403,Man United,Fulham,3,0
181,E2,13/11/10,Carlisle,Southampton,3,2,0.3333333333333333,0.29411764705882354,0.4347826086956522,1011,Carlisle1011,Southampton1011,E21011,0.06223358908780918,0.3138041733547351,0.2768860353130016,0.40930979133226325,Sunderland,Everton,3,0
203,E2,23/11/10,Carlisle,Rochdale,1,1,0.5405405405405405,0.2857142857142857,0.23809523809523808,1011,Carlisle1011,Rochdale1011,E21011,0.0643500643500643,0.5078597339782346,0.26844014510278114,0.22370012091898428,Liverpool,Stoke,1,1
