,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,Year,HomeYear,AwayYear,LeagueYear,B365J,B365HNorm,B365DNorm,B365ANorm,Favored,Unfavored,Homepts,Awaypts
1,E2,07/08/10,Charlton,Bournemouth,1,0,0.6172839506172839,0.26666666666666666,0.18181818181818182,1011,Charlton1011,Bournemouth1011,E21011,0.06576879910213251,0.5791912384161751,0.2502106149957877,0.17059814658803707,Man City,Blackburn,3,0
23,E2,21/08/10,Charlton,Oldham,1,1,0.5555555555555556,0.2857142857142857,0.2222222222222222,1011,Charlton1011,Oldham1011,E21011,0.06349206349206349,0.5223880597014926,0.26865671641791045,0.208955223880597,Chelsea,Fulham,1,1
60,E2,11/09/10,Charlton,Notts County,1,0,0.5,0.29411764705882354,0.26666666666666666,1011,Charlton1011,Notts County1011,E21011,0.0607843137254902,0.47134935304990755,0.27726432532347506,0.2513863216266174,Everton,Portsmouth,3,0
88,E2,25/09/10,Charlton,Dag and Red,2,2,0.625,0.26666666666666666,0.17391304347826086,1011,Charlton1011,Dag and Red1011,E21011,0.06557971014492736,0.5865351921115268,0.2502550153009181,0.16320979258755527,Chelsea,Blackburn,1,1
99,E2,28/09/10,Charlton,Milton Keynes Dons,1,0,0.47619047619047616,0.29411764705882354,0.29411764705882354,1011,Charlton1011,Milton Keynes Dons1011,E21011,0.06442577030812324,0.4473684210526316,0.27631578947368424,0.27631578947368424,Everton,Aston Villa,3,0
134,E2,16/10/10,Charlton,Brighton,0,4,0.4,0.3076923076923077,0.35714285714285715,1011,Charlton1011,Brighton1011,E21011,0.06483516483516483,0.3756449948400413,0.28895768833849333,0.33539731682146545,West Ham,Burnley,0,3
158,E2,30/10/10,Charlton,Sheffield Weds,1,0,0.4,0.3076923076923077,0.35714285714285715,1011,Charlton1011,Sheffield Weds1011,E21011,0.06483516483516483,0.3756449948400413,0.28895768833849333,0.33539731682146545,Liverpool,Arsenal,3,0
191,E2,20/11/10,Charlton,Yeovil,3,2,0.6172839506172839,0.2631578947368421,0.18181818181818182,1011,Charlton1011,Yeovil1011,E21011,0.06226002717230794,0.5811043763554468,0.24773397097258518,0.17116165267196795,Man City,Wolves,3,0
204,E2,23/11/10,Charlton,Bristol Rvs,1,1,0.5882352941176471,0.26666666666666666,0.21052631578947367,1011,Charlton1011,Bristol Rvs1011,E21011,0.06542827657378747,0.5521115846571096,0.25029058504455637,0.19759783029833397,Tottenham,Hull,1,1
226,E2,12/12/10,Charlton,Walsall,0,1,0.7142857142857143,0.2222222222222222,0.13333333333333333,1011,Charlton1011,Walsall1011,E21011,0.06984126984126982,0.6676557863501484,0.20771513353115725,0.12462908011869436,Everton,Wigan,0,3
246,E2,03/01/11,Charlton,Swindon,2,4,0.5,0.29411764705882354,0.26666666666666666,1011,Charlton1011,Swindon1011,E21011,0.0607843137254902,0.47134935304990755,0.27726432532347506,0.2513863216266174,Arsenal,Liverpool,0,3
284,E2,22/01/11,Charlton,Plymouth,2,0,0.5882352941176471,0.26666666666666666,0.21052631578947367,1011,Charlton1011,Plymouth1011,E21011,0.06542827657378747,0.5521115846571096,0.25029058504455637,0.19759783029833397,Chelsea,West Ham,3,0
307,E2,01/02/11,Charlton,Colchester,1,0,0.5235602094240838,0.2857142857142857,0.2631578947368421,1011,Charlton1011,Colchester1011,E21011,0.0724323898752115,0.4881988033623316,0.26641706126344383,0.24538413537422457,Arsenal,Birmingham,3,0
332,E2,12/02/11,Charlton,Peterboro,3,2,0.5,0.2777777777777778,0.2857142857142857,1011,Charlton1011,Peterboro1011,E21011,0.06349206349206349,0.4701492537313433,0.2611940298507463,0.26865671641791045,Wolves,Stoke,3,0
352,E2,19/02/11,Charlton,Exeter,1,3,0.6172839506172839,0.26666666666666666,0.18181818181818182,1011,Charlton1011,Exeter1011,E21011,0.06576879910213251,0.5791912384161751,0.2502106149957877,0.17059814658803707,West Ham,Wigan,0,3
379,E2,01/03/11,Charlton,Carlisle,1,3,0.5235602094240838,0.29411764705882354,0.25,1011,Charlton1011,Carlisle1011,E21011,0.06767785648290725,0.4903728275762602,0.2754741472560756,0.23415302516766426,Wolves,Sunderland,0,3
