,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,Year,HomeYear,AwayYear,LeagueYear,B365J,B365HNorm,B365DNorm,B365ANorm,Favored,Unfavored,Homepts,Awaypts
3,E0,15/08/09,Chelsea,Hull,2,1,0.8547008547008548,0.15384615384615385,0.047619047619047616,0910,Chelsea0910,Hull0910,E00910,0.05616605616605619,0.8092485549132948,0.14566473988439307,0.04508670520231214,Chelsea,Hull,3,0
28,E0,29/08/09,Chelsea,Burnley,3,0,0.8771929824561404,0.125,0.047619047619047616,0910,Chelsea0910,Burnley0910,E00910,0.049812030075188085,0.8355714712026261,0.1190689346463742,0.045359594150999695,Chelsea,Burnley,3,0
52,E0,20/09/09,Chelsea,Tottenham,3,0,0.6666666666666666,0.25,0.14285714285714285,0910,Chelsea0910,Tottenham0910,E00910,0.059523809523809534,0.6292134831460674,0.23595505617977527,0.1348314606741573,Chelsea,Tottenham,3,0
72,E0,04/10/09,Chelsea,Liverpool,2,0,0.47619047619047616,0.30303030303030304,0.2777777777777778,0910,Chelsea0910,Liverpool0910,E00910,0.05699855699855716,0.4505119453924914,0.28668941979522183,0.26279863481228666,Chelsea,Liverpool,3,0
88,E0,24/10/09,Chelsea,Blackburn,5,0,0.8333333333333334,0.15384615384615385,0.06666666666666667,0910,Chelsea0910,Blackburn0910,E00910,0.05384615384615388,0.7907542579075426,0.14598540145985403,0.0632603406326034,Chelsea,Blackburn,3,0
112,E0,08/11/09,Chelsea,Man United,1,0,0.5,0.3076923076923077,0.25,0910,Chelsea0910,Man United0910,E00910,0.05769230769230771,0.4727272727272727,0.2909090909090909,0.23636363636363636,Chelsea,Man United,3,0
119,E0,21/11/09,Chelsea,Wolves,4,0,0.8547008547008548,0.14285714285714285,0.05263157894736842,0910,Chelsea0910,Wolves0910,E00910,0.05018957650536593,0.8138538734549016,0.13602986170603354,0.050116264839064985,Chelsea,Wolves,3,0
152,E0,12/12/09,Chelsea,Everton,3,3,0.8,0.18181818181818182,0.06666666666666667,0910,Chelsea0910,Everton0910,E00910,0.048484848484848575,0.7630057803468208,0.17341040462427745,0.06358381502890173,Chelsea,Everton,1,1
164,E0,16/12/09,Chelsea,Portsmouth,2,1,0.8771929824561404,0.125,0.05263157894736842,0910,Chelsea0910,Portsmouth0910,E00910,0.054824561403508776,0.8316008316008316,0.1185031185031185,0.04989604989604989,Chelsea,Portsmouth,3,0
187,E0,28/12/09,Chelsea,Fulham,2,1,0.7352941176470588,0.2222222222222222,0.1,0910,Chelsea0910,Fulham0910,E00910,0.05751633986928106,0.6953028430160691,0.21013597033374534,0.09456118665018541,Chelsea,Fulham,3,0
200,E0,16/01/10,Chelsea,Sunderland,7,2,0.819672131147541,0.16666666666666666,0.06666666666666667,0910,Chelsea0910,Sunderland0910,E00910,0.0530054644808744,0.7784120394395433,0.15827711468604044,0.06331084587441618,Chelsea,Sunderland,3,0
218,E0,27/01/10,Chelsea,Birmingham,3,0,0.819672131147541,0.16666666666666666,0.06666666666666667,0910,Chelsea0910,Birmingham0910,E00910,0.0530054644808744,0.7784120394395433,0.15827711468604044,0.06331084587441618,Chelsea,Birmingham,3,0
241,E0,07/02/10,Chelsea,Arsenal,2,0,0.5555555555555556,0.2777777777777778,0.2222222222222222,0910,Chelsea0910,Arsenal0910,E00910,0.05555555555555558,0.5263157894736842,0.2631578947368421,0.21052631578947367,Chelsea,Arsenal,3,0
268,E0,27/02/10,Chelsea,Man City,2,4,0.6944444444444444,0.23094688221709006,0.13333333333333333,0910,Chelsea0910,Man City0910,E00910,0.05872465999486787,0.6559254456657416,0.21813686876643598,0.1259376855678224,Chelsea,Man City,0,3
284,E0,13/03/10,Chelsea,West Ham,4,1,0.819672131147541,0.16666666666666666,0.06666666666666667,0910,Chelsea0910,West Ham0910,E00910,0.0530054644808744,0.7784120394395433,0.15827711468604044,0.06331084587441618,Chelsea,West Ham,3,0
309,E0,27/03/10,Chelsea,Aston Villa,7,1,0.7142857142857143,0.21052631578947367,0.125,0910,Chelsea0910,Aston Villa0910,E00910,0.04981203007518786,0.6803939122649956,0.20053715308863027,0.11906893464637423,Chelsea,Aston Villa,3,0
333,E0,13/04/10,Chelsea,Bolton,1,0,0.8771929824561404,0.125,0.05263157894736842,0910,Chelsea0910,Bolton0910,E00910,0.054824561403508776,0.8316008316008316,0.1185031185031185,0.04989604989604989,Chelsea,Bolton,3,0
356,E0,25/04/10,Chelsea,Stoke,7,0,0.8771929824561404,0.125,0.047619047619047616,0910,Chelsea0910,Stoke0910,E00910,0.049812030075188085,0.8355714712026261,0.1190689346463742,0.045359594150999695,Chelsea,Stoke,3,0
374,E0,09/05/10,Chelsea,Wigan,8,0,0.9090909090909091,0.1,0.043478260869565216,0910,Chelsea0910,Wigan0910,E00910,0.05256916996047423,0.8636875704093129,0.09500563274502442,0.04130679684566279,Chelsea,Wigan,3,0
10,E0,18/08/09,Sunderland,Chelsea,1,3,0.15384615384615385,0.25,0.6535947712418301,0910,Sunderland0910,Chelsea0910,E00910,0.05744092508798393,0.1454891239748009,0.23641982645905146,0.6180910495661476,Chelsea,Sunderland,0,3
23,E0,23/08/09,Fulham,Chelsea,0,2,0.15384615384615385,0.2631578947368421,0.6369426751592356,0910,Fulham0910,Chelsea0910,E00910,0.05394672374223153,0.14597147121430845,0.24968804286658022,0.6043404859191114,Chelsea,Fulham,0,3
40,E0,12/09/09,Stoke,Chelsea,1,2,0.1111111111111111,0.2222222222222222,0.7142857142857143,0910,Stoke0910,Chelsea0910,E00910,0.04761904761904767,0.10606060606060605,0.2121212121212121,0.6818181818181818,Chelsea,Stoke,0,3
63,E0,26/09/09,Wigan,Chelsea,3,1,0.1,0.2,0.7518796992481203,0910,Wigan0910,Chelsea0910,E00910,0.0518796992481203,0.09506790564689065,0.1901358112937813,0.7147962830593281,Chelsea,Wigan,3,0
77,E0,17/10/09,Aston Villa,Chelsea,2,1,0.2222222222222222,0.2777777777777778,0.5555555555555556,0910,Aston Villa0910,Chelsea0910,E00910,0.05555555555555558,0.21052631578947367,0.2631578947368421,0.5263157894736842,Chelsea,Aston Villa,3,0
