,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,Year,HomeYear,AwayYear,LeagueYear,B365J,B365HNorm,B365DNorm,B365ANorm,Favored,Unfavored,Homepts,Awaypts
13,E2,15/08/09,Colchester,Yeovil,2,1,0.5780346820809249,0.2857142857142857,0.2,0910,Colchester0910,Yeovil0910,E20910,0.06374896779521055,0.5433938829374321,0.2685918335662164,0.18801428349635152,Man United,Burnley,3,0
25,E2,18/08/09,Colchester,Gillingham,2,1,0.5464480874316939,0.2777777777777778,0.23094688221709006,0910,Colchester0910,Gillingham0910,E20910,0.05517274742656175,0.517875474669351,0.2632533662902535,0.2188711590403955,Liverpool,Aston Villa,3,0
50,E2,29/08/09,Colchester,Leeds,1,2,0.3225806451612903,0.29411764705882354,0.4444444444444444,0910,Colchester0910,Leeds0910,E20910,0.06114273666455827,0.3039936419630439,0.27717067355454006,0.41883568448241604,Hull,Birmingham,0,3
86,E2,19/09/09,Colchester,Hartlepool,2,0,0.5464480874316939,0.2857142857142857,0.23094688221709006,0910,Colchester0910,Hartlepool0910,E20910,0.06310925536306966,0.5140093406910212,0.2687534552755911,0.21723720403338773,Sunderland,Birmingham,3,0
109,E2,29/09/09,Colchester,Charlton,3,0,0.3225806451612903,0.29411764705882354,0.4444444444444444,0910,Colchester0910,Charlton0910,E20910,0.06114273666455827,0.3039936419630439,0.27717067355454006,0.41883568448241604,Man City,Burnley,3,0
121,E2,03/10/09,Colchester,Huddersfield,1,0,0.4347826086956522,0.29411764705882354,0.3333333333333333,0910,Colchester0910,Huddersfield0910,E20910,0.06223358908780896,0.4093097913322633,0.27688603531300165,0.31380417335473515,Liverpool,Man City,3,0
159,E2,24/10/09,Colchester,Walsall,2,1,0.5988023952095809,0.2857142857142857,0.18181818181818182,0910,Colchester0910,Walsall0910,E20910,0.06633486274204836,0.5615519253208868,0.26794049008168025,0.1705075845974329,Birmingham,Blackburn,3,0
183,E2,14/11/09,Colchester,Exeter,2,2,0.6369426751592356,0.2631578947368421,0.16666666666666666,0910,Colchester0910,Exeter0910,E20910,0.06676723656274453,0.5970774629445346,0.24668726758497875,0.15623526947048655,Wigan,Blackburn,1,1
204,E2,24/11/09,Colchester,Stockport,2,0,0.6535947712418301,0.26666666666666666,0.14285714285714285,0910,Colchester0910,Stockport0910,E20910,0.06311858076563959,0.6147900930967856,0.25083435798348847,0.13437554891972597,Tottenham,Hull,3,0
227,E2,05/12/09,Colchester,Bristol Rvs,1,0,0.5555555555555556,0.2857142857142857,0.2222222222222222,0910,Colchester0910,Bristol Rvs0910,E20910,0.06349206349206349,0.5223880597014926,0.26865671641791045,0.208955223880597,Arsenal,Man United,3,0
271,E2,28/12/09,Colchester,Southampton,2,1,0.4166666666666667,0.30303030303030304,0.3472222222222222,0910,Colchester0910,Southampton0910,E20910,0.06691919191919204,0.3905325443786982,0.2840236686390532,0.32544378698224846,Sunderland,Fulham,3,0
