,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,Year,HomeYear,AwayYear,LeagueYear,B365J,B365HNorm,B365DNorm,B365ANorm,Favored,Unfavored,Homepts,Awaypts
11,E1,09/08/09,Coventry,Ipswich,2,1,0.3846153846153846,0.3076923076923077,0.37037037037037035,0910,Coventry0910,Ipswich0910,E10910,0.06267806267806275,0.3619302949061662,0.28954423592493295,0.34852546916890076,Wigan,Wolves,3,0
36,E1,22/08/09,Coventry,Swansea,0,1,0.47619047619047616,0.30303030303030304,0.2857142857142857,0910,Coventry0910,Swansea0910,E10910,0.06493506493506507,0.4471544715447154,0.2845528455284553,0.26829268292682923,Blackburn,Wolves,0,3
60,E1,12/09/09,Coventry,Bristol City,1,1,0.4,0.3225806451612903,0.3472222222222222,0910,Coventry0910,Bristol City0910,E10910,0.06980286738351271,0.3739006616969595,0.30153279169109637,0.324566546611944,Everton,Portsmouth,1,1
72,E1,15/09/09,Coventry,Sheffield United,3,2,0.3125,0.29411764705882354,0.45454545454545453,0910,Coventry0910,Sheffield United0910,E10910,0.06116310160427818,0.2944881889763779,0.27716535433070866,0.4283464566929133,Chelsea,Liverpool,3,0
96,E1,26/09/09,Coventry,Middlesbrough,2,2,0.3125,0.3076923076923077,0.4444444444444444,0910,Coventry0910,Middlesbrough0910,E10910,0.06463675213675213,0.29352734570998495,0.28901154039136984,0.41746111389864526,Arsenal,Tottenham,1,1
120,E1,03/10/09,Coventry,Leicester,1,1,0.4166666666666667,0.30303030303030304,0.3448275862068966,0910,Coventry0910,Leicester0910,E10910,0.0645245559038663,0.3914110429447853,0.2846625766871166,0.3239263803680982,West Ham,Hull,1,1
157,E1,24/10/09,Coventry,West Brom,0,0,0.2857142857142857,0.3076923076923077,0.47619047619047616,0910,Coventry0910,West Brom0910,E10910,0.06959706959706957,0.2671232876712329,0.28767123287671237,0.4452054794520548,Tottenham,Wolves,1,1
169,E1,31/10/09,Coventry,Reading,1,3,0.4,0.3125,0.3472222222222222,0910,Coventry0910,Reading0910,E10910,0.05972222222222223,0.3774574049803408,0.2948885976408912,0.327653997378768,Tottenham,Blackburn,0,3
194,E1,21/11/09,Coventry,Crystal Palace,1,1,0.37037037037037035,0.3225806451612903,0.37037037037037035,0910,Coventry0910,Crystal Palace0910,E10910,0.06332138590203096,0.34831460674157305,0.30337078651685395,0.34831460674157305,Man United,Wigan,1,1
238,E1,09/12/09,Coventry,Newcastle,0,2,0.23094688221709006,0.2857142857142857,0.5464480874316939,0910,Coventry0910,Newcastle0910,E10910,0.06310925536306966,0.21723720403338773,0.2687534552755911,0.5140093406910212,Sunderland,Wigan,0,3
240,E1,12/12/09,Coventry,Peterboro,3,2,0.47619047619047616,0.3076923076923077,0.2777777777777778,0910,Coventry0910,Peterboro0910,E10910,0.061660561660561664,0.4485336400230017,0.2898217366302473,0.26164462334675104,Birmingham,Wolves,3,0
261,E1,26/12/09,Coventry,Doncaster,1,0,0.3846153846153846,0.3125,0.37037037037037035,0910,Coventry0910,Doncaster0910,E10910,0.06748575498575482,0.3603002502085071,0.29274395329441205,0.3469557964970809,Fulham,Birmingham,3,0
283,E1,09/01/10,Coventry,Barnsley,3,1,0.4166666666666667,0.30303030303030304,0.3472222222222222,0910,Coventry0910,Barnsley0910,E10910,0.06691919191919204,0.3905325443786982,0.2840236686390532,0.32544378698224846,Burnley,Wolves,3,0
314,E1,30/01/10,Coventry,Blackpool,1,1,0.4166666666666667,0.30303030303030304,0.3448275862068966,0910,Coventry0910,Blackpool0910,E10910,0.0645245559038663,0.3914110429447853,0.2846625766871166,0.3239263803680982,Burnley,Blackburn,1,1
340,E1,09/02/10,Coventry,Nott'm Forest,1,0,0.2857142857142857,0.30303030303030304,0.47619047619047616,0910,Coventry0910,Nott'm Forest0910,E10910,0.06493506493506507,0.26829268292682923,0.2845528455284553,0.4471544715447154,Man United,Man City,3,0
352,E1,13/02/10,Coventry,QPR,1,0,0.5,0.29411764705882354,0.26666666666666666,0910,Coventry0910,QPR0910,E10910,0.0607843137254902,0.47134935304990755,0.27726432532347506,0.2513863216266174,West Ham,Wigan,3,0
384,E1,27/02/10,Coventry,Scunthorpe,2,1,0.5464480874316939,0.29411764705882354,0.2222222222222222,0910,Coventry0910,Scunthorpe0910,E10910,0.06278795671273985,0.5141647343482205,0.27674160701683637,0.209093658634943,Leicester,Swansea,3,0
415,E1,13/03/10,Coventry,Plymouth,1,1,0.5714285714285714,0.2857142857142857,0.21052631578947367,0910,Coventry0910,Plymouth0910,E10910,0.06766917293233066,0.5352112676056339,0.26760563380281693,0.1971830985915493,Newcastle,Sheffield Weds,1,1
427,E1,16/03/10,Coventry,Cardiff,1,2,0.42016806722689076,0.30303030303030304,0.3448275862068966,0910,Coventry0910,Cardiff0910,E10910,0.06802595646409038,0.39340623201512787,0.28372934308969827,0.3228644248951739,Cardiff,Bristol City,0,3
463,E1,27/03/10,Coventry,Sheffield Weds,1,1,0.47619047619047616,0.30303030303030304,0.2857142857142857,0910,Coventry0910,Sheffield Weds0910,E10910,0.06493506493506507,0.4471544715447154,0.2845528455284553,0.26829268292682923,Sheffield United,Sheffield Weds,1,1
481,E1,03/04/10,Coventry,Derby,0,1,0.47619047619047616,0.3076923076923077,0.2777777777777778,0910,Coventry0910,Derby0910,E10910,0.061660561660561664,0.4485336400230017,0.2898217366302473,0.26164462334675104,Reading,Watford,0,3
515,E1,17/04/10,Coventry,Preston,1,1,0.42016806722689076,0.3076923076923077,0.3333333333333333,0910,Coventry0910,Preston0910,E10910,0.06119370825253179,0.39593908629441626,0.2899492385786802,0.3141116751269035,Ipswich,Swansea,1,1
541,E1,02/05/10,Coventry,Watford,0,4,0.4444444444444444,0.3125,0.3076923076923077,0910,Coventry0910,Watford0910,E10910,0.06463675213675213,0.41746111389864526,0.29352734570998495,0.28901154039136984,Peterboro,Scunthorpe,0,3
12,E1,15/08/09,Barnsley,Coventry,0,2,0.4347826086956522,0.3076923076923077,0.3125,0910,Barnsley0910,Coventry0910,E10910,0.054974916387959816,0.41212601545472566,0.2916584109371904,0.29621557360808404,Birmingham,Portsmouth,0,3
