,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,Year,HomeYear,AwayYear,LeagueYear,B365J,B365HNorm,B365DNorm,B365ANorm,Favored,Unfavored,Homepts,Awaypts
2,E1,08/08/09,Crystal Palace,Plymouth,1,1,0.5235602094240838,0.30303030303030304,0.23809523809523808,0910,Crystal Palace0910,Plymouth0910,E10910,0.064685750549625,0.4917509313464608,0.2846194784459819,0.22362959020755718,Bolton,Sunderland,1,1
37,E1,22/08/09,Crystal Palace,Newcastle,0,2,0.3333333333333333,0.3076923076923077,0.42016806722689076,0910,Crystal Palace0910,Newcastle0910,E10910,0.06119370825253179,0.3141116751269035,0.2899492385786802,0.39593908629441626,Liverpool,Burnley,0,3
61,E1,12/09/09,Crystal Palace,Scunthorpe,0,4,0.5780346820809249,0.2857142857142857,0.2,0910,Crystal Palace0910,Scunthorpe0910,E10910,0.06374896779521055,0.5433938829374321,0.2685918335662164,0.18801428349635152,Man United,Stoke,0,3
87,E1,19/09/09,Crystal Palace,Derby,1,0,0.4444444444444444,0.3125,0.3076923076923077,0910,Crystal Palace0910,Derby0910,E10910,0.06463675213675213,0.41746111389864526,0.29352734570998495,0.28901154039136984,Burnley,Wigan,3,0
110,E1,29/09/09,Crystal Palace,Sheffield Weds,0,0,0.45454545454545453,0.3125,0.29411764705882354,0910,Crystal Palace0910,Sheffield Weds0910,E10910,0.06116310160427818,0.4283464566929133,0.2944881889763779,0.27716535433070866,Tottenham,Sunderland,1,1
121,E1,03/10/09,Crystal Palace,Blackpool,4,1,0.45454545454545453,0.30303030303030304,0.3076923076923077,0910,Crystal Palace0910,Blackpool0910,E10910,0.06526806526806528,0.42669584245076586,0.2844638949671772,0.2888402625820569,Liverpool,Man City,3,0
158,E1,24/10/09,Crystal Palace,Nott'm Forest,1,1,0.4,0.3125,0.3472222222222222,0910,Crystal Palace0910,Nott'm Forest0910,E10910,0.05972222222222223,0.3774574049803408,0.2948885976408912,0.327653997378768,Liverpool,Arsenal,1,1
182,E1,07/11/09,Crystal Palace,Middlesbrough,1,0,0.36363636363636365,0.30303030303030304,0.4,0910,Crystal Palace0910,Middlesbrough0910,E10910,0.06666666666666687,0.34090909090909083,0.28409090909090906,0.37499999999999994,West Ham,Portsmouth,3,0
205,E1,28/11/09,Crystal Palace,Watford,3,0,0.47619047619047616,0.30303030303030304,0.2857142857142857,0910,Crystal Palace0910,Watford0910,E10910,0.06493506493506507,0.4471544715447154,0.2845528455284553,0.26829268292682923,Wolves,Wigan,3,0
218,E1,05/12/09,Crystal Palace,Doncaster,0,3,0.5235602094240838,0.30303030303030304,0.23809523809523808,0910,Crystal Palace0910,Doncaster0910,E10910,0.064685750549625,0.4917509313464608,0.2846194784459819,0.22362959020755718,Chelsea,Birmingham,0,3
