,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,Year,HomeYear,AwayYear,LeagueYear,B365J,B365HNorm,B365DNorm,B365ANorm,Favored,Unfavored,Homepts,Awaypts
39,E2,28/08/10,Dag and Red,Tranmere,2,2,0.47619047619047616,0.30303030303030304,0.2857142857142857,1011,Dag and Red1011,Tranmere1011,E21011,0.06493506493506507,0.4471544715447154,0.2845528455284553,0.26829268292682923,Portsmouth,Bolton,1,1
47,E2,04/09/10,Dag and Red,Leyton Orient,2,0,0.4,0.3076923076923077,0.35714285714285715,1011,Dag and Red1011,Leyton Orient1011,E21011,0.06483516483516483,0.3756449948400413,0.28895768833849333,0.33539731682146545,Aston Villa,Portsmouth,3,0
72,E2,18/09/10,Dag and Red,Bristol Rvs,0,3,0.42016806722689076,0.29411764705882354,0.3472222222222222,1011,Dag and Red1011,Bristol Rvs1011,E21011,0.06150793650793651,0.3958218801539307,0.27707531610775155,0.32710280373831774,Chelsea,Liverpool,0,3
82,E2,21/09/10,Dag and Red,Exeter,1,1,0.4444444444444444,0.29411764705882354,0.3225806451612903,1011,Dag and Red1011,Exeter1011,E21011,0.06114273666455827,0.41883568448241604,0.27717067355454006,0.3039936419630439,Liverpool,Sunderland,1,1
110,E2,02/10/10,Dag and Red,Swindon,2,1,0.37037037037037035,0.29411764705882354,0.4,1011,Dag and Red1011,Swindon1011,E21011,0.06448801742919397,0.34793286942284074,0.2762996316004912,0.375767498976668,Tottenham,Sunderland,3,0
135,E2,16/10/10,Dag and Red,Walsall,1,1,0.5,0.29411764705882354,0.26666666666666666,1011,Dag and Red1011,Walsall1011,E21011,0.0607843137254902,0.47134935304990755,0.27726432532347506,0.2513863216266174,Wigan,Sunderland,1,1
159,E2,30/10/10,Dag and Red,Hartlepool,1,1,0.4347826086956522,0.30303030303030304,0.3225806451612903,1011,Dag and Red1011,Hartlepool1011,E21011,0.06039355688724557,0.41002004008016035,0.28577154308617236,0.30420841683366734,Birmingham,Blackburn,1,1
193,E2,20/11/10,Dag and Red,Oldham,0,1,0.3846153846153846,0.3076923076923077,0.37037037037037035,1011,Dag and Red1011,Oldham1011,E21011,0.06267806267806275,0.3619302949061662,0.28954423592493295,0.34852546916890076,Bolton,Hull,0,3
247,E2,03/01/11,Dag and Red,Southampton,1,3,0.2222222222222222,0.26666666666666666,0.5780346820809249,1011,Dag and Red1011,Southampton1011,E21011,0.06692357096981372,0.20828316879364314,0.24993980255237178,0.5417770286539851,Man United,Aston Villa,0,3
258,E2,08/01/11,Dag and Red,Rochdale,0,1,0.4,0.3076923076923077,0.35714285714285715,1011,Dag and Red1011,Rochdale1011,E21011,0.06483516483516483,0.3756449948400413,0.28895768833849333,0.33539731682146545,Chelsea,Wolves,0,3
285,E2,22/01/11,Dag and Red,Milton Keynes Dons,0,1,0.3846153846153846,0.3076923076923077,0.37037037037037035,1011,Dag and Red1011,Milton Keynes Dons1011,E21011,0.06267806267806275,0.3619302949061662,0.28954423592493295,0.34852546916890076,Arsenal,Hull,0,3
308,E2,01/02/11,Dag and Red,Brentford,4,1,0.4166666666666667,0.30303030303030304,0.3448275862068966,1011,Dag and Red1011,Brentford1011,E21011,0.0645245559038663,0.3914110429447853,0.2846625766871166,0.3239263803680982,Man United,Bolton,3,0
334,E2,12/02/11,Dag and Red,Yeovil,2,1,0.42016806722689076,0.3076923076923077,0.3333333333333333,1011,Dag and Red1011,Yeovil1011,E21011,0.06119370825253179,0.39593908629441626,0.2899492385786802,0.3141116751269035,Aston Villa,Everton,3,0
361,E2,22/02/11,Dag and Red,Huddersfield,1,1,0.2777777777777778,0.2857142857142857,0.5,1011,Dag and Red1011,Huddersfield1011,E21011,0.06349206349206349,0.2611940298507463,0.26865671641791045,0.4701492537313433,Everton,Stoke,1,1
