,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,Year,HomeYear,AwayYear,LeagueYear,B365J,B365HNorm,B365DNorm,B365ANorm,Favored,Unfavored,Homepts,Awaypts,Win,Draw,WinStreak,UndefStreak
0,E1,08/08/09,Derby,Peterboro,2,1,0.5,0.30303030303030304,0.2631578947368421,0910,Derby0910,Peterboro0910,E10910,0.06618819776714502,0.4689603590127151,0.2842183994016455,0.2468212415856395,Chelsea,Hull,3,0,1,0,0,0
1,E1,15/08/09,Scunthorpe,Derby,3,2,0.3846153846153846,0.3125,0.36363636363636365,0910,Scunthorpe0910,Derby0910,E10910,0.06075174825174834,0.36258755665430564,0.2946023897816234,0.34281005356407085,Man United,Wigan,3,0,0,0,1,1
2,E1,18/08/09,Blackpool,Derby,0,0,0.4,0.3076923076923077,0.35714285714285715,0910,Blackpool0910,Derby0910,E10910,0.06483516483516483,0.3756449948400413,0.28895768833849333,0.33539731682146545,Liverpool,Aston Villa,1,1,0,1,0,0
3,E1,22/08/09,Derby,Plymouth,2,1,0.5464480874316939,0.2857142857142857,0.23094688221709006,0910,Derby0910,Plymouth0910,E10910,0.06310925536306966,0.5140093406910212,0.2687534552755911,0.21723720403338773,Arsenal,Man City,3,0,1,0,0,1
4,E1,29/08/09,Nott'm Forest,Derby,3,2,0.4347826086956522,0.30303030303030304,0.3225806451612903,0910,Nott'm Forest0910,Derby0910,E10910,0.06039355688724557,0.41002004008016035,0.28577154308617236,0.30420841683366734,Everton,Blackburn,3,0,0,0,1,2
5,E1,12/09/09,Derby,Sheffield United,0,1,0.36363636363636365,0.3125,0.3846153846153846,0910,Derby0910,Sheffield United0910,E10910,0.06075174825174834,0.34281005356407085,0.2946023897816234,0.36258755665430564,Tottenham,Burnley,0,3,0,0,0,0
6,E1,15/09/09,Derby,Barnsley,2,3,0.5780346820809249,0.2857142857142857,0.2,0910,Derby0910,Barnsley0910,E10910,0.06374896779521055,0.5433938829374321,0.2685918335662164,0.18801428349635152,Everton,Stoke,0,3,0,0,0,0
7,E1,19/09/09,Crystal Palace,Derby,1,0,0.4444444444444444,0.3125,0.3076923076923077,0910,Crystal Palace0910,Derby0910,E10910,0.06463675213675213,0.41746111389864526,0.29352734570998495,0.28901154039136984,Burnley,Wigan,3,0,0,0,0,0
8,E1,26/09/09,Derby,Bristol City,1,0,0.4444444444444444,0.3076923076923077,0.3125,0910,Derby0910,Bristol City0910,E10910,0.06463675213675213,0.41746111389864526,0.28901154039136984,0.29352734570998495,Chelsea,Bolton,3,0,1,0,0,0
9,E1,29/09/09,Cardiff,Derby,6,1,0.5235602094240838,0.3076923076923077,0.23094688221709006,0910,Cardiff0910,Derby0910,E10910,0.06219939933348151,0.4929020010297615,0.2896747144513368,0.21742328451890172,Man City,Burnley,3,0,0,0,1,1
10,E1,03/10/09,Derby,Sheffield Weds,3,0,0.4166666666666667,0.30303030303030304,0.3448275862068966,0910,Derby0910,Sheffield Weds0910,E10910,0.0645245559038663,0.3914110429447853,0.2846625766871166,0.3239263803680982,Man United,Everton,3,0,1,0,0,0
