,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,Year,HomeYear,AwayYear,LeagueYear,B365J,B365HNorm,B365DNorm,B365ANorm,Favored,Unfavored,Homepts,Awaypts,Win,Draw,WinStreak,UndefStreak
0,E1,08/08/09,Watford,Doncaster,1,1,0.47619047619047616,0.29411764705882354,0.29411764705882354,0910,Watford0910,Doncaster0910,E10910,0.06442577030812324,0.4473684210526316,0.27631578947368424,0.27631578947368424,Liverpool,Tottenham,1,1,0,1,0,0
1,E1,15/08/09,Doncaster,Preston,1,1,0.42016806722689076,0.3076923076923077,0.3333333333333333,0910,Doncaster0910,Preston0910,E10910,0.06119370825253179,0.39593908629441626,0.2899492385786802,0.3141116751269035,Liverpool,Stoke,1,1,0,1,0,1
2,E1,18/08/09,Doncaster,Coventry,0,0,0.4444444444444444,0.3076923076923077,0.3076923076923077,0910,Doncaster0910,Coventry0910,E10910,0.05982905982905984,0.4193548387096774,0.2903225806451613,0.2903225806451613,Liverpool,Bolton,1,1,0,1,0,2
3,E1,22/08/09,Middlesbrough,Doncaster,2,0,0.6369426751592356,0.2857142857142857,0.14285714285714285,0910,Middlesbrough0910,Doncaster0910,E10910,0.06551410373066413,0.5977796754910334,0.26814688300597783,0.13407344150298892,Chelsea,Stoke,3,0,0,0,0,3
4,E1,29/08/09,Doncaster,Cardiff,2,0,0.30303030303030304,0.3076923076923077,0.45454545454545453,0910,Doncaster0910,Cardiff0910,E10910,0.06526806526806528,0.2844638949671772,0.2888402625820569,0.42669584245076586,Liverpool,West Ham,3,0,1,0,0,0
5,E1,12/09/09,Reading,Doncaster,0,0,0.5464480874316939,0.2857142857142857,0.23094688221709006,0910,Reading0910,Doncaster0910,E10910,0.06310925536306966,0.5140093406910212,0.2687534552755911,0.21723720403338773,Burnley,Birmingham,1,1,0,1,1,1
6,E1,15/09/09,West Brom,Doncaster,3,1,0.6944444444444444,0.23809523809523808,0.13333333333333333,0910,West Brom0910,Doncaster0910,E10910,0.06587301587301586,0.6515264333581534,0.22338049143708116,0.12509307520476545,Tottenham,Portsmouth,3,0,0,0,0,2
7,E1,19/09/09,Doncaster,Ipswich,3,3,0.4166666666666667,0.30303030303030304,0.3472222222222222,0910,Doncaster0910,Ipswich0910,E10910,0.06691919191919204,0.3905325443786982,0.2840236686390532,0.32544378698224846,Chelsea,Blackburn,1,1,0,1,0,0
8,E1,26/09/09,Scunthorpe,Doncaster,2,2,0.45454545454545453,0.3076923076923077,0.30303030303030304,0910,Scunthorpe0910,Doncaster0910,E10910,0.06526806526806528,0.42669584245076586,0.2888402625820569,0.2844638949671772,Portsmouth,Wigan,1,1,0,1,0,1
9,E1,29/09/09,Doncaster,Swansea,0,0,0.4444444444444444,0.3076923076923077,0.3125,0910,Doncaster0910,Swansea0910,E10910,0.06463675213675213,0.41746111389864526,0.28901154039136984,0.29352734570998495,Arsenal,Wolves,1,1,0,1,0,2
10,E1,03/10/09,Sheffield United,Doncaster,1,1,0.6172839506172839,0.2777777777777778,0.16666666666666666,0910,Sheffield United0910,Doncaster0910,E10910,0.06172839506172845,0.5813953488372092,0.2616279069767442,0.15697674418604649,Everton,Hull,1,1,0,1,0,3
11,E1,17/10/09,Doncaster,Barnsley,0,1,0.47619047619047616,0.30303030303030304,0.2857142857142857,0910,Doncaster0910,Barnsley0910,E10910,0.06493506493506507,0.4471544715447154,0.2845528455284553,0.26829268292682923,West Ham,Burnley,0,3,0,0,0,4
12,E1,20/10/09,Doncaster,Peterboro,3,1,0.45454545454545453,0.30303030303030304,0.3076923076923077,0910,Doncaster0910,Peterboro0910,E10910,0.06526806526806528,0.42669584245076586,0.2844638949671772,0.2888402625820569,Wolves,Bolton,3,0,1,0,0,0
13,E1,24/10/09,Newcastle,Doncaster,2,1,0.6369426751592356,0.2777777777777778,0.15384615384615385,0910,Newcastle0910,Doncaster0910,E10910,0.0685666067831674,0.5960720381078533,0.2599536388414805,0.14397432305066613,Bolton,West Ham,3,0,0,0,1,1
14,E1,31/10/09,Doncaster,Blackpool,3,3,0.4166666666666667,0.30303030303030304,0.3472222222222222,0910,Doncaster0910,Blackpool0910,E10910,0.06691919191919204,0.3905325443786982,0.2840236686390532,0.32544378698224846,Man United,Fulham,1,1,0,1,0,0
15,E1,07/11/09,Plymouth,Doncaster,2,1,0.4,0.3076923076923077,0.35714285714285715,0910,Plymouth0910,Doncaster0910,E10910,0.06483516483516483,0.3756449948400413,0.28895768833849333,0.33539731682146545,Blackburn,Sunderland,3,0,0,0,0,1
16,E1,21/11/09,Doncaster,QPR,2,0,0.3333333333333333,0.3076923076923077,0.42016806722689076,0910,Doncaster0910,QPR0910,E10910,0.06119370825253179,0.3141116751269035,0.2899492385786802,0.39593908629441626,Arsenal,Portsmouth,3,0,1,0,0,0
17,E1,28/11/09,Nott'm Forest,Doncaster,4,1,0.5464480874316939,0.2857142857142857,0.23094688221709006,0910,Nott'm Forest0910,Doncaster0910,E10910,0.06310925536306966,0.5140093406910212,0.2687534552755911,0.21723720403338773,Arsenal,Bolton,3,0,0,0,1,1
