,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,Year,HomeYear,AwayYear,LeagueYear,B365J,B365HNorm,B365DNorm,B365ANorm,Favored,Unfavored,Homepts,Awaypts
14,E1,14/08/10,Doncaster,Bristol City,1,1,0.5235602094240838,0.29411764705882354,0.25,1011,Doncaster1011,Bristol City1011,E11011,0.06767785648290725,0.4903728275762602,0.2754741472560756,0.23415302516766426,Tottenham,Hull,1,1
38,E1,28/08/10,Doncaster,Hull,3,1,0.45454545454545453,0.30303030303030304,0.3076923076923077,1011,Doncaster1011,Hull1011,E11011,0.06526806526806528,0.42669584245076586,0.2844638949671772,0.2888402625820569,Arsenal,Man City,3,0
63,E1,14/09/10,Doncaster,Norwich,3,1,0.45454545454545453,0.3076923076923077,0.3076923076923077,1011,Doncaster1011,Norwich1011,E11011,0.06993006993007,0.4248366013071895,0.2875816993464052,0.2875816993464052,Chelsea,Wigan,3,0
72,E1,17/09/10,Doncaster,Leeds,0,0,0.4347826086956522,0.30303030303030304,0.3225806451612903,1011,Doncaster1011,Leeds1011,E11011,0.06039355688724557,0.41002004008016035,0.28577154308617236,0.30420841683366734,Chelsea,Liverpool,1,1
111,E1,02/10/10,Doncaster,Nott'm Forest,1,1,0.4166666666666667,0.30303030303030304,0.3472222222222222,1011,Doncaster1011,Nott'm Forest1011,E11011,0.06691919191919204,0.3905325443786982,0.2840236686390532,0.32544378698224846,Arsenal,Wolves,1,1
135,E1,19/10/10,Doncaster,Derby,2,3,0.47619047619047616,0.30303030303030304,0.2857142857142857,1011,Doncaster1011,Derby1011,E11011,0.06493506493506507,0.4471544715447154,0.2845528455284553,0.26829268292682923,Wigan,Sunderland,0,3
147,E1,23/10/10,Doncaster,Sheffield United,2,0,0.45454545454545453,0.30303030303030304,0.3076923076923077,1011,Doncaster1011,Sheffield United1011,E11011,0.06526806526806528,0.42669584245076586,0.2844638949671772,0.2888402625820569,Tottenham,Everton,3,0
172,E1,06/11/10,Doncaster,Millwall,2,1,0.45454545454545453,0.30303030303030304,0.3076923076923077,1011,Doncaster1011,Millwall1011,E11011,0.06526806526806528,0.42669584245076586,0.2844638949671772,0.2888402625820569,Liverpool,Portsmouth,3,0
209,E1,20/11/10,Doncaster,Swansea,1,1,0.3846153846153846,0.3076923076923077,0.37037037037037035,1011,Doncaster1011,Swansea1011,E11011,0.06267806267806275,0.3619302949061662,0.28954423592493295,0.34852546916890076,Arsenal,Bolton,1,1
246,E1,17/12/10,Doncaster,Middlesbrough,2,1,0.45454545454545453,0.29411764705882354,0.3125,1011,Doncaster1011,Middlesbrough1011,E11011,0.06116310160427796,0.42834645669291344,0.2771653543307087,0.29448818897637796,Arsenal,Liverpool,3,0
275,E1,01/01/11,Doncaster,Scunthorpe,3,0,0.5555555555555556,0.2857142857142857,0.2222222222222222,1011,Doncaster1011,Scunthorpe1011,E11011,0.06349206349206349,0.5223880597014926,0.26865671641791045,0.208955223880597,Man United,Wolves,3,0
299,E1,15/01/11,Doncaster,Reading,0,3,0.3846153846153846,0.3076923076923077,0.37037037037037035,1011,Doncaster1011,Reading1011,E11011,0.06267806267806275,0.3619302949061662,0.28954423592493295,0.34852546916890076,Chelsea,Blackburn,0,3
320,E1,25/01/11,Doncaster,Barnsley,0,2,0.5128205128205129,0.29411764705882354,0.2631578947368421,1011,Doncaster1011,Barnsley1011,E11011,0.0700960546161784,0.47922848664688433,0.27485163204747776,0.245919881305638,Man United,Chelsea,0,3
331,E1,01/02/11,Doncaster,Burnley,1,0,0.3448275862068966,0.30303030303030304,0.4166666666666667,1011,Doncaster1011,Burnley1011,E11011,0.0645245559038663,0.3239263803680982,0.2846625766871166,0.3914110429447853,Man City,Birmingham,3,0
355,E1,12/02/11,Doncaster,Portsmouth,0,2,0.4347826086956522,0.30303030303030304,0.3225806451612903,1011,Doncaster1011,Portsmouth1011,E11011,0.06039355688724557,0.41002004008016035,0.28577154308617236,0.30420841683366734,Liverpool,Burnley,0,3
363,E1,15/02/11,Doncaster,Ipswich,0,6,0.4,0.3076923076923077,0.35714285714285715,1011,Doncaster1011,Ipswich1011,E11011,0.06483516483516483,0.3756449948400413,0.28895768833849333,0.33539731682146545,Fulham,West Ham,0,3
392,E1,26/02/11,Doncaster,Watford,1,1,0.3846153846153846,0.3076923076923077,0.37037037037037035,1011,Doncaster1011,Watford1011,E11011,0.06267806267806275,0.3619302949061662,0.28954423592493295,0.34852546916890076,Barnsley,Coventry,1,1
419,E1,08/03/11,Doncaster,Coventry,1,1,0.47619047619047616,0.29411764705882354,0.29411764705882354,1011,Doncaster1011,Coventry1011,E11011,0.06442577030812324,0.4473684210526316,0.27631578947368424,0.27631578947368424,Leicester,Barnsley,1,1
445,E1,19/03/11,Doncaster,QPR,0,1,0.26666666666666666,0.30303030303030304,0.5,1011,Doncaster1011,QPR1011,E11011,0.06969696969696981,0.24929178470254953,0.28328611898017,0.4674220963172804,Preston,Swansea,0,3
469,E1,09/04/11,Doncaster,Cardiff,1,3,0.3125,0.3076923076923077,0.4444444444444444,1011,Doncaster1011,Cardiff1011,E11011,0.06463675213675213,0.29352734570998495,0.28901154039136984,0.41746111389864526,Middlesbrough,West Brom,0,3
481,E1,12/04/11,Doncaster,Preston,1,1,0.4444444444444444,0.3076923076923077,0.3125,1011,Doncaster1011,Preston1011,E11011,0.06463675213675213,0.41746111389864526,0.28901154039136984,0.29352734570998495,Reading,Watford,1,1
506,E1,22/04/11,Doncaster,Crystal Palace,0,0,0.4444444444444444,0.29411764705882354,0.3225806451612903,1011,Doncaster1011,Crystal Palace1011,E11011,0.06114273666455827,0.41883568448241604,0.27717067355454006,0.3039936419630439,Preston,West Brom,1,1
530,E1,30/04/11,Doncaster,Leicester,1,1,0.3125,0.29411764705882354,0.45454545454545453,1011,Doncaster1011,Leicester1011,E11011,0.06116310160427818,0.2944881889763779,0.27716535433070866,0.4283464566929133,Nott'm Forest,Barnsley,1,1
8,E1,07/08/10,Preston,Doncaster,0,2,0.4444444444444444,0.3076923076923077,0.3125,1011,Preston1011,Doncaster1011,E11011,0.06463675213675213,0.41746111389864526,0.28901154039136984,0.29352734570998495,Man United,Birmingham,0,3
26,E1,21/08/10,Cardiff,Doncaster,4,0,0.5464480874316939,0.2857142857142857,0.23094688221709006,1011,Cardiff1011,Doncaster1011,E11011,0.06310925536306966,0.5140093406910212,0.2687534552755911,0.21723720403338773,Blackburn,West Ham,3,0
59,E1,11/09/10,Watford,Doncaster,2,2,0.42016806722689076,0.3076923076923077,0.3333333333333333,1011,Watford1011,Doncaster1011,E11011,0.06119370825253179,0.39593908629441626,0.2899492385786802,0.3141116751269035,Liverpool,Hull,1,1
92,E1,25/09/10,QPR,Doncaster,3,0,0.5988023952095809,0.2857142857142857,0.18181818181818182,1011,QPR1011,Doncaster1011,E11011,0.06633486274204836,0.5615519253208868,0.26794049008168025,0.1705075845974329,Bolton,Everton,3,0
98,E1,28/09/10,Coventry,Doncaster,2,1,0.4,0.3076923076923077,0.35714285714285715,1011,Coventry1011,Doncaster1011,E11011,0.06483516483516483,0.3756449948400413,0.28895768833849333,0.33539731682146545,Burnley,Hull,3,0
130,E1,16/10/10,Scunthorpe,Doncaster,1,3,0.3802281368821293,0.3076923076923077,0.3802281368821293,1011,Scunthorpe1011,Doncaster1011,E11011,0.06814858145656633,0.3559693318729463,0.28806133625410735,0.3559693318729463,Blackburn,Stoke,0,3
165,E1,30/10/10,Reading,Doncaster,4,3,0.5555555555555556,0.2857142857142857,0.2222222222222222,1011,Reading1011,Doncaster1011,E11011,0.06349206349206349,0.5223880597014926,0.26865671641791045,0.208955223880597,Liverpool,Wigan,3,0
180,E1,09/11/10,Burnley,Doncaster,1,1,0.5235602094240838,0.29411764705882354,0.25,1011,Burnley1011,Doncaster1011,E11011,0.06767785648290725,0.4903728275762602,0.2754741472560756,0.23415302516766426,Man City,Stoke,1,1
200,E1,13/11/10,Portsmouth,Doncaster,2,3,0.5,0.30303030303030304,0.26666666666666666,1011,Portsmouth1011,Doncaster1011,E11011,0.06969696969696959,0.4674220963172805,0.28328611898017003,0.2492917847025496,Chelsea,Sunderland,0,3
220,E1,27/11/10,Crystal Palace,Doncaster,1,0,0.36363636363636365,0.30303030303030304,0.4,1011,Crystal Palace1011,Doncaster1011,E11011,0.06666666666666687,0.34090909090909083,0.28409090909090906,0.37499999999999994,Tottenham,Birmingham,3,0
241,E1,11/12/10,Leicester,Doncaster,5,1,0.5555555555555556,0.2857142857142857,0.2222222222222222,1011,Leicester1011,Doncaster1011,E11011,0.06349206349206349,0.5223880597014926,0.26865671641791045,0.208955223880597,Chelsea,Arsenal,3,0
294,E1,03/01/11,Sheffield United,Doncaster,2,2,0.4,0.3076923076923077,0.35714285714285715,1011,Sheffield United1011,Doncaster1011,E11011,0.06483516483516483,0.3756449948400413,0.28895768833849333,0.33539731682146545,Everton,Bolton,1,1
312,E1,22/01/11,Ipswich,Doncaster,3,2,0.47619047619047616,0.29411764705882354,0.29411764705882354,1011,Ipswich1011,Doncaster1011,E11011,0.06442577030812324,0.4473684210526316,0.27631578947368424,0.27631578947368424,West Ham,Stoke,3,0
344,E1,05/02/11,Millwall,Doncaster,1,0,0.5464480874316939,0.2857142857142857,0.23094688221709006,1011,Millwall1011,Doncaster1011,E11011,0.06310925536306966,0.5140093406910212,0.2687534552755911,0.21723720403338773,Aston Villa,Portsmouth,3,0
377,E1,19/02/11,Swansea,Doncaster,3,0,0.6369426751592356,0.2631578947368421,0.16666666666666666,1011,Swansea1011,Doncaster1011,E11011,0.06676723656274453,0.5970774629445346,0.24668726758497875,0.15623526947048655,Man United,Stoke,3,0
382,E1,22/02/11,Norwich,Doncaster,1,1,0.7142857142857143,0.2222222222222222,0.125,1011,Norwich1011,Doncaster1011,E11011,0.06150793650793651,0.6728971962616822,0.20934579439252335,0.11775700934579439,Crystal Palace,Plymouth,1,1
401,E1,01/03/11,Derby,Doncaster,1,3,0.5235602094240838,0.29411764705882354,0.25,1011,Derby1011,Doncaster1011,E11011,0.06767785648290725,0.4903728275762602,0.2754741472560756,0.23415302516766426,Scunthorpe,Derby,0,3
408,E1,05/03/11,Leeds,Doncaster,5,2,0.6172839506172839,0.25,0.2,1011,Leeds1011,Doncaster1011,E11011,0.06728395061728398,0.578368999421631,0.23423944476576056,0.18739155581260844,Ipswich,Crystal Palace,3,0
432,E1,12/03/11,Nott'm Forest,Doncaster,0,0,0.6369426751592356,0.2631578947368421,0.16666666666666666,1011,Nott'm Forest1011,Doncaster1011,E11011,0.06676723656274453,0.5970774629445346,0.24668726758497875,0.15623526947048655,Ipswich,Preston,1,1
454,E1,02/04/11,Bristol City,Doncaster,1,0,0.5235602094240838,0.29411764705882354,0.25,1011,Bristol City1011,Doncaster1011,E11011,0.06767785648290725,0.4903728275762602,0.2754741472560756,0.23415302516766426,Ipswich,Nott'm Forest,3,0
497,E1,16/04/11,Hull,Doncaster,3,1,0.5555555555555556,0.2857142857142857,0.2222222222222222,1011,Hull1011,Doncaster1011,E11011,0.06349206349206349,0.5223880597014926,0.26865671641791045,0.208955223880597,Newcastle,QPR,3,0
