,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,Year,HomeYear,AwayYear,LeagueYear,B365J,B365HNorm,B365DNorm,B365ANorm,Favored,Unfavored,Homepts,Awaypts
4,E0,15/08/09,Everton,Arsenal,1,6,0.3125,0.3076923076923077,0.4347826086956522,0910,Everton0910,Arsenal0910,E00910,0.054974916387959816,0.29621557360808404,0.2916584109371904,0.41212601545472566,Arsenal,Everton,0,3
34,E0,30/08/09,Everton,Wigan,2,1,0.5780346820809249,0.2777777777777778,0.19047619047619047,0910,Everton0910,Wigan0910,E00910,0.046288650334893156,0.5524619634322796,0.2654886657605121,0.1820493708072083,Everton,Wigan,3,0
53,E0,20/09/09,Everton,Blackburn,3,0,0.5555555555555556,0.30303030303030304,0.2,0910,Everton0910,Blackburn0910,E00910,0.05858585858585852,0.5248091603053435,0.28625954198473286,0.18893129770992367,Everton,Blackburn,3,0
73,E0,04/10/09,Everton,Stoke,1,1,0.6369426751592356,0.25,0.16666666666666666,0910,Everton0910,Stoke0910,E00910,0.05360934182590227,0.6045340050377834,0.23727959697732998,0.15818639798488665,Everton,Stoke,1,1
78,E0,17/10/09,Everton,Wolves,1,1,0.6944444444444444,0.23809523809523808,0.15384615384615385,0910,Everton0910,Wolves0910,E00910,0.08638583638583652,0.6392245012644,0.21916268614779427,0.14161281258780556,Everton,Wolves,1,1
99,E0,31/10/09,Everton,Aston Villa,1,1,0.4,0.3076923076923077,0.3472222222222222,0910,Everton0910,Aston Villa0910,E00910,0.05491452991452994,0.3791776382418473,0.29167510633988253,0.32914725541827017,Everton,Aston Villa,1,1
137,E0,29/11/09,Everton,Liverpool,0,2,0.2857142857142857,0.29411764705882354,0.47619047619047616,0910,Everton0910,Liverpool0910,E00910,0.056022408963585235,0.27055702917771884,0.2785145888594165,0.4509283819628648,Liverpool,Everton,0,3
147,E0,06/12/09,Everton,Tottenham,2,2,0.3472222222222222,0.3076923076923077,0.4,0910,Everton0910,Tottenham0910,E00910,0.05491452991452994,0.32914725541827017,0.29167510633988253,0.3791776382418473,Tottenham,Everton,1,1
173,E0,20/12/09,Everton,Birmingham,1,1,0.5464480874316939,0.2857142857142857,0.2222222222222222,0910,Everton0910,Birmingham0910,E00910,0.05438459536820184,0.5182625863770978,0.27097729516288255,0.21076011846001974,Everton,Birmingham,1,1
188,E0,28/12/09,Everton,Burnley,2,0,0.6369426751592356,0.2631578947368421,0.15384615384615385,0910,Everton0910,Burnley0910,E00910,0.05394672374223175,0.6043404859191113,0.24968804286658017,0.14597147121430842,Everton,Burnley,3,0
201,E0,16/01/10,Everton,Man City,2,0,0.3472222222222222,0.3076923076923077,0.4,0910,Everton0910,Man City0910,E00910,0.05491452991452994,0.32914725541827017,0.29167510633988253,0.3791776382418473,Man City,Everton,3,0
219,E0,27/01/10,Everton,Sunderland,2,0,0.5988023952095809,0.2777777777777778,0.18181818181818182,0910,Everton0910,Sunderland0910,E00910,0.05839835480554045,0.5657627796668286,0.26245106723433437,0.17178615309883705,Everton,Sunderland,3,0
249,E0,10/02/10,Everton,Chelsea,2,1,0.2,0.2777777777777778,0.5780346820809249,0910,Everton0910,Chelsea0910,E00910,0.055812459858702645,0.1894275807530872,0.26309386215706554,0.5474785570898474,Chelsea,Everton,3,0
255,E0,20/02/10,Everton,Man United,3,1,0.2222222222222222,0.2777777777777778,0.5555555555555556,0910,Everton0910,Man United0910,E00910,0.05555555555555558,0.21052631578947367,0.2631578947368421,0.5263157894736842,Man United,Everton,3,0
276,E0,07/03/10,Everton,Hull,5,1,0.7352941176470588,0.2222222222222222,0.1,0910,Everton0910,Hull0910,E00910,0.05751633986928106,0.6953028430160691,0.21013597033374534,0.09456118665018541,Everton,Hull,3,0
