,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,Year,HomeYear,AwayYear,LeagueYear,B365J,B365HNorm,B365DNorm,B365ANorm,Favored,Unfavored,Homepts,Awaypts,Win,Draw,WinStreak,UndefStreak
0,E2,07/08/10,Exeter,Colchester,2,2,0.4,0.3076923076923077,0.35714285714285715,1011,Exeter1011,Colchester1011,E21011,0.06483516483516483,0.3756449948400413,0.28895768833849333,0.33539731682146545,Bolton,Sunderland,1,1,0,1,0,0
1,E2,21/08/10,Exeter,Bristol Rvs,2,2,0.45454545454545453,0.29411764705882354,0.3125,1011,Exeter1011,Bristol Rvs1011,E21011,0.06116310160427796,0.42834645669291344,0.2771653543307087,0.29448818897637796,Tottenham,West Ham,1,1,0,1,0,1
2,E2,28/08/10,Leyton Orient,Exeter,3,0,0.4444444444444444,0.3076923076923077,0.3125,1011,Leyton Orient1011,Exeter1011,E21011,0.06463675213675213,0.41746111389864526,0.28901154039136984,0.29352734570998495,Man United,Tottenham,3,0,0,0,0,2
3,E2,04/09/10,Exeter,Charlton,1,0,0.3472222222222222,0.30303030303030304,0.4166666666666667,1011,Exeter1011,Charlton1011,E21011,0.06691919191919204,0.32544378698224846,0.2840236686390532,0.3905325443786982,Bolton,Stoke,3,0,1,0,0,0
4,E2,11/09/10,Hartlepool,Exeter,2,3,0.47619047619047616,0.30303030303030304,0.2857142857142857,1011,Hartlepool1011,Exeter1011,E21011,0.06493506493506507,0.4471544715447154,0.2845528455284553,0.26829268292682923,Tottenham,Burnley,0,3,1,0,1,1
5,E2,18/09/10,Exeter,Peterboro,2,2,0.3225806451612903,0.29411764705882354,0.4444444444444444,1011,Exeter1011,Peterboro1011,E21011,0.06114273666455827,0.3039936419630439,0.27717067355454006,0.41883568448241604,Everton,Stoke,1,1,0,1,2,2
6,E2,21/09/10,Dag and Red,Exeter,1,1,0.4444444444444444,0.29411764705882354,0.3225806451612903,1011,Dag and Red1011,Exeter1011,E21011,0.06114273666455827,0.41883568448241604,0.27717067355454006,0.3039936419630439,Liverpool,Sunderland,1,1,0,1,0,3
7,E2,25/09/10,Yeovil,Exeter,1,3,0.4444444444444444,0.3076923076923077,0.3125,1011,Yeovil1011,Exeter1011,E21011,0.06463675213675213,0.41746111389864526,0.28901154039136984,0.29352734570998495,Arsenal,West Ham,0,3,1,0,0,4
8,E2,28/09/10,Bournemouth,Exeter,3,0,0.5235602094240838,0.29411764705882354,0.25,1011,Bournemouth1011,Exeter1011,E21011,0.06767785648290725,0.4903728275762602,0.2754741472560756,0.23415302516766426,Arsenal,Tottenham,3,0,0,0,1,5
9,E2,02/10/10,Exeter,Rochdale,1,0,0.4347826086956522,0.29411764705882354,0.3333333333333333,1011,Exeter1011,Rochdale1011,E21011,0.06223358908780896,0.4093097913322633,0.27688603531300165,0.31380417335473515,Arsenal,Wolves,3,0,1,0,0,0
10,E2,09/10/10,Walsall,Exeter,2,1,0.4,0.3076923076923077,0.35714285714285715,1011,Walsall1011,Exeter1011,E21011,0.06483516483516483,0.3756449948400413,0.28895768833849333,0.33539731682146545,Blackburn,Stoke,3,0,0,0,1,1
11,E2,16/10/10,Exeter,Carlisle,2,1,0.3846153846153846,0.3076923076923077,0.37037037037037035,1011,Exeter1011,Carlisle1011,E21011,0.06267806267806275,0.3619302949061662,0.28954423592493295,0.34852546916890076,Arsenal,Chelsea,3,0,1,0,0,0
12,E2,23/10/10,Milton Keynes Dons,Exeter,1,0,0.5,0.30303030303030304,0.26666666666666666,1011,Milton Keynes Dons1011,Exeter1011,E21011,0.06969696969696959,0.4674220963172805,0.28328611898017003,0.2492917847025496,Birmingham,West Ham,3,0,0,0,1,1
13,E2,30/10/10,Exeter,Brentford,2,4,0.4347826086956522,0.30303030303030304,0.3225806451612903,1011,Exeter1011,Brentford1011,E21011,0.06039355688724557,0.41002004008016035,0.28577154308617236,0.30420841683366734,Bolton,West Ham,0,3,0,0,0,0
14,E2,02/11/10,Brighton,Exeter,3,0,0.6666666666666666,0.25,0.14285714285714285,1011,Brighton1011,Exeter1011,E21011,0.059523809523809534,0.6292134831460674,0.23595505617977527,0.1348314606741573,Tottenham,Blackburn,3,0,0,0,0,0
