,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,Year,HomeYear,AwayYear,LeagueYear,B365J,B365HNorm,B365DNorm,B365ANorm,Favored,Unfavored,Homepts,Awaypts,Win,Draw,WinStreak,UndefStreak
0,E2,07/08/10,Notts County,Huddersfield,0,3,0.4,0.30303030303030304,0.36363636363636365,1011,Notts County1011,Huddersfield1011,E21011,0.06666666666666687,0.37499999999999994,0.28409090909090906,0.34090909090909083,Chelsea,Hull,0,3,1,0,0,0
1,E2,14/08/10,Huddersfield,Tranmere,0,0,0.6944444444444444,0.23094688221709006,0.14285714285714285,1011,Huddersfield1011,Tranmere1011,E21011,0.06824846951867736,0.6500776404176282,0.2161921021250311,0.13373025745734066,Man City,Wolves,1,1,0,1,1,1
2,E2,21/08/10,Peterboro,Huddersfield,4,2,0.4166666666666667,0.30303030303030304,0.3472222222222222,1011,Peterboro1011,Huddersfield1011,E21011,0.06691919191919204,0.3905325443786982,0.2840236686390532,0.32544378698224846,Blackburn,West Ham,3,0,0,0,0,2
3,E2,28/08/10,Huddersfield,Charlton,3,1,0.47619047619047616,0.30303030303030304,0.2857142857142857,1011,Huddersfield1011,Charlton1011,E21011,0.06493506493506507,0.4471544715447154,0.2845528455284553,0.26829268292682923,Sunderland,Hull,3,0,1,0,0,0
4,E2,04/09/10,Huddersfield,Bournemouth,2,2,0.5988023952095809,0.26666666666666666,0.2,1011,Huddersfield1011,Bournemouth1011,E21011,0.06546906187624746,0.562008242787561,0.2502810041213938,0.18771075309104535,Sunderland,Burnley,1,1,0,1,1,1
5,E2,11/09/10,Leyton Orient,Huddersfield,1,2,0.3333333333333333,0.3076923076923077,0.42016806722689076,1011,Leyton Orient1011,Huddersfield1011,E21011,0.06119370825253179,0.3141116751269035,0.2899492385786802,0.39593908629441626,Chelsea,Wigan,0,3,1,0,0,2
6,E2,18/09/10,Huddersfield,Yeovil,4,2,0.6535947712418301,0.25,0.16666666666666666,1011,Huddersfield1011,Yeovil1011,E21011,0.0702614379084967,0.6106870229007634,0.233587786259542,0.15572519083969466,West Ham,Fulham,3,0,1,0,1,3
7,E2,25/09/10,Swindon,Huddersfield,1,0,0.3802281368821293,0.3076923076923077,0.3802281368821293,1011,Swindon1011,Huddersfield1011,E21011,0.06814858145656633,0.3559693318729463,0.28806133625410735,0.3559693318729463,Man City,Fulham,3,0,0,0,2,4
8,E2,28/09/10,Rochdale,Huddersfield,3,0,0.37037037037037035,0.29411764705882354,0.4,1011,Rochdale1011,Huddersfield1011,E21011,0.06448801742919397,0.34793286942284074,0.2762996316004912,0.375767498976668,Sunderland,West Ham,3,0,0,0,0,0
9,E2,02/10/10,Huddersfield,Bristol Rvs,0,1,0.6369426751592356,0.2631578947368421,0.16666666666666666,1011,Huddersfield1011,Bristol Rvs1011,E21011,0.06676723656274453,0.5970774629445346,0.24668726758497875,0.15623526947048655,Chelsea,Man United,0,3,0,0,0,0
10,E2,09/10/10,Colchester,Huddersfield,0,3,0.4166666666666667,0.30303030303030304,0.3448275862068966,1011,Colchester1011,Huddersfield1011,E21011,0.0645245559038663,0.3914110429447853,0.2846625766871166,0.3239263803680982,Arsenal,Sunderland,0,3,1,0,0,0
11,E2,16/10/10,Huddersfield,Southampton,2,0,0.3846153846153846,0.30303030303030304,0.3802281368821293,1011,Huddersfield1011,Southampton1011,E21011,0.06787382452781676,0.36016931568245014,0.2837697638710213,0.3560609204465287,Liverpool,Everton,3,0,1,0,1,1
12,E2,23/10/10,Plymouth,Huddersfield,2,1,0.3333333333333333,0.29411764705882354,0.4347826086956522,1011,Plymouth1011,Huddersfield1011,E21011,0.06223358908780918,0.3138041733547351,0.2768860353130016,0.40930979133226325,Man City,Bolton,3,0,0,0,2,2
13,E2,30/10/10,Huddersfield,Walsall,1,0,0.6944444444444444,0.23809523809523808,0.13333333333333333,1011,Huddersfield1011,Walsall1011,E21011,0.06587301587301586,0.6515264333581534,0.22338049143708116,0.12509307520476545,Man United,Wolves,3,0,1,0,0,0
14,E2,02/11/10,Sheffield Weds,Huddersfield,0,2,0.4166666666666667,0.29411764705882354,0.35714285714285715,1011,Sheffield Weds1011,Huddersfield1011,E21011,0.06792717086834732,0.39016393442622954,0.2754098360655738,0.3344262295081967,Chelsea,West Ham,0,3,1,0,1,1
15,E2,13/11/10,Oldham,Huddersfield,1,0,0.3448275862068966,0.3076923076923077,0.4166666666666667,1011,Oldham1011,Huddersfield1011,E21011,0.06918656056587102,0.3225139549307422,0.28778168286127764,0.3897043622079801,Arsenal,Aston Villa,3,0,0,0,2,2
16,E2,20/11/10,Huddersfield,Exeter,0,1,0.6172839506172839,0.26666666666666666,0.18181818181818182,1011,Huddersfield1011,Exeter1011,E21011,0.06576879910213251,0.5791912384161751,0.2502106149957877,0.17059814658803707,Man United,Wigan,0,3,0,0,0,0
17,E2,23/11/10,Huddersfield,Milton Keynes Dons,4,1,0.5464480874316939,0.2857142857142857,0.23094688221709006,1011,Huddersfield1011,Milton Keynes Dons1011,E21011,0.06310925536306966,0.5140093406910212,0.2687534552755911,0.21723720403338773,Aston Villa,West Ham,3,0,1,0,0,0
18,E2,11/12/10,Huddersfield,Brighton,2,1,0.45454545454545453,0.30303030303030304,0.3125,1011,Huddersfield1011,Brighton1011,E21011,0.07007575757575757,0.4247787610619469,0.2831858407079646,0.2920353982300885,Tottenham,Birmingham,3,0,1,0,1,1
19,E2,26/12/10,Huddersfield,Hartlepool,0,1,0.5988023952095809,0.27027027027027023,0.2,1011,Huddersfield1011,Hartlepool1011,E21011,0.06907266547985103,0.5601138393532957,0.25280813830270366,0.18707802234400076,Man City,Portsmouth,0,3,0,0,2,2
20,E2,28/12/10,Southampton,Huddersfield,4,1,0.5464480874316939,0.2857142857142857,0.23094688221709006,1011,Southampton1011,Huddersfield1011,E21011,0.06310925536306966,0.5140093406910212,0.2687534552755911,0.21723720403338773,Fulham,Portsmouth,3,0,0,0,0,0
21,E2,01/01/11,Carlisle,Huddersfield,2,2,0.4,0.3076923076923077,0.35714285714285715,1011,Carlisle1011,Huddersfield1011,E21011,0.06483516483516483,0.3756449948400413,0.28895768833849333,0.33539731682146545,Man United,Portsmouth,1,1,0,1,0,0
22,E2,03/01/11,Huddersfield,Sheffield Weds,1,0,0.47619047619047616,0.29411764705882354,0.29411764705882354,1011,Huddersfield1011,Sheffield Weds1011,E21011,0.06442577030812324,0.4473684210526316,0.27631578947368424,0.27631578947368424,Chelsea,Everton,3,0,1,0,0,1
23,E2,11/01/11,Huddersfield,Plymouth,3,2,0.6369426751592356,0.25,0.18181818181818182,1011,Huddersfield1011,Plymouth1011,E21011,0.0687608569774174,0.5959637003927942,0.23391575240417176,0.17012054720303402,Man United,West Ham,3,0,1,0,1,2
24,E2,15/01/11,Walsall,Huddersfield,2,4,0.2777777777777778,0.2857142857142857,0.5,1011,Walsall1011,Huddersfield1011,E21011,0.06349206349206349,0.2611940298507463,0.26865671641791045,0.4701492537313433,Portsmouth,Birmingham,0,3,1,0,2,3
25,E2,22/01/11,Huddersfield,Colchester,0,0,0.5714285714285714,0.2777777777777778,0.2173913043478261,1011,Huddersfield1011,Colchester1011,E21011,0.06659765355417524,0.5357489485603365,0.2604335166612747,0.2038175347783889,Tottenham,Blackburn,1,1,0,1,3,4
26,E2,01/02/11,Huddersfield,Carlisle,2,0,0.5464480874316939,0.2857142857142857,0.23809523809523808,1011,Huddersfield1011,Carlisle1011,E21011,0.07025761124121765,0.5105762217359592,0.26695842450765866,0.2224653537563822,Hull,Fulham,3,0,1,0,0,5
27,E2,05/02/11,Exeter,Huddersfield,1,4,0.3472222222222222,0.29411764705882354,0.42016806722689076,1011,Exeter1011,Huddersfield1011,E21011,0.06150793650793651,0.32710280373831774,0.27707531610775155,0.3958218801539307,Stoke,Hull,0,3,1,0,1,6
28,E2,12/02/11,Huddersfield,Oldham,0,0,0.5555555555555556,0.2857142857142857,0.2222222222222222,1011,Huddersfield1011,Oldham1011,E21011,0.06349206349206349,0.5223880597014926,0.26865671641791045,0.208955223880597,Arsenal,Tottenham,1,1,0,1,2,7
29,E2,19/02/11,Bournemouth,Huddersfield,1,1,0.4347826086956522,0.29411764705882354,0.3333333333333333,1011,Bournemouth1011,Huddersfield1011,E21011,0.06223358908780896,0.4093097913322633,0.27688603531300165,0.31380417335473515,Hull,Sunderland,1,1,0,1,0,8
