,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,Year,HomeYear,AwayYear,LeagueYear,B365J,B365HNorm,B365DNorm,B365ANorm,Favored,Unfavored,Homepts,Awaypts
14,E0,19/08/09,Hull,Tottenham,1,5,0.26666666666666666,0.2857142857142857,0.5,0910,Hull0910,Tottenham0910,E00910,0.05238095238095242,0.25339366515837103,0.27149321266968324,0.4751131221719457,Tottenham,Hull,0,3
18,E0,22/08/09,Hull,Bolton,1,0,0.3846153846153846,0.3076923076923077,0.35714285714285715,0910,Hull0910,Bolton0910,E00910,0.0494505494505495,0.3664921465968586,0.2931937172774869,0.3403141361256544,Hull,Bolton,3,0
50,E0,19/09/09,Hull,Birmingham,0,1,0.4166666666666667,0.3076923076923077,0.3333333333333333,0910,Hull0910,Birmingham0910,E00910,0.05769230769230771,0.393939393939394,0.2909090909090909,0.3151515151515151,Hull,Birmingham,0,3
68,E0,03/10/09,Hull,Wigan,2,1,0.3472222222222222,0.30303030303030304,0.4,0910,Hull0910,Wigan0910,E00910,0.05025252525252544,0.33060831930752577,0.28853089685020433,0.38086078384226973,Wigan,Hull,3,0
89,E0,24/10/09,Hull,Portsmouth,0,0,0.3846153846153846,0.3125,0.35714285714285715,0910,Hull0910,Portsmouth0910,E00910,0.05425824175824179,0.3648208469055374,0.29641693811074915,0.33876221498371334,Hull,Portsmouth,1,1
113,E0,08/11/09,Hull,Stoke,2,1,0.36363636363636365,0.30303030303030304,0.3846153846153846,0910,Hull0910,Stoke0910,E00910,0.05128205128205132,0.3458980044345898,0.28824833702882485,0.3658536585365853,Stoke,Hull,3,0
120,E0,21/11/09,Hull,West Ham,3,3,0.3472222222222222,0.3076923076923077,0.4,0910,Hull0910,West Ham0910,E00910,0.05491452991452994,0.32914725541827017,0.29167510633988253,0.3791776382418473,West Ham,Hull,1,1
128,E0,25/11/09,Hull,Everton,3,2,0.2857142857142857,0.30303030303030304,0.46511627906976744,0910,Hull0910,Everton0910,E00910,0.05386086781435617,0.2711119602598395,0.28754298815437523,0.44134505158578524,Everton,Hull,3,0
153,E0,12/12/09,Hull,Blackburn,0,0,0.35714285714285715,0.3076923076923077,0.3846153846153846,0910,Hull0910,Blackburn0910,E00910,0.0494505494505495,0.3403141361256544,0.2931937172774869,0.3664921465968586,Blackburn,Hull,1,1
185,E0,27/12/09,Hull,Man United,1,3,0.125,0.23809523809523808,0.7142857142857143,0910,Hull0910,Man United0910,E00910,0.07738095238095233,0.11602209944751382,0.22099447513812154,0.6629834254143647,Man United,Hull,0,3
223,E0,30/01/10,Hull,Wolves,2,2,0.4444444444444444,0.3076923076923077,0.3076923076923077,0910,Hull0910,Wolves0910,E00910,0.05982905982905984,0.4193548387096774,0.2903225806451613,0.2903225806451613,Hull,Wolves,1,1
230,E0,02/02/10,Hull,Chelsea,1,1,0.07692307692307693,0.2,0.7751937984496123,0910,Hull0910,Chelsea0910,E00910,0.052116875372689275,0.07311267286329631,0.19009294944457042,0.7367943776921333,Chelsea,Hull,1,1
234,E0,06/02/10,Hull,Man City,2,1,0.18181818181818182,0.29411764705882354,0.5780346820809249,0910,Hull0910,Man City0910,E00910,0.05397051095793026,0.1725078452649793,0.2790568085168783,0.5484353462181424,Man City,Hull,3,0
285,E0,13/03/10,Hull,Arsenal,1,2,0.13333333333333333,0.2222222222222222,0.7142857142857143,0910,Hull0910,Arsenal0910,E00910,0.06984126984126982,0.12462908011869436,0.20771513353115725,0.6676557863501484,Arsenal,Hull,0,3
310,E0,27/03/10,Hull,Fulham,2,0,0.4166666666666667,0.3076923076923077,0.3333333333333333,0910,Hull0910,Fulham0910,E00910,0.05769230769230771,0.393939393939394,0.2909090909090909,0.3151515151515151,Hull,Fulham,3,0
327,E0,10/04/10,Hull,Burnley,1,4,0.5780346820809249,0.2777777777777778,0.2,0910,Hull0910,Burnley0910,E00910,0.055812459858702645,0.5474785570898474,0.26309386215706554,0.1894275807530872,Hull,Burnley,0,3
347,E0,21/04/10,Hull,Aston Villa,0,2,0.2857142857142857,0.29411764705882354,0.47619047619047616,0910,Hull0910,Aston Villa0910,E00910,0.056022408963585235,0.27055702917771884,0.2785145888594165,0.4509283819628648,Aston Villa,Hull,0,3
350,E0,24/04/10,Hull,Sunderland,0,1,0.42016806722689076,0.29411764705882354,0.3333333333333333,0910,Hull0910,Sunderland0910,E00910,0.04761904761904767,0.40106951871657753,0.2807486631016043,0.3181818181818181,Hull,Sunderland,0,3
376,E0,09/05/10,Hull,Liverpool,0,0,0.15384615384615385,0.2631578947368421,0.6369426751592356,0910,Hull0910,Liverpool0910,E00910,0.05394672374223153,0.14597147121430845,0.24968804286658022,0.6043404859191114,Liverpool,Hull,1,1
3,E0,15/08/09,Chelsea,Hull,2,1,0.8547008547008548,0.15384615384615385,0.047619047619047616,0910,Chelsea0910,Hull0910,E00910,0.05616605616605619,0.8092485549132948,0.14566473988439307,0.04508670520231214,Chelsea,Hull,3,0
32,E0,29/08/09,Wolves,Hull,1,1,0.47619047619047616,0.30303030303030304,0.2777777777777778,0910,Wolves0910,Hull0910,E00910,0.05699855699855716,0.4505119453924914,0.28668941979522183,0.26279863481228666,Wolves,Hull,1,1
41,E0,12/09/09,Sunderland,Hull,4,1,0.5714285714285714,0.2857142857142857,0.2,0910,Sunderland0910,Hull0910,E00910,0.05714285714285716,0.5405405405405405,0.27027027027027023,0.1891891891891892,Sunderland,Hull,3,0
59,E0,26/09/09,Liverpool,Hull,6,1,0.8771929824561404,0.13333333333333333,0.043478260869565216,0910,Liverpool0910,Hull0910,E00910,0.054004576659038905,0.832247792734115,0.12650166449558548,0.04125054277029961,Liverpool,Hull,3,0
85,E0,19/10/09,Fulham,Hull,2,0,0.5988023952095809,0.2777777777777778,0.18181818181818182,0910,Fulham0910,Hull0910,E00910,0.05839835480554045,0.5657627796668286,0.26245106723433437,0.17178615309883705,Fulham,Hull,3,0
98,E0,31/10/09,Burnley,Hull,2,0,0.5235602094240838,0.29411764705882354,0.23809523809523808,0910,Burnley0910,Hull0910,E00910,0.05577309457814539,0.4959022086400889,0.2785803583831088,0.22551743297680232,Burnley,Hull,3,0
132,E0,28/11/09,Man City,Hull,1,1,0.7751937984496123,0.18181818181818182,0.09090909090909091,0910,Man City0910,Hull0910,E00910,0.04792107117688493,0.7397444519166108,0.17350369872225962,0.08675184936112981,Man City,Hull,1,1
140,E0,05/12/09,Aston Villa,Hull,3,0,0.6944444444444444,0.23094688221709006,0.13333333333333333,0910,Aston Villa0910,Hull0910,E00910,0.05872465999486787,0.6559254456657416,0.21813686876643598,0.1259376855678224,Aston Villa,Hull,3,0
167,E0,19/12/09,Arsenal,Hull,3,0,0.819672131147541,0.16666666666666666,0.06666666666666667,0910,Arsenal0910,Hull0910,E00910,0.0530054644808744,0.7784120394395433,0.15827711468604044,0.06331084587441618,Arsenal,Hull,3,0
